participant,problem,choice,alternativeA,alternativeB
1,1,1,1,6
1,2,1,2,6
1,3,1,3,7
1,4,1,4,7
1,5,1,5,8
1,6,1,1,6
1,7,1,2,6
1,8,1,3,7
1,9,1,4,7
1,10,1,5,8
1,11,1,1,6
1,12,1,2,6
1,13,1,3,7
1,14,1,4,7
1,15,1,5,8
1,16,1,1,6
1,17,1,2,6
1,18,1,3,7
1,19,1,4,7
1,20,1,5,8
1,21,1,1,6
1,22,1,2,6
1,23,1,3,7
1,24,1,4,7
1,25,1,5,8
1,26,1,1,6
1,27,1,2,6
1,28,1,3,7
1,29,1,4,7
1,30,1,5,8
1,31,1,1,6
1,32,1,2,6
1,33,1,3,7
1,34,1,4,7
1,35,1,5,8
1,36,1,1,6
1,37,1,2,6
1,38,1,3,7
1,39,1,4,7
1,40,1,5,8
2,1,1,1,6
2,2,1,2,6
2,3,1,3,7
2,4,1,4,7
2,5,1,5,8
2,6,1,1,6
2,7,1,2,6
2,8,1,3,7
2,9,1,4,7
2,10,1,5,8
2,11,1,1,6
2,12,1,2,6
2,13,1,3,7
2,14,1,4,7
2,15,1,5,8
2,16,1,1,6
2,17,1,2,6
2,18,1,3,7
2,19,1,4,7
2,20,1,5,8
2,21,1,1,6
2,22,1,2,6
2,23,1,3,7
2,24,1,4,7
2,25,1,5,8
2,26,1,1,6
2,27,1,2,6
2,28,1,3,7
2,29,1,4,7
2,30,1,5,8
2,31,1,1,6
2,32,1,2,6
2,33,1,3,7
2,34,1,4,7
2,35,1,5,8
2,36,1,1,6
2,37,1,2,6
2,38,1,3,7
2,39,1,4,7
2,40,1,5,8
3,1,1,1,6
3,2,1,2,6
3,3,1,3,7
3,4,1,4,7
3,5,1,5,8
3,6,1,1,6
3,7,1,2,6
3,8,1,3,7
3,9,1,4,7
3,10,1,5,8
3,11,1,1,6
3,12,1,2,6
3,13,1,3,7
3,14,1,4,7
3,15,1,5,8
3,16,1,1,6
3,17,1,2,6
3,18,1,3,7
3,19,1,4,7
3,20,1,5,8
3,21,1,1,6
3,22,1,2,6
3,23,1,3,7
3,24,1,4,7
3,25,1,5,8
3,26,1,1,6
3,27,1,2,6
3,28,1,3,7
3,29,1,4,7
3,30,1,5,8
3,31,1,1,6
3,32,1,2,6
3,33,1,3,7
3,34,1,4,7
3,35,1,5,8
3,36,1,1,6
3,37,1,2,6
3,38,1,3,7
3,39,1,4,7
3,40,1,5,8
4,1,1,1,6
4,2,1,2,6
4,3,1,3,7
4,4,1,4,7
4,5,1,5,8
4,6,1,1,6
4,7,1,2,6
4,8,1,3,7
4,9,1,4,7
4,10,1,5,8
4,11,1,1,6
4,12,1,2,6
4,13,1,3,7
4,14,1,4,7
4,15,1,5,8
4,16,1,1,6
4,17,1,2,6
4,18,1,3,7
4,19,1,4,7
4,20,1,5,8
4,21,1,1,6
4,22,1,2,6
4,23,1,3,7
4,24,1,4,7
4,25,1,5,8
4,26,1,1,6
4,27,1,2,6
4,28,1,3,7
4,29,1,4,7
4,30,1,5,8
4,31,1,1,6
4,32,1,2,6
4,33,1,3,7
4,34,1,4,7
4,35,1,5,8
4,36,1,1,6
4,37,1,2,6
4,38,1,3,7
4,39,1,4,7
4,40,1,5,8
5,1,1,1,6
5,2,1,2,6
5,3,1,3,7
5,4,1,4,7
5,5,1,5,8
5,6,1,1,6
5,7,1,2,6
5,8,1,3,7
5,9,1,4,7
5,10,1,5,8
5,11,1,1,6
5,12,1,2,6
5,13,1,3,7
5,14,1,4,7
5,15,1,5,8
5,16,1,1,6
5,17,1,2,6
5,18,1,3,7
5,19,1,4,7
5,20,1,5,8
5,21,1,1,6
5,22,1,2,6
5,23,1,3,7
5,24,1,4,7
5,25,1,5,8
5,26,1,1,6
5,27,1,2,6
5,28,1,3,7
5,29,1,4,7
5,30,1,5,8
5,31,1,1,6
5,32,1,2,6
5,33,1,3,7
5,34,1,4,7
5,35,1,5,8
5,36,1,1,6
5,37,1,2,6
5,38,1,3,7
5,39,1,4,7
5,40,1,5,8
6,1,1,1,6
6,2,1,2,6
6,3,1,3,7
6,4,1,4,7
6,5,1,5,8
6,6,1,1,6
6,7,1,2,6
6,8,1,3,7
6,9,1,4,7
6,10,1,5,8
6,11,1,1,6
6,12,1,2,6
6,13,1,3,7
6,14,1,4,7
6,15,1,5,8
6,16,1,1,6
6,17,1,2,6
6,18,1,3,7
6,19,1,4,7
6,20,1,5,8
6,21,1,1,6
6,22,1,2,6
6,23,1,3,7
6,24,1,4,7
6,25,1,5,8
6,26,1,1,6
6,27,1,2,6
6,28,1,3,7
6,29,1,4,7
6,30,1,5,8
6,31,1,1,6
6,32,1,2,6
6,33,1,3,7
6,34,1,4,7
6,35,1,5,8
6,36,1,1,6
6,37,1,2,6
6,38,1,3,7
6,39,1,4,7
6,40,1,5,8
7,1,1,1,6
7,2,1,2,6
7,3,1,3,7
7,4,1,4,7
7,5,1,5,8
7,6,1,1,6
7,7,1,2,6
7,8,1,3,7
7,9,1,4,7
7,10,1,5,8
7,11,1,1,6
7,12,1,2,6
7,13,1,3,7
7,14,1,4,7
7,15,1,5,8
7,16,1,1,6
7,17,1,2,6
7,18,1,3,7
7,19,1,4,7
7,20,1,5,8
7,21,1,1,6
7,22,1,2,6
