environment,item,criterion,cue,cueValue,year
United States,New York,8213839.0,State Capital,0,2005
United States,New York,8213839.0,Sport Team,1,2005
United States,New York,8213839.0,Airport,1,2005
United States,New York,8213839.0,Metro Station,1,2005
United States,New York,8213839.0,Rail Station,1,2005
United States,New York,8213839.0,Exposition Site,1,2005
United States,New York,8213839.0,National Capital,0,2005
United States,Los Angeles,3794640.0,State Capital,0,2005
United States,Los Angeles,3794640.0,Sport Team,1,2005
United States,Los Angeles,3794640.0,Airport,1,2005
United States,Los Angeles,3794640.0,Metro Station,1,2005
United States,Los Angeles,3794640.0,Rail Station,1,2005
United States,Los Angeles,3794640.0,Exposition Site,0,2005
United States,Los Angeles,3794640.0,National Capital,0,2005
United States,Chicago,2824584.0,State Capital,0,2005
United States,Chicago,2824584.0,Sport Team,1,2005
United States,Chicago,2824584.0,Airport,1,2005
United States,Chicago,2824584.0,Metro Station,0,2005
United States,Chicago,2824584.0,Rail Station,1,2005
United States,Chicago,2824584.0,Exposition Site,1,2005
United States,Chicago,2824584.0,National Capital,0,2005
United States,Houston,2076189.0,State Capital,0,2005
United States,Houston,2076189.0,Sport Team,1,2005
United States,Houston,2076189.0,Airport,1,2005
United States,Houston,2076189.0,Metro Station,0,2005
United States,Houston,2076189.0,Rail Station,0,2005
United States,Houston,2076189.0,Exposition Site,0,2005
United States,Houston,2076189.0,National Capital,0,2005
United States,Philadelphia,1517628.0,State Capital,0,2005
United States,Philadelphia,1517628.0,Sport Team,1,2005
United States,Philadelphia,1517628.0,Airport,1,2005
United States,Philadelphia,1517628.0,Metro Station,1,2005
United States,Philadelphia,1517628.0,Rail Station,1,2005
United States,Philadelphia,1517628.0,Exposition Site,1,2005
United States,Philadelphia,1517628.0,National Capital,0,2005
United States,Phoenix,1470302.0,State Capital,1,2005
United States,Phoenix,1470302.0,Sport Team,1,2005
United States,Phoenix,1470302.0,Airport,1,2005
United States,Phoenix,1470302.0,Metro Station,0,2005
United States,Phoenix,1470302.0,Rail Station,0,2005
United States,Phoenix,1470302.0,Exposition Site,0,2005
United States,Phoenix,1470302.0,National Capital,0,2005
United States,San Antonio,1258733.0,State Capital,0,2005
United States,San Antonio,1258733.0,Sport Team,1,2005
United States,San Antonio,1258733.0,Airport,1,2005
United States,San Antonio,1258733.0,Metro Station,0,2005
United States,San Antonio,1258733.0,Rail Station,0,2005
United States,San Antonio,1258733.0,Exposition Site,1,2005
United States,San Antonio,1258733.0,National Capital,0,2005
United States,San Diego,1284347.0,State Capital,0,2005
United States,San Diego,1284347.0,Sport Team,1,2005
United States,San Diego,1284347.0,Airport,1,2005
United States,San Diego,1284347.0,Metro Station,0,2005
United States,San Diego,1284347.0,Rail Station,0,2005
United States,San Diego,1284347.0,Exposition Site,0,2005
United States,San Diego,1284347.0,National Capital,0,2005
United States,Dallas,1246185.0,State Capital,0,2005
United States,Dallas,1246185.0,Sport Team,1,2005
United States,Dallas,1246185.0,Airport,1,2005
United States,Dallas,1246185.0,Metro Station,0,2005
United States,Dallas,1246185.0,Rail Station,0,2005
United States,Dallas,1246185.0,Exposition Site,0,2005
United States,Dallas,1246185.0,National Capital,0,2005
United States,San Jose,908870.0,State Capital,0,2005
United States,San Jose,908870.0,Sport Team,1,2005
United States,San Jose,908870.0,Airport,1,2005
United States,San Jose,908870.0,Metro Station,0,2005
United States,San Jose,908870.0,Rail Station,0,2005
United States,San Jose,908870.0,Exposition Site,0,2005
United States,San Jose,908870.0,National Capital,0,2005
United States,Jacksonville,786938.0,State Capital,0,2005
United States,Jacksonville,786938.0,Sport Team,1,2005
United States,Jacksonville,786938.0,Airport,1,2005
United States,Jacksonville,786938.0,Metro Station,0,2005
United States,Jacksonville,786938.0,Rail Station,0,2005
United States,Jacksonville,786938.0,Exposition Site,0,2005
United States,Jacksonville,786938.0,National Capital,0,2005
United States,Indianapolis,789250.0,State Capital,1,2005
United States,Indianapolis,789250.0,Sport Team,1,2005
United States,Indianapolis,789250.0,Airport,1,2005
United States,Indianapolis,789250.0,Metro Station,0,2005
United States,Indianapolis,789250.0,Rail Station,0,2005
United States,Indianapolis,789250.0,Exposition Site,0,2005
United States,Indianapolis,789250.0,National Capital,0,2005
United States,San Francisco,777660.0,State Capital,0,2005
United States,San Francisco,777660.0,Sport Team,1,2005
United States,San Francisco,777660.0,Airport,1,2005
United States,San Francisco,777660.0,Metro Station,1,2005
United States,San Francisco,777660.0,Rail Station,0,2005
United States,San Francisco,777660.0,Exposition Site,1,2005
United States,San Francisco,777660.0,National Capital,0,2005
United States,Austin,708293.0,State Capital,1,2005
United States,Austin,708293.0,Sport Team,0,2005
United States,Austin,708293.0,Airport,1,2005
United States,Austin,708293.0,Metro Station,0,2005
United States,Austin,708293.0,Rail Station,0,2005
United States,Austin,708293.0,Exposition Site,0,2005
United States,Austin,708293.0,National Capital,0,2005
United States,Columbus,738782.0,State Capital,1,2005
United States,Columbus,738782.0,Sport Team,0,2005
United States,Columbus,738782.0,Airport,1,2005
United States,Columbus,738782.0,Metro Station,0,2005
United States,Columbus,738782.0,Rail Station,0,2005
United States,Columbus,738782.0,Exposition Site,0,2005
United States,Columbus,738782.0,National Capital,0,2005
United States,Fort Worth,622311.0,State Capital,0,2005
United States,Fort Worth,622311.0,Sport Team,0,2005
United States,Fort Worth,622311.0,Airport,1,2005
United States,Fort Worth,622311.0,Metro Station,0,2005
United States,Fort Worth,622311.0,Rail Station,0,2005
United States,Fort Worth,622311.0,Exposition Site,0,2005
United States,Fort Worth,622311.0,National Capital,0,2005
United States,Charlotte,631160.0,State Capital,0,2005
United States,Charlotte,631160.0,Sport Team,0,2005
United States,Charlotte,631160.0,Airport,1,2005
United States,Charlotte,631160.0,Metro Station,0,2005
United States,Charlotte,631160.0,Rail Station,0,2005
United States,Charlotte,631160.0,Exposition Site,0,2005
United States,Charlotte,631160.0,National Capital,0,2005
United States,Detroit,921149.0,State Capital,0,2005
United States,Detroit,921149.0,Sport Team,1,2005
United States,Detroit,921149.0,Airport,1,2005
United States,Detroit,921149.0,Metro Station,0,2005
United States,Detroit,921149.0,Rail Station,1,2005
United States,Detroit,921149.0,Exposition Site,0,2005
United States,Detroit,921149.0,National Capital,0,2005
United States,El Paso,587400.0,State Capital,0,2005
United States,El Paso,587400.0,Sport Team,0,2005
United States,El Paso,587400.0,Airport,1,2005
United States,El Paso,587400.0,Metro Station,0,2005
United States,El Paso,587400.0,Rail Station,0,2005
United States,El Paso,587400.0,Exposition Site,0,2005
United States,El Paso,587400.0,National Capital,0,2005
United States,Memphis,680515.0,State Capital,0,2005
United States,Memphis,680515.0,Sport Team,1,2005
United States,Memphis,680515.0,Airport,1,2005
United States,Memphis,680515.0,Metro Station,0,2005
United States,Memphis,680515.0,Rail Station,0,2005
United States,Memphis,680515.0,Exposition Site,0,2005
United States,Memphis,680515.0,National Capital,0,2005
United States,Baltimore,640064.0,State Capital,0,2005
United States,Baltimore,640064.0,Sport Team,1,2005
United States,Baltimore,640064.0,Airport,1,2005
United States,Baltimore,640064.0,Metro Station,1,2005
United States,Baltimore,640064.0,Rail Station,0,2005
United States,Baltimore,640064.0,Exposition Site,0,2005
United States,Baltimore,640064.0,National Capital,0,2005
United States,Boston,609690.0,State Capital,1,2005
United States,Boston,609690.0,Sport Team,1,2005
United States,Boston,609690.0,Airport,1,2005
United States,Boston,609690.0,Metro Station,1,2005
United States,Boston,609690.0,Rail Station,1,2005
United States,Boston,609690.0,Exposition Site,0,2005
United States,Boston,609690.0,National Capital,0,2005
United States,Seattle,575036.0,State Capital,0,2005
United States,Seattle,575036.0,Sport Team,1,2005
United States,Seattle,575036.0,Airport,1,2005
United States,Seattle,575036.0,Metro Station,0,2005
United States,Seattle,575036.0,Rail Station,1,2005
United States,Seattle,575036.0,Exposition Site,1,2005
United States,Seattle,575036.0,National Capital,0,2005
United States,Washington,582049.0,State Capital,1,2005
United States,Washington,582049.0,Sport Team,1,2005
United States,Washington,582049.0,Airport,1,2005
United States,Washington,582049.0,Metro Station,1,2005
United States,Washington,582049.0,Rail Station,1,2005
United States,Washington,582049.0,Exposition Site,0,2005
United States,Washington,582049.0,National Capital,1,2005
United States,Nashville,579748.0,State Capital,1,2005
United States,Nashville,579748.0,Sport Team,1,2005
United States,Nashville,579748.0,Airport,1,2005
United States,Nashville,579748.0,Metro Station,0,2005
United States,Nashville,579748.0,Rail Station,0,2005
United States,Nashville,579748.0,Exposition Site,0,2005
United States,Nashville,579748.0,National Capital,0,2005
United States,Denver,561323.0,State Capital,1,2005
United States,Denver,561323.0,Sport Team,1,2005
United States,Denver,561323.0,Airport,1,2005
United States,Denver,561323.0,Metro Station,0,2005
United States,Denver,561323.0,Rail Station,1,2005
United States,Denver,561323.0,Exposition Site,0,2005
United States,Denver,561323.0,National Capital,0,2005
