environment,item,criterion,cue,cueValue
Bridges,Danyang-Kunshan Grand Bridge,540700.0,Toll,0
Bridges,Danyang-Kunshan Grand Bridge,540700.0,Capital,0
Bridges,Danyang-Kunshan Grand Bridge,540700.0,Guinness,1
Bridges,Danyang-Kunshan Grand Bridge,540700.0,Long,1
Bridges,Danyang-Kunshan Grand Bridge,540700.0,Viaduct,1
Bridges,Danyang-Kunshan Grand Bridge,540700.0,Box-Girder,1
Bridges,Danyang-Kunshan Grand Bridge,540700.0,Cable-Stayed,1
Bridges,Danyang-Kunshan Grand Bridge,540700.0,Suspension,1
Bridges,Danyang-Kunshan Grand Bridge,540700.0,Steel,1
Bridges,Danyang-Kunshan Grand Bridge,540700.0,Concrete,1
Bridges,Danyang-Kunshan Grand Bridge,540700.0,Rail,1
Bridges,Danyang-Kunshan Grand Bridge,540700.0,Car,1
Bridges,Tianjin Grand Bridge,373000.0,Toll,0
Bridges,Tianjin Grand Bridge,373000.0,Capital,0
Bridges,Tianjin Grand Bridge,373000.0,Guinness,1
Bridges,Tianjin Grand Bridge,373000.0,Long,0
Bridges,Tianjin Grand Bridge,373000.0,Viaduct,1
Bridges,Tianjin Grand Bridge,373000.0,Box-Girder,1
Bridges,Tianjin Grand Bridge,373000.0,Cable-Stayed,1
Bridges,Tianjin Grand Bridge,373000.0,Suspension,1
Bridges,Tianjin Grand Bridge,373000.0,Steel,1
Bridges,Tianjin Grand Bridge,373000.0,Concrete,1
Bridges,Tianjin Grand Bridge,373000.0,Rail,1
Bridges,Tianjin Grand Bridge,373000.0,Car,1
Bridges,Weinan Weihe Grand Bridge,261588.0,Toll,0
Bridges,Weinan Weihe Grand Bridge,261588.0,Capital,0
Bridges,Weinan Weihe Grand Bridge,261588.0,Guinness,0
Bridges,Weinan Weihe Grand Bridge,261588.0,Long,0
Bridges,Weinan Weihe Grand Bridge,261588.0,Viaduct,1
Bridges,Weinan Weihe Grand Bridge,261588.0,Box-Girder,1
Bridges,Weinan Weihe Grand Bridge,261588.0,Cable-Stayed,1
Bridges,Weinan Weihe Grand Bridge,261588.0,Suspension,1
Bridges,Weinan Weihe Grand Bridge,261588.0,Steel,0
Bridges,Weinan Weihe Grand Bridge,261588.0,Concrete,1
Bridges,Weinan Weihe Grand Bridge,261588.0,Rail,1
Bridges,Weinan Weihe Grand Bridge,261588.0,Car,1
Bridges,Bang Na Expressway,177000.0,Toll,1
Bridges,Bang Na Expressway,177000.0,Capital,0
Bridges,Bang Na Expressway,177000.0,Guinness,1
Bridges,Bang Na Expressway,177000.0,Long,1
Bridges,Bang Na Expressway,177000.0,Viaduct,1
Bridges,Bang Na Expressway,177000.0,Box-Girder,0
Bridges,Bang Na Expressway,177000.0,Cable-Stayed,1
Bridges,Bang Na Expressway,177000.0,Suspension,1
Bridges,Bang Na Expressway,177000.0,Steel,0
Bridges,Bang Na Expressway,177000.0,Concrete,1
