participant,trial,decision,leftStimulus,rightStimulus,rt,confidence
1,1,-1,28,29,11.626,3
1,2,-1,5,6,2.533999999999999,2
1,3,-1,24,25,6.579000000000001,3
1,4,-1,18,17,9.153,4
1,5,-1,18,20,6.138999999999996,3
1,6,-1,24,23,2.1129999999999995,5
2,1,1,17,18,5.939,4
2,2,1,25,24,1.7719999999999998,4
2,3,-1,20,18,2.173000000000001,5
2,4,1,29,28,3.335000000000001,5
2,5,1,23,24,1.532,5
2,6,-1,5,6,2.433999999999997,5
3,1,1,18,17,15.963,3
3,2,-1,23,24,6.538999999999994,4
3,3,1,29,28,13.68,3
3,4,1,24,25,3.254,4
3,5,-1,5,6,22.582,2
3,6,1,18,20,2.3740000000000023,4
4,1,-1,24,25,2.6129999999999995,5
4,2,1,5,6,0.7109999999999985,5
4,3,-1,18,17,4.757000000000001,4
4,4,1,20,18,2.4129999999999985,2
4,5,1,29,28,5.628,2
4,6,-1,24,23,2.253,1
5,1,1,18,20,0.8719999999999999,3
5,2,1,6,5,0.7910000000000039,4
5,3,1,24,23,10.214,3
5,4,1,17,18,3.114,3
5,5,1,25,24,10.925,3
5,6,-1,29,28,1.8030000000000008,1
6,1,-1,28,29,3.035,3
6,2,-1,5,6,3.335000000000001,4
6,3,-1,17,18,6.279000000000004,4
6,4,-1,23,24,1.070999999999998,5
6,5,-1,25,24,2.8740000000000023,5
6,6,1,18,20,5.608000000000004,3
7,1,-1,28,29,5.638000000000005,1
7,2,-1,23,24,3.414999999999999,1
7,3,1,6,5,3.4549999999999983,2
7,4,1,17,18,6.459,2
7,5,-1,25,24,2.4339999999999997,1
7,6,1,18,20,7.731,1
8,1,1,25,24,17.385000000000005,2
8,2,1,24,23,14.360999999999995,3
8,3,1,6,5,7.220000000000001,4
8,4,-1,18,17,12.307,4
8,5,-1,28,29,5.847999999999999,4
8,6,1,20,18,16.434000000000005,1
9,1,1,23,24,4.586999999999996,4
9,2,1,29,28,6.679000000000002,3
9,3,1,18,20,19.197,1
9,4,-1,6,5,1.2920000000000016,4
9,5,-1,18,17,8.452000000000002,4
9,6,1,24,25,2.293999999999997,4
10,1,1,25,24,67.978,2
10,2,1,20,18,40.048,2
10,3,-1,5,6,19.648,4
10,4,1,23,24,100.264,2
10,5,1,18,17,49.22,2
10,6,-1,29,28,33.90899999999999,4
11,1,-1,29,28,6.759,5
11,2,1,24,25,6.138999999999999,5
11,3,1,23,24,8.533000000000001,5
11,4,1,20,18,12.969,5
11,5,1,6,5,15.721999999999994,5
11,6,1,18,17,0.8519999999999985,5
12,1,-1,28,29,14.812,4
12,2,-1,23,24,2.132999999999996,4
12,3,1,5,6,18.02500000000001,1
12,4,1,24,25,5.9990000000000006,4
12,5,-1,20,18,2.7540000000000013,4
12,6,-1,17,18,2.6529999999999987,3
13,1,1,28,29,1.7920000000000016,5
13,2,-1,24,23,3.616,1
13,3,-1,20,18,1.7719999999999985,4
13,4,1,5,6,2.554000000000002,5
13,5,1,24,25,2.6529999999999987,5
13,6,1,18,17,5.939,5
14,1,-1,5,6,4.155999999999999,3
14,2,1,24,25,7.371000000000002,3
14,3,-1,24,23,10.836,3
14,4,-1,29,28,3.706,4
14,5,1,18,20,2.814,2
14,6,-1,17,18,8.982999999999997,2
15,1,-1,25,24,24.475,2
15,2,-1,20,18,7.890999999999998,2
15,3,1,28,29,38.265,2
15,4,1,18,17,14.009999999999998,2
15,5,-1,24,23,21.911999999999995,2
15,6,1,6,5,22.572999999999997,2
16,1,1,6,5,32.111000000000004,3
16,2,1,24,23,3.716000000000001,4
16,3,-1,28,29,1.1419999999999997,4
16,4,1,18,17,1.0910000000000046,4
16,5,1,18,20,12.268,4
16,6,-1,25,24,5.799,3
17,1,1,17,18,20.569000000000003,3
17,2,1,29,28,19.518,2
17,3,1,18,20,29.623,3
17,4,-1,25,24,21.852,4
17,5,1,24,23,27.880000000000003,3
17,6,1,5,6,23.874,3
18,1,1,23,24,29.943,5
18,2,-1,5,6,11.407,5
18,3,-1,18,17,46.507,3
18,4,1,25,24,18.807,3
18,5,1,18,20,18.95800000000001,4
18,6,-1,28,29,3.626000000000001,5
19,1,1,24,23,4.877000000000002,3
19,2,1,24,25,0.9010000000000034,2
19,3,-1,5,6,0.4200000000000017,1
19,4,1,17,18,0.7409999999999997,2
19,5,1,28,29,1.161999999999999,3
19,6,-1,20,18,0.5810000000000031,2
20,1,1,5,6,17.055,2
20,2,-1,25,24,1.853000000000001,3
20,3,-1,28,29,13.43,3
20,4,1,18,17,18.647,3
20,5,-1,23,24,5.748999999999995,3
20,6,-1,20,18,2.624,2
