participant,trial,decision,leftStimulus,rightStimulus,rt,accuracy
1,1,-1,4,14,13.829999999999998,1
1,2,1,2,7,11.315999999999995,1
1,3,-1,11,5,8.843000000000002,-1
1,4,-1,13,9,7.07,-1
1,5,1,12,10,5.658000000000001,-1
1,6,-1,1,6,7.640999999999998,-1
1,7,1,2,5,2.0929999999999964,1
1,8,1,1,10,1.2710000000000008,1
1,9,-1,8,1,2.492999999999995,-1
1,10,-1,10,8,1.8130000000000024,-1
1,11,-1,4,7,4.186,1
1,12,1,4,5,3.103999999999999,1
1,13,1,16,15,2.353,1
1,14,1,4,10,5.268000000000001,1
1,15,1,15,12,1.511999999999999,-1
1,16,-1,14,15,2.1130000000000013,1
1,17,1,13,11,5.658999999999999,-1
1,18,-1,5,9,1.661999999999999,1
1,19,-1,16,6,3.1739999999999995,-1
1,20,1,14,12,2.413999999999998,1
1,21,-1,8,12,1.1310000000000038,1
1,22,-1,1,2,5.639000000000003,-1
1,23,1,11,15,2.0730000000000004,1
1,24,-1,15,7,0.8310000000000031,-1
1,25,1,2,13,1.4620000000000033,1
1,26,-1,10,11,0.8109999999999999,-1
1,27,-1,13,6,3.4350000000000023,-1
1,28,-1,8,13,0.7010000000000005,1
1,29,-1,13,16,1.9129999999999967,1
1,30,-1,11,12,0.9410000000000024,1
1,31,-1,6,9,6.478999999999999,1
1,32,-1,16,4,3.735,-1
1,33,1,13,14,3.975,1
1,34,-1,5,13,3.395,1
1,35,1,3,9,6.518999999999998,1
1,36,-1,5,8,1.171999999999997,1
1,37,1,12,6,3.2349999999999994,-1
1,38,1,10,15,2.442999999999998,1
1,39,1,1,11,1.172000000000004,1
1,40,-1,16,3,1.131999999999998,-1
1,41,1,10,5,2.9950000000000045,-1
1,42,-1,16,12,1.350999999999999,1
1,43,-1,15,13,4.377000000000002,-1
1,44,-1,7,14,2.905000000000001,1
1,45,-1,7,8,0.6910000000000025,1
1,46,1,6,2,1.6929999999999978,-1
1,47,1,10,9,3.674999999999997,-1
1,48,1,6,8,0.7710000000000008,1
1,49,1,8,16,2.554000000000002,1
1,50,1,16,5,1.7120000000000002,-1
1,51,-1,11,9,1.332,-1
1,52,1,5,14,1.4419999999999993,1
1,53,-1,10,3,1.0920000000000003,-1
1,54,1,4,2,3.635,-1
1,55,1,13,7,1.7129999999999992,-1
1,56,-1,3,13,1.622,1
1,57,1,3,11,2.994,1
1,58,-1,6,7,2.0130000000000017,1
1,59,1,5,7,0.6009999999999991,-1
1,60,-1,8,9,2.654,-1
1,61,-1,1,5,4.416,1
1,62,-1,11,2,3.494999999999997,-1
1,63,-1,8,3,1.491999999999997,-1
1,64,-1,4,1,4.0560000000000045,1
1,65,-1,6,4,2.7140000000000057,1
1,66,-1,12,3,1.3119999999999976,-1
1,67,-1,5,12,4.096000000000004,1
1,68,1,2,14,1.0110000000000028,1
1,69,-1,14,3,2.132999999999996,-1
1,70,1,16,10,0.7310000000000016,-1
1,71,-1,11,8,1.1920000000000002,1
1,72,1,14,16,3.1740000000000004,-1
1,73,-1,6,3,5.098000000000001,1
1,74,1,10,6,1.7829999999999997,-1
1,75,1,1,3,1.8520000000000003,-1
1,76,1,14,9,1.6720000000000024,-1
1,77,1,12,7,2.1430000000000007,-1
1,78,-1,8,14,1.7119999999999995,1
1,79,1,4,8,5.709,1
1,80,-1,15,8,0.8109999999999999,-1
1,81,1,2,8,1.5719999999999992,1
1,82,1,16,7,1.8729999999999976,-1
1,83,1,11,7,1.933,-1
1,84,-1,15,5,0.7010000000000005,-1
1,85,-1,15,9,1.7220000000000013,-1
1,86,-1,11,14,2.834000000000003,1
1,87,-1,9,7,1.972999999999999,-1
1,88,1,9,16,1.372,1
1,89,-1,15,2,1.4720000000000013,-1
1,90,1,3,7,1.5420000000000016,1
1,91,-1,10,14,1.0309999999999988,1
1,92,-1,2,16,2.9510000000000005,1
1,93,1,4,12,0.6299999999999955,1
1,94,-1,15,6,1.132000000000005,-1
1,95,-1,3,4,4.0760000000000005,-1
1,96,1,1,9,2.894,1
1,97,1,3,5,0.8110000000000008,1
1,98,1,2,12,2.5330000000000004,1
1,99,1,4,11,1.532,1
1,100,-1,13,10,2.4130000000000003,-1
1,101,-1,7,1,3.4049999999999976,-1
1,102,1,4,9,6.279,1
1,103,-1,14,6,0.7910000000000004,-1
1,104,1,2,3,2.1140000000000008,1
1,105,-1,15,4,2.0429999999999997,-1
1,106,-1,10,7,0.8710000000000022,-1
1,107,1,1,15,1.5120000000000005,1
1,108,1,1,13,1.772999999999996,1
1,109,-1,4,13,7.371000000000002,1
1,110,-1,12,13,0.9110000000000014,-1
1,111,-1,3,15,2.3130000000000024,1
1,112,-1,12,1,1.2719999999999985,-1
1,113,1,2,10,2.764000000000003,1
1,114,-1,12,9,1.411999999999999,-1
1,115,-1,11,6,1.6920000000000002,-1
1,116,-1,16,1,0.711,-1
1,117,-1,14,1,1.932,-1
1,118,-1,9,2,2.153,-1
1,119,-1,16,11,3.115,-1
2,1,1,4,14,14.490000000000002,1
2,2,-1,7,2,3.2349999999999994,-1
2,3,-1,5,11,1.7519999999999998,1
2,4,1,13,9,3.736,-1
2,5,-1,10,12,9.813999999999998,1
2,6,1,6,1,22.062,1
2,7,1,2,5,5.328000000000003,1
2,8,-1,10,1,2.0529999999999973,-1
2,9,1,1,8,24.605000000000004,1
2,10,1,8,10,1.171999999999997,1
2,11,1,4,7,11.526999999999996,1
2,12,1,4,5,1.2720000000000056,1
2,13,-1,15,16,6.359000000000002,-1
2,14,1,4,10,2.3340000000000005,1
2,15,1,15,12,20.53,-1
2,16,-1,14,15,31.085,1
2,17,-1,13,11,44.274,-1
2,18,1,5,9,1.1920000000000002,1
2,19,-1,16,6,26.668000000000006,-1
2,20,-1,14,12,23.695,1
2,21,1,12,8,20.189,-1
2,22,-1,1,2,94.306,-1
2,23,1,15,11,8.421999999999997,-1
2,24,1,7,15,6.509,1
2,25,1,2,13,8.302,1
2,26,1,11,10,3.054000000000002,1
2,27,1,6,13,2.7940000000000005,1
2,28,-1,13,8,3.305,-1
2,29,1,13,16,1.593,1
2,30,1,11,12,2.753999999999998,1
2,31,-1,9,6,9.092999999999996,-1
2,32,-1,16,4,1.0320000000000036,-1
2,33,-1,14,13,0.9309999999999974,-1
2,34,1,13,5,12.067,-1
2,35,1,9,3,2.373,-1
2,36,-1,5,8,2.0730000000000004,1
