participant,position1,position2,position3,position4,position5,position6
1,3,6,4,1,2,5
2,2,5,6,3,1,4
3,3,4,6,5,1,2
4,5,4,6,3,2,1
5,2,1,3,5,4,6
6,2,5,3,4,6,1
7,1,2,3,6,5,4
8,2,6,4,1,5,3
9,2,4,6,3,5,1
10,2,3,5,4,6,1
11,6,2,3,5,4,1
12,1,2,3,4,6,5
13,5,4,1,2,6,3
14,3,2,6,5,1,4
15,6,5,1,2,3,4
16,3,2,4,1,5,6
17,6,5,4,3,1,2
18,2,4,3,6,5,1
19,4,3,2,5,6,1
20,6,1,2,4,5,3
21,2,1,3,4,5,6
22,5,2,3,4,1,6
23,5,4,2,6,1,3
24,1,3,6,5,2,4
25,4,1,2,3,6,5
26,2,1,4,5,6,3
27,4,1,2,3,5,6
28,2,6,1,4,5,3
29,3,2,1,6,4,5
30,2,5,6,4,3,1
