participant,condition,adviceThresholdPercent,presentationPosition,trial,advice,truth,pLeft,pRight,decision,confidence,accuracy,rt
1,1,50,4,1,1,1,0.11495,0.11624,1,1,1,1.257813
1,1,50,4,2,-1,0,0.70475,0.65638,0,2,1,1.242188
1,1,50,4,3,1,1,0.034604,0.42834,1,3,1,1.101563
1,1,50,4,4,-1,1,0.76279,0.99123,0,4,0,1.261719
1,1,50,4,5,1,1,0.3183,0.53334,1,4,1,1.132813
1,1,50,4,6,-1,1,0.52441,0.94681,0,4,0,2.652344
1,1,50,4,7,1,1,0.2173,0.61866,1,3,1,1.160156
1,1,50,4,8,-1,0,0.54796,0.31721,0,3,1,1.351563
1,1,50,4,9,1,1,0.47605,0.954,1,4,1,0.921875
1,1,50,4,10,-1,0,0.74742,0.16776,0,3,1,1.09375
1,1,50,4,11,-1,0,0.62237,0.27133,0,2,1,1.601563
1,1,50,4,12,-1,0,0.54645,0.38509,0,3,1,1.332031
1,1,50,4,13,-1,0,0.9796,0.68246,0,4,1,0.9609375
1,1,50,4,14,1,1,0.070481,0.6871,1,3,1,1.230469
1,1,50,4,15,-1,1,0.51014,0.83295,0,4,0,1.179688
1,1,50,4,16,-1,0,0.50725,0.28729,0,5,1,1.183594
1,1,50,4,17,-1,0,0.71298,0.55264,0,4,1,1.050781
1,1,50,4,18,-1,0,0.90273,0.6076,0,4,1,0.859375
1,1,50,4,19,1,1,0.24042,0.38622,1,4,1,1.804688
1,1,50,4,20,-1,0,0.98324,0.5212,0,4,1,2.503906
1,1,50,4,21,1,0,0.4415,0.18982,0,3,1,2.320313
1,1,50,4,22,1,0,0.058365,0.0041574,1,5,0,1.289063
1,1,50,4,23,1,1,0.3897,0.76237,1,5,1,1.34375
1,1,50,4,24,-1,0,0.57567,0.16263,0,4,1,1.363281
1,1,50,4,25,1,1,0.26234,0.27424,1,4,1,2.074219
1,1,50,4,26,-1,0,0.82921,0.11714,0,4,1,1.914063
1,1,50,4,27,-1,0,0.92239,0.894,0,4,1,1.269531
1,1,50,4,28,1,1,0.20486,0.2975,1,4,1,1.339844
1,1,50,4,29,-1,1,0.58209,0.65029,0,5,0,1.132813
1,1,50,4,30,-1,1,0.75107,0.8529,0,5,0,1.203125
1,1,50,4,31,-1,1,0.86098,0.86475,0,5,0,1.089844
1,1,50,4,32,1,1,0.23546,0.55702,1,5,1,1.753906
1,1,50,4,33,1,1,0.39923,0.84068,1,4,1,1.152344
1,1,50,4,34,-1,0,0.58246,0.36926,0,4,1,1.140625
1,1,50,4,35,-1,0,0.98845,0.20406,0,4,1,1.410156
1,1,50,4,36,-1,0,0.9829,0.6903,0,4,1,1.230469
1,1,50,4,37,1,1,0.1066,0.83916,1,4,1,1.21875
1,1,50,4,38,-1,0,0.72813,0.52137,0,3,1,1.5
1,1,50,4,39,-1,0,0.59954,0.34829,0,4,1,1.273438
1,1,50,4,40,-1,1,0.70457,0.79083,0,3,0,1.3125
1,1,50,4,41,1,1,0.40868,0.59901,1,4,1,1.011719
1,1,50,4,42,-1,0,0.83082,0.67842,1,4,0,1.339844
1,1,50,4,43,-1,1,0.73413,0.99606,0,4,0,1.332031
1,1,50,4,44,1,1,0.26664,0.36008,1,4,1,0.8515625
