participant,alternative,slot,cue
1,1,1,1
1,1,2,2
1,1,3,4
1,1,4,3
1,2,1,1
1,2,2,4
1,2,3,3
1,2,4,2
2,1,1,3
2,1,2,2
2,1,3,4
2,1,4,1
2,2,1,1
2,2,2,3
2,2,3,4
2,2,4,2
3,1,1,4
3,1,2,2
3,1,3,3
3,1,4,1
3,2,1,3
3,2,2,4
3,2,3,1
3,2,4,2
4,1,1,1
4,1,2,2
4,1,3,3
4,1,4,4
4,2,1,1
4,2,2,3
4,2,3,2
4,2,4,4
5,1,1,2
5,1,2,3
5,1,3,4
5,1,4,1
5,2,1,3
5,2,2,2
5,2,3,1
5,2,4,4
6,1,1,2
6,1,2,4
6,1,3,1
6,1,4,3
6,2,1,4
6,2,2,1
6,2,3,3
6,2,4,2
7,1,1,4
7,1,2,1
7,1,3,2
7,1,4,3
7,2,1,4
7,2,2,3
7,2,3,2
7,2,4,1
8,1,1,4
8,1,2,3
8,1,3,1
8,1,4,2
8,2,1,2
8,2,2,1
8,2,3,3
8,2,4,4
9,1,1,2
9,1,2,3
9,1,3,1
9,1,4,4
9,2,1,3
9,2,2,1
9,2,3,4
9,2,4,2
10,1,1,2
10,1,2,3
10,1,3,1
10,1,4,4
10,2,1,3
10,2,2,1
10,2,3,4
10,2,4,2
11,1,1,1
11,1,2,3
11,1,3,2
11,1,4,4
11,2,1,3
11,2,2,2
11,2,3,4
11,2,4,1
12,1,1,3
12,1,2,1
12,1,3,2
12,1,4,4
12,2,1,3
12,2,2,4
12,2,3,1
12,2,4,2
13,1,1,3
13,1,2,2
13,1,3,1
13,1,4,4
13,2,1,4
13,2,2,3
13,2,3,1
13,2,4,2
14,1,1,3
14,1,2,2
14,1,3,1
14,1,4,4
14,2,1,2
14,2,2,3
14,2,3,1
14,2,4,4
15,1,1,3
15,1,2,2
15,1,3,4
15,1,4,1
15,2,1,4
15,2,2,2
15,2,3,3
15,2,4,1
16,1,1,2
16,1,2,4
16,1,3,1
16,1,4,3
16,2,1,4
16,2,2,1
16,2,3,3
16,2,4,2
17,1,1,1
17,1,2,3
17,1,3,4
17,1,4,2
17,2,1,1
17,2,2,4
17,2,3,2
17,2,4,3
18,1,1,4
18,1,2,2
18,1,3,3
18,1,4,1
18,2,1,1
18,2,2,2
18,2,3,4
18,2,4,3
19,1,1,3
19,1,2,2
19,1,3,4
19,1,4,1
19,2,1,1
19,2,2,3
19,2,3,4
19,2,4,2
20,1,1,1
20,1,2,2
20,1,3,4
20,1,4,3
20,2,1,1
20,2,2,4
20,2,3,3
20,2,4,2
21,1,1,3
21,1,2,2
21,1,3,4
21,1,4,1
21,2,1,1
21,2,2,3
21,2,3,4
21,2,4,2
22,1,1,4
22,1,2,2
22,1,3,3
22,1,4,1
22,2,1,3
22,2,2,4
22,2,3,1
22,2,4,2
23,1,1,1
23,1,2,2
23,1,3,3
23,1,4,4
23,2,1,1
23,2,2,3
23,2,3,2
23,2,4,4
24,1,1,2
24,1,2,3
24,1,3,4
24,1,4,1
24,2,1,3
24,2,2,2
24,2,3,1
24,2,4,4
25,1,1,2
25,1,2,4
25,1,3,1
25,1,4,3
25,2,1,4
25,2,2,1
25,2,3,3
25,2,4,2
26,1,1,4
26,1,2,1
26,1,3,2
26,1,4,3
26,2,1,4
26,2,2,3
26,2,3,2
26,2,4,1
27,1,1,4
27,1,2,3
27,1,3,1
27,1,4,2
27,2,1,2
27,2,2,1
27,2,3,3
27,2,4,4
28,1,1,2
28,1,2,3
28,1,3,1
28,1,4,4
28,2,1,3
28,2,2,1
28,2,3,4
28,2,4,2
29,1,1,2
29,1,2,3
29,1,3,1
29,1,4,4
29,2,1,3
29,2,2,1
29,2,3,4
29,2,4,2
30,1,1,1
30,1,2,3
30,1,3,2
30,1,4,4
30,2,1,3
30,2,2,2
30,2,3,4
30,2,4,1
31,1,1,3
31,1,2,1
31,1,3,2
31,1,4,4
31,2,1,3
31,2,2,4
31,2,3,1
31,2,4,2
32,1,1,3
32,1,2,2
32,1,3,1
32,1,4,4
32,2,1,4
32,2,2,3
32,2,3,1
32,2,4,2
33,1,1,3
33,1,2,2
33,1,3,1
33,1,4,4
33,2,1,2
33,2,2,3
33,2,3,1
33,2,4,4
34,1,1,3
34,1,2,2
34,1,3,4
34,1,4,1
34,2,1,4
34,2,2,2
34,2,3,3
34,2,4,1
35,1,1,2
35,1,2,4
35,1,3,1
35,1,4,3
35,2,1,4
35,2,2,1
35,2,3,3
35,2,4,2
36,1,1,1
36,1,2,3
36,1,3,4
36,1,4,2
36,2,1,1
36,2,2,4
36,2,3,2
36,2,4,3
37,1,1,4
37,1,2,2
37,1,3,3
37,1,4,1
37,2,1,1
37,2,2,2
37,2,3,4
37,2,4,3
38,1,1,2
38,1,2,4
38,1,3,1
38,1,4,3
38,2,1,4
38,2,2,1
38,2,3,3
38,2,4,2
