participant,trial,reportIndex,report
1,1,1,Silent
1,2,1,Search
1,2,2,Evaluation
1,2,3,Decision: Single Indicator
1,3,1,Search
1,3,2,Encoding
1,3,3,Decision: No justification
1,4,1,Metacognitive
1,5,1,Elaboration: Indicator based
1,5,2,Decision: Single Indicator
1,6,1,Search
1,7,1,Decision: Single Indicator
1,8,1,Encoding
1,8,2,Decision: No justification
1,9,1,Encoding
1,10,1,Search
1,10,2,Elaboration: Indicator based
1,10,3,Decision: Single Indicator
1,11,1,Encoding
1,11,2,Encoding
1,11,3,Evaluation
1,11,4,Decision: No justification
1,12,1,Encoding
1,12,2,Elaboration: Indicator based
1,12,3,Decision: No justification
1,13,1,Search
1,13,2,Search
1,13,3,Encoding
1,13,4,Encoding
1,13,5,Encoding
1,13,6,Encoding
1,13,7,Metacognitive
1,13,8,Elaboration: Indicator based
1,13,9,Decision: No justification
1,14,1,Encoding
1,14,2,Encoding
1,14,3,Decision: No justification
1,15,1,Search
1,15,2,Search
1,15,3,Search
1,15,4,Encoding
1,15,5,Encoding
1,15,6,Encoding
1,15,7,Encoding
1,15,8,Encoding
1,15,9,Metacognitive
1,15,10,Elaboration: Indicator based
1,15,11,Elaboration: Indicator based
1,15,12,Decision: No justification
1,16,1,Search
1,16,2,Encoding
1,16,3,Encoding
1,16,4,Encoding
1,16,5,Elaboration: Indicator based
1,16,6,Decision: No justification
1,17,1,Encoding
1,17,2,Encoding
1,17,3,Decision: No justification
1,18,1,Encoding
1,18,2,Encoding
1,18,3,Decision: No justification
1,19,1,Encoding
1,19,2,Encoding
1,19,3,Decision: No justification
1,20,1,Encoding
1,20,2,Encoding
1,21,1,Encoding
1,21,2,Encoding
1,21,3,Decision: Single Indicator
1,21,4,Decision: Single Indicator
1,22,1,Search
1,22,2,Encoding
1,22,3,Encoding
1,22,4,Encoding
1,22,5,Encoding
1,22,6,Decision: No justification
1,23,1,Search
1,23,2,Encoding
1,23,3,Encoding
1,23,4,Elaboration: Indicator based
