participant,trial,alternative,cue,present,searchOrderWithin,searchOrderAll,searchTime
1,2,1,1,0,1,1,9.072000000000003
1,2,2,1,1,1,2,14.384
1,3,1,1,0,1,2,3.728999999999999
1,3,1,4,0,2,3,11.052000000000007
1,3,2,1,0,1,1,2.233000000000004
1,3,2,4,1,2,4,13.043000000000006
1,4,1,1,1,1,1,5.861000000000004
1,5,1,1,0,1,2,6.367000000000004
1,5,1,4,1,2,3,10.239000000000004
1,5,2,1,0,1,1,4.632000000000005
1,5,2,4,0,2,4,11.983000000000004
1,6,2,1,1,1,1,4.650000000000006
1,7,1,1,0,1,1,3.0919999999999987
1,7,2,1,1,1,2,4.266999999999996
1,8,1,1,1,1,1,2.9010000000000105
1,9,2,1,1,1,1,4.111000000000018
1,10,1,1,1,1,2,19.521000000000015
1,10,1,4,1,2,3,26.697000000000003
1,10,2,1,1,1,1,14.849999999999994
1,10,2,4,0,2,4,29.753000000000014
1,11,1,1,1,1,1,4.442000000000007
1,11,2,1,0,1,2,9.14500000000001
1,12,1,1,1,1,1,2.8770000000000095
1,12,2,1,0,1,2,5.50800000000001
1,13,1,1,0,1,2,4.643999999999977
1,13,1,3,1,3,5,24.01399999999998
1,13,1,4,1,2,3,12.651999999999987
1,13,2,1,0,1,1,2.429000000000002
1,13,2,4,0,2,4,16.355999999999995
1,14,1,1,1,1,1,3.5749999999999886
1,14,2,1,0,1,2,6.103000000000009
1,15,1,1,1,1,1,2.8829999999999814
1,15,1,3,0,3,5,19.098000000000013
1,15,1,4,1,2,3,10.074000000000012
1,15,2,1,1,1,2,5.3700000000000045
1,15,2,2,1,4,7,30.25999999999999
1,15,2,3,0,3,6,23.22800000000001
1,15,2,4,0,2,4,13.810000000000002
1,16,1,1,0,1,1,4.096000000000004
1,16,1,2,1,2,3,18.545000000000016
1,16,2,1,0,1,2,6.735000000000014
1,16,2,2,0,2,4,20.814999999999998
1,17,1,1,0,1,1,1.9220000000000255
1,17,2,1,1,1,2,5.129000000000019
1,18,1,1,0,1,1,6.7830000000000155
1,18,2,1,1,1,2,9.102000000000032
1,19,1,1,0,1,2,5.134999999999991
1,19,2,1,1,1,1,2.6159999999999854
1,20,1,1,1,1,2,4.675999999999988
1,20,2,1,0,1,1,2.420000000000016
1,21,1,1,1,1,1,3.5230000000000246
1,21,2,1,0,1,2,7.251000000000033
1,22,1,1,1,1,1,5.0160000000000196
1,22,1,4,1,2,3,12.080000000000041
1,22,2,1,1,1,2,9.479000000000042
1,22,2,4,0,2,4,14.479000000000042
1,23,1,1,1,1,1,3.194999999999993
1,23,1,4,0,2,4,11.019000000000005
1,23,2,1,1,1,2,5.9879999999999995
1,23,2,4,1,2,3,8.939000000000021
1,24,1,1,1,1,1,3.854000000000042
1,24,2,1,0,1,2,8.555000000000007
1,25,1,1,0,1,1,3.055000000000007
1,25,1,4,0,2,3,11.926999999999964
1,25,2,1,0,1,2,7.359999999999957
1,25,2,4,0,2,4,16.007000000000005
1,26,1,1,1,1,1,2.7409999999999854
1,26,2,1,0,1,2,6.956999999999994
1,27,1,1,0,1,1,3.355000000000018
1,27,2,1,1,1,2,5.900000000000034
1,28,1,1,0,1,2,5.2620000000000005
1,28,2,1,1,1,1,1.934000000000026
1,29,1,1,0,1,2,4.278999999999996
1,29,2,1,1,1,1,2.1990000000000123
1,30,1,1,0,1,1,5.150000000000034
1,30,2,1,1,1,2,9.797000000000025
1,31,1,1,1,1,2,5.2000000000000455
1,31,1,4,0,2,4,11.975999999999999
1,31,2,1,1,1,1,2.73700000000008
1,31,2,4,1,2,3,9.633000000000038
1,32,1,1,0,1,1,3.701999999999998
1,32,2,1,1,1,2,7.302999999999997
1,33,1,1,1,1,1,3.3530000000000655
1,33,1,4,0,2,3,11.225000000000023
1,33,2,1,1,1,2,7.905000000000086
1,33,2,4,0,2,4,13.785000000000082
1,34,1,1,0,1,1,2.5020000000000664
1,34,1,4,1,2,3,11.0150000000001
1,34,2,1,0,1,2,8.510000000000105
