participant,trial,condition,decision,reward,correct,trialStartSec
1,2,aloud,2,1,0,42.824
1,3,aloud,2,2,1,62.476
1,4,aloud,1,1,1,80.527
1,5,aloud,2,2,1,90.853
1,6,aloud,2,2,1,111.25
1,7,aloud,2,2,1,122.351
1,8,aloud,1,1,1,133.046
1,9,aloud,2,2,1,143.987
1,10,aloud,1,1,1,153.177
1,11,aloud,1,1,1,189.343
1,12,aloud,1,1,1,203.892
1,13,aloud,1,1,1,215.764
1,14,aloud,1,1,1,251.56
1,15,aloud,1,1,1,263.892
1,16,aloud,1,1,1,302.166
1,17,aloud,2,2,1,328.691
1,18,aloud,2,2,1,338.246
1,19,aloud,2,2,1,350.245
1,20,aloud,1,1,1,358.32
1,21,aloud,1,2,0,368.304
1,22,aloud,1,1,1,388.467
1,23,aloud,1,1,1,408.791
1,24,aloud,1,1,1,424.703
1,25,aloud,1,1,1,436.682
1,26,aloud,1,1,1,460.748
1,27,aloud,2,2,1,471.157
1,28,aloud,2,2,1,482.25
1,29,aloud,2,2,1,492.096
1,30,aloud,2,2,1,502.65
1,31,aloud,1,2,0,515.935
1,32,aloud,2,2,1,535.384
1,33,aloud,1,1,1,547.661
1,34,aloud,1,1,1,567.031
1,35,aloud,2,2,1,586.617
1,36,aloud,2,1,0,596.434
1,37,aloud,2,2,1,641.561
1,38,aloud,1,1,1,650.598
1,39,aloud,2,2,1,704.834
1,40,aloud,2,2,1,721.593
1,41,aloud,2,1,0,746.165
1,42,aloud,1,1,1,767.284
1,43,aloud,1,1,1,783.021
1,44,aloud,1,1,1,794.224
1,45,aloud,2,2,1,809.599
1,46,aloud,2,2,1,822.157
1,47,aloud,1,1,1,836.65
1,48,aloud,1,1,1,848.074
1,49,aloud,2,1,0,867.181
1,50,aloud,1,2,0,879.832
1,51,aloud,1,1,1,894.138
1,52,aloud,2,1,0,920.311
1,53,aloud,1,1,1,945.954
1,54,aloud,1,1,1,966.658
1,55,aloud,1,1,1,986.879
1,56,aloud,1,1,1,995.539
1,57,aloud,1,1,1,1009.137
1,58,aloud,2,1,0,1031.999
1,59,aloud,2,1,0,1047.572
1,60,aloud,1,2,0,1061.769
1,61,aloud,1,1,1,1079.511
1,62,aloud,2,2,1,1097.205
1,63,aloud,1,1,1,1111.317
1,64,aloud,1,2,0,1130.594
1,65,aloud,1,2,0,1146.544
1,66,aloud,2,2,1,1175.551
1,67,aloud,1,2,0,1207.735
1,68,aloud,1,1,1,1228.337
1,69,aloud,2,2,1,1262.513
1,70,aloud,1,1,1,1273.943
1,71,aloud,2,2,1,1284.744
1,72,aloud,2,2,1,1292.902
1,73,aloud,2,1,0,1301.992
