participant,question,questionText,truth,estimate
1,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,75.0
2,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
3,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
4,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
5,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,60.0
6,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
7,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,55.0
8,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,20.0
9,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,75.0
10,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
11,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,5.0
12,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
13,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,5.0
14,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,5.0
15,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,30.0
16,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
17,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,95.0
18,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
19,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,13.0
20,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,20.0
21,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
22,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,30.0
23,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
24,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,2.0
25,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
26,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,5.0
27,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,99.0
28,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
29,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,53.0
30,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,1.0
31,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,5.0
32,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,60.0
33,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,20.0
34,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
35,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
36,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,40.0
37,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,40.0
38,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
39,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
40,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,60.0
41,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,60.0
42,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,53.0
43,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,35.0
44,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,1.0
45,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
46,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
47,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
48,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,65.0
49,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,20.0
50,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,80.0
51,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,5.0
52,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,30.0
53,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,55.0
54,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,25.0
55,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,55.0
56,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,5.0
57,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
58,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,90.0
59,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,55.0
60,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,30.0
61,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,40.0
62,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,70.0
63,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,55.0
64,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,60.0
65,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
66,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,60.0
67,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
68,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
69,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,5.0
70,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
71,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,7.0
72,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,50.0
73,1,What is the probability that a team that is ahead at the 5th minute will win?,0.5926,10.0
