participant,item,name,rank
1,5,Adrian Dantley,59
1,45,Archie Clark,28
1,63,Bernard King,60
1,69,Bill Russell,3
1,70,Bill Sharman,14
1,76,Bob Boozer,40
1,82,Bob Lanier,58
1,83,Bob Love,9
1,129,Cazzie Russell,45
1,136,Charles Thomas Scott,18
1,138,Chet Walker,8
1,186,Dave Bing,10
1,188,Dave Cowens,23
1,189,Dave DeBusschere,22
1,195,David Thompson,55
1,232,Dolph Schayes,11
1,239,Don Ohl,31
1,252,Earl Monroe,53
1,256,Eddie Miles,36
1,260,Elgin Baylor,5
1,264,Elvin Hayes,7
1,318,Guy Rodgers,48
1,342,Jack Twyman,51
1,345,Jamaal Wilkes,34
1,361,James Worthy,54
1,383,Jerry Sloan,30
1,392,Jim Pollard,52
1,397,Jimmy Walker,21
1,402,Joe Caldwell,35
1,414,John Drew,26
1,428,Johnny Green,12
1,443,Julius Erving,1
1,449,K. C. Jones,19
1,455,Kelly Tripucka,42
1,457,Ken Sears,50
1,475,Kevin McHale,56
1,500,Larry Costello,41
1,505,Larry Nance,20
1,523,Lonnie Shelton,49
1,525,Lou Hudson,13
1,552,Mark Aguirre,16
1,607,Nate Archibald,6
1,624,Norm Nixon,17
1,630,Oscar Robertson,2
1,631,Otis Birdsong,33
1,643,Paul Silas,27
1,644,Paul Westphal,25
1,648,Phil Chenier,46
1,662,Randy Smith,47
1,684,Rickey Green,32
1,700,Rolando Blackman,15
1,709,Rudy Tomjanovich,24
1,736,Sidney Moncrief,57
1,737,Sidney Wicks,44
1,789,Truck Robinson,29
1,808,Walter Dukes,38
1,809,Wayne Embry,43
1,819,Willie Naulls,37
1,822,Wilt Chamberlain,4
1,832,Zelmo Beaty,39
2,210,Dennis Rodman,7
2,319,Hakeem Olajuwon,3
2,578,Michael Jordan,1
2,672,Reggie Miller,5
2,723,Scottie Pippen,4
2,730,Shaquille O'Neal,2
2,753,Steve Nash,6
3,69,Bill Russell,4
3,134,Charles Barkley,17
3,194,David Robinson,16
3,260,Elgin Baylor,18
3,319,Hakeem Olajuwon,7
3,385,Jerry West,15
3,416,John Havlicek,20
3,443,Julius Erving,14
3,450,Kareem Abdul-Jabbar,2
3,451,Karl Malone,19
3,482,Kobe Bryant,8
3,499,Larry Bird,6
3,513,LeBron James,11
3,539,Magic Johnson,3
3,578,Michael Jordan,1
3,603,Moses Malone,12
3,630,Oscar Robertson,13
3,730,Shaquille O'Neal,9
3,768,Tim Duncan,10
3,822,Wilt Chamberlain,5
4,17,Allen Iverson,5
4,69,Bill Russell,7
4,77,Bob Cousy,13
4,86,Bob Pettit,12
4,134,Charles Barkley,10
4,156,Clyde Drexler,16
4,260,Elgin Baylor,15
4,292,George Gervin,14
4,296,George Mikan,11
4,319,Hakeem Olajuwon,19
4,365,Jason Kidd,20
4,404,Joe Fulks,17
4,443,Julius Erving,3
4,450,Kareem Abdul-Jabbar,6
4,499,Larry Bird,18
4,513,LeBron James,2
4,603,Moses Malone,4
4,630,Oscar Robertson,9
4,730,Shaquille O'Neal,8
4,822,Wilt Chamberlain,1
5,319,Hakeem Olajuwon,8
5,443,Julius Erving,6
5,450,Kareem Abdul-Jabbar,7
5,499,Larry Bird,4
5,513,LeBron James,2
5,539,Magic Johnson,3
5,578,Michael Jordan,1
5,730,Shaquille O'Neal,9
5,822,Wilt Chamberlain,5
6,5,Adrian Dantley,72
6,6,Adrian Smith,56
6,12,Alex English,75
6,45,Archie Clark,44
6,56,Bailey Howell,25
6,65,Bill Bridges,21
6,69,Bill Russell,65
6,70,Bill Sharman,36
6,72,Billy Cunningham,6
6,74,Billy Paultz,15
6,78,Bob Dandridge,77
6,82,Bob Lanier,73
6,87,Bob Rule,17
6,129,Cazzie Russell,40
6,136,Charles Thomas Scott,34
6,138,Chet Walker,28
6,152,Cliff Hagan,61
6,161,Connie Hawkins,74
6,195,David Thompson,3
6,224,Dick Barnett,18
6,227,Dick Van Arsdale,14
6,232,Dolph Schayes,35
6,235,Don Buse,51
6,239,Don Ohl,46
6,252,Earl Monroe,71
6,253,Ed Macauley,32
6,256,Eddie Miles,22
6,260,Elgin Baylor,66
6,264,Elvin Hayes,70
6,284,Gail Goodrich,10
6,291,Geoff Petrie,54
6,292,George Gervin,68
6,317,Gus Williams,27
6,318,Guy Rodgers,47
6,320,Hal Greer,7
6,341,Jack Sikma,78
6,342,Jack Twyman,58
6,345,Jamaal Wilkes,93
6,374,Jeff Mullins,55
6,383,Jerry Sloan,83
6,396,Jimmy Jones,82
6,397,Jimmy Walker,100
6,398,Jo Jo White,13
6,400,Joe Barry Carroll,90
6,402,Joe Caldwell,37
6,414,John Drew,101
6,416,John Havlicek,69
6,417,John Johnson,85
6,425,John Williamson,87
6,427,Johnny Davis,86
6,428,Johnny Green,103
6,443,Julius Erving,1
6,449,K. C. Jones,92
6,455,Kelly Tripucka,89
6,476,Kevin Porter,84
6,500,Larry Costello,23
6,504,Larry Kenon,45
6,505,Larry Nance,94
6,515,Lee Shaffer,60
6,519,Lenny Wilkens,8
6,523,Lonnie Shelton,43
6,525,Lou Hudson,102
6,531,Lucious Jackson,50
6,538,Mack Calvin,24
6,552,Mark Aguirre,33
6,556,Marques Johnson,11
6,564,Maurice Lucas,5
6,576,Michael Cooper,91
6,583,Micheal Ray Richardson,12
6,607,Nate Archibald,2
6,624,Norm Nixon,63
6,625,Norm Van Lier,39
6,630,Oscar Robertson,64
6,631,Otis Birdsong,79
6,638,Paul Arizin,53
6,643,Paul Silas,97
6,644,Paul Westphal,98
6,647,Pete Maravich,67
6,648,Phil Chenier,42
6,650,Phil Smith,38
6,660,Ralph Sampson,30
6,673,Reggie Theus,96
6,678,Richie Guerin,59
6,683,Rick Mahorn,88
6,684,Rickey Green,81
6,700,Rolando Blackman,62
6,708,Rudy LaRusso,57
6,709,Rudy Tomjanovich,95
6,715,Sam Jones,26
6,736,Sidney Moncrief,4
6,739,Sleepy Floyd,49
6,744,Spencer Haywood,76
6,762,Terry Dischinger,31
6,774,Tom Gola,52
6,775,Tom Heinsohn,99
6,779,Tom Van Arsdale,48
6,786,Tree Rollins,41
6,789,Truck Robinson,80
6,803,Walt Bellamy,9
6,807,Walter Davis,29
6,809,Wayne Embry,19
6,819,Willie Naulls,16
6,832,Zelmo Beaty,20
7,70,Bill Sharman,4
7,78,Bob Dandridge,5
7,129,Cazzie Russell,10
7,156,Clyde Drexler,17
7,224,Dick Barnett,12
7,234,Dominique Wilkins,16
7,260,Elgin Baylor,24
7,292,George Gervin,18
7,316,Gus Johnson,8
7,333,Isiah Thomas,22
7,341,Jack Sikma,26
7,385,Jerry West,21
7,428,Johnny Green,9
7,443,Julius Erving,2
7,479,Kiki Vandeweghe,25
7,525,Lou Hudson,6
7,556,Marques Johnson,3
7,576,Michael Cooper,27
7,583,Micheal Ray Richardson,7
7,603,Moses Malone,23
7,607,Nate Archibald,15
7,647,Pete Maravich,20
7,739,Sleepy Floyd,11
7,744,Spencer Haywood,1
7,789,Truck Robinson,14
7,805,Walt Frazier,19
7,819,Willie Naulls,13
8,156,Clyde Drexler,9
8,260,Elgin Baylor,4
8,292,George Gervin,6
8,319,Hakeem Olajuwon,5
8,443,Julius Erving,2
8,607,Nate Archibald,1
8,630,Oscar Robertson,3
8,647,Pete Maravich,7
8,805,Walt Frazier,8
9,303,Giannis Antetokounmpo,5
9,482,Kobe Bryant,2
9,513,LeBron James,1
9,730,Shaquille O'Neal,3
9,768,Tim Duncan,4
10,482,Kobe Bryant,1
10,513,LeBron James,2
10,730,Shaquille O'Neal,3
11,156,Clyde Drexler,5
11,234,Dominique Wilkins,3
11,260,Elgin Baylor,6
11,292,George Gervin,4
11,316,Gus Johnson,9
11,317,Gus Williams,8
11,333,Isiah Thomas,2
11,428,Johnny Green,10
11,443,Julius Erving,1
11,603,Moses Malone,7
11,700,Rolando Blackman,11
12,5,Adrian Dantley,25
12,12,Alex English,27
12,67,Bill Laimbeer,17
12,70,Bill Sharman,4
12,72,Billy Cunningham,18
12,78,Bob Dandridge,5
12,82,Bob Lanier,23
12,83,Bob Love,7
12,161,Connie Hawkins,20
12,171,Dan Issel,9
12,195,David Thompson,26
12,209,Dennis Johnson,22
12,232,Dolph Schayes,15
12,275,Fat Lever,6
12,284,Gail Goodrich,19
12,320,Hal Greer,16
12,341,Jack Sikma,10
12,345,Jamaal Wilkes,13
12,382,Jerry Lucas,21
12,443,Julius Erving,1
12,552,Mark Aguirre,14
12,564,Maurice Lucas,2
12,660,Ralph Sampson,11
12,700,Rolando Blackman,8
12,736,Sidney Moncrief,24
12,744,Spencer Haywood,12
12,807,Walter Davis,3
13,17,Allen Iverson,16
13,69,Bill Russell,8
13,134,Charles Barkley,18
13,319,Hakeem Olajuwon,12
13,333,Isiah Thomas,19
13,385,Jerry West,13
13,423,John Stockton,15
13,443,Julius Erving,20
13,450,Kareem Abdul-Jabbar,1
13,451,Karl Malone,11
13,482,Kobe Bryant,3
13,499,Larry Bird,7
13,513,LeBron James,10
13,539,Magic Johnson,2
13,578,Michael Jordan,6
13,603,Moses Malone,17
13,630,Oscar Robertson,14
13,730,Shaquille O'Neal,9
13,768,Tim Duncan,5
13,822,Wilt Chamberlain,4
14,5,Adrian Dantley,61
14,12,Alex English,91
14,17,Allen Iverson,27
14,19,Alonzo Mourning,43
14,47,Artis Gilmore,84
14,62,Benard King,89
14,63,Bernard King,87
14,67,Bill Laimbeer,79
14,69,Bill Russell,3
14,71,Bill Walton,47
14,77,Bob Cousy,33
14,82,Bob Lanier,68
14,84,Bob McAdoo,58
14,86,Bob Pettit,55
14,94,Brad Daugherty,96
14,131,Cedric Ceballos,90
14,134,Charles Barkley,36
14,143,Chris Mullin,50
14,145,Chris Webber,63
14,156,Clyde Drexler,21
14,161,Connie Hawkins,93
14,172,Dan Majerle,98
14,179,Danny Manning,94
14,188,Dave Cowens,67
14,194,David Robinson,23
14,209,Dennis Johnson,44
14,210,Dennis Rodman,46
14,218,Derrick Coleman,92
14,222,Detlef Schrempf,65
14,228,Dikembe Mutombo,48
14,230,Dirk Nowitzki,29
14,234,Dominique Wilkins,22
14,253,Ed Macauley,83
14,260,Elgin Baylor,24
14,264,Elvin Hayes,49
14,287,Gary Payton,51
14,292,George Gervin,31
14,296,George Mikan,42
14,307,Glenn Robinson,86
14,310,Grant Hill,72
14,319,Hakeem Olajuwon,10
14,328,Hersey Hawkins,64
14,329,Horace Grant,78
14,333,Isiah Thomas,59
14,361,James Worthy,30
14,365,Jason Kidd,26
14,385,Jerry West,14
14,398,Jo Jo White,82
14,403,Joe Dumars,52
14,416,John Havlicek,19
14,423,John Stockton,12
14,443,Julius Erving,9
14,450,Kareem Abdul-Jabbar,7
14,451,Karl Malone,13
14,469,Kevin Durant,56
14,470,Kevin Garnett,17
14,472,Kevin Johnson,77
14,475,Kevin McHale,32
14,482,Kobe Bryant,8
14,499,Larry Bird,4
14,503,Larry Johnson,70
14,505,Larry Nance,80
14,513,LeBron James,54
14,539,Magic Johnson,5
14,543,Manu Ginóbili,57
14,552,Mark Aguirre,85
14,554,Mark Jackson,62
14,555,Mark Price,60
14,563,Maurice Cheeks,69
14,578,Michael Jordan,2
14,602,Mookie Blaylock,95
14,603,Moses Malone,15
14,607,Nate Archibald,39
14,608,Nate McMillan,88
14,610,Nate Thurmond,40
14,630,Oscar Robertson,6
14,636,Patrick Ewing,28
14,638,Paul Arizin,97
14,641,Paul Pierce,37
14,646,Penny Hardaway,75
14,647,Pete Maravich,18
14,658,Rajon Rondo,76
14,665,Ray Allen,53
14,672,Reggie Miller,45
14,681,Rick Barry,38
14,693,Robert Parish,34
14,723,Scottie Pippen,25
14,730,Shaquille O'Neal,11
14,753,Steve Nash,16
14,768,Tim Duncan,20
14,770,"Tim Hardaway, Jr.",73
14,797,Vince Carter,74
14,800,Vlade Divac,66
14,803,Walt Bellamy,81
14,805,Walt Frazier,35
14,812,Wes Unseld,41
14,821,Willis Reed,71
14,822,Wilt Chamberlain,1
15,5,Adrian Dantley,62
15,6,Adrian Smith,75
15,12,Alex English,64
15,21,Alvin Robertson,15
15,47,Artis Gilmore,38
15,56,Bailey Howell,78
15,72,Billy Cunningham,41
15,78,Bob Dandridge,35
