item,name
1,A. C. Green
2,Aaron Brooks
3,Aaron Gordon
4,Adam Morrison
5,Adrian Dantley
6,Adrian Smith
7,Al Attles
8,Al Cervi
9,Al Horford
10,Al Jefferson
11,Albert King
12,Alex English
13,Alex Groza
14,Alex Len
15,Alexis Ajinça
16,Allan Houston
17,Allen Iverson
18,Alonzo Gee
19,Alonzo Mourning
20,Alvan Adams
21,Alvin Robertson
22,Amar'e Stoudemire
23,Amir Johnson
24,Anderson Varejão
25,Andre Drummond
26,Andre Iguodala
27,Andre Miller
28,Andrea Bargnani
29,Andrei Kirilenko
30,Andrew Bogut
31,Andrew Bynum
32,Andrew Nicholson
33,Andrew Toney
34,Andrew Wiggins
35,Andy Phillip
36,Antawn Jamison
37,Anthony Bennett
38,Anthony Davis
39,Anthony Mason
40,Anthony Morrow
41,Anthony Peeler
42,Anthony Tolliver
43,Antoine Walker
44,Antonio McDyess
45,Archie Clark
46,Arron Afflalo
47,Artis Gilmore
48,Arvydas Sabonis
49,Asi Taulava
50,Austin Carr
51,Austin Rivers
52,Avery Bradley
53,Avery Johnson
54,B. J. Armstrong
55,Babe Ziegenhorn
56,Bailey Howell
57,Bam Adebayo
58,Baron Davis
59,Ben McLemore
60,Ben Simmons
61,Ben Wallace
62,Benard King
63,Bernard King
64,Bill Bradley
65,Bill Bridges
66,Bill Cartwright
67,Bill Laimbeer
68,Bill Robinzine
69,Bill Russell
70,Bill Sharman
71,Bill Walton
72,Billy Cunningham
73,Billy Knight
74,Billy Paultz
75,Blake Griffin
76,Bob Boozer
77,Bob Cousy
78,Bob Dandridge
79,Bob Davies
80,Bob Gross
81,Bob Kauffman
82,Bob Lanier
83,Bob Love
84,Bob McAdoo
85,Bob Morse
86,Bob Pettit
87,Bob Rule
88,Bob Wilkerson
89,Boban Marjanović
90,Bobby Jackson
91,Bobby Jones
92,Bobby Wanzer
93,Bogdan Bogdanović
94,Brad Daugherty
95,Brad Miller
96,Bradley Beal
97,Brandon Ingram (2016)
98,Brandon Jennings
99,Brandon Roy
100,Brent Barry
101,Brian Cardinal
102,Brian Scalabrine
103,Brian Taylor
104,Brian Winters
105,Brook Lopez
106,Bruce Bowen
107,Bruno Caboclo
108,Bryant Reeves
109,Bryon Russell
110,Buck Williams
111,Buddy Hield
112,Butch Beard
113,Byron Scott
114,C. J. McCollum
115,C. J. Miles
116,C. J. Watson
117,C.J. Fair
118,Calbert Cheaney
119,Caldwell Jones
120,Calvin Murphy
121,Calvin Natt
122,Campy Russell
123,Carl Braun
124,Carlos Arroyo
125,Carlos Boozer
126,Carmelo Anthony
127,Caron Butler
128,Cartwright Carmichael
129,Cazzie Russell
130,Cedi Osman
131,Cedric Ceballos
132,Cedric Maxwell
133,Chandler Parsons
134,Charles Barkley
135,Charles Oakley
136,Charles Thomas Scott
137,Chauncey Billups
138,Chet Walker
139,Chris Andersen
140,Chris Anderson
141,Chris Bosh
142,Chris Kaman
143,Chris Mullin
144,Chris Paul
145,Chris Webber
146,Chris Wilcox
147,Christian Laettner
148,Chuck Noble
149,Chuck Person
150,Clarence Weatherspoon
151,Cleanthony Early
152,Cliff Hagan
153,Cliff Robinson
154,Clifford Ray
155,Clint Capela
156,Clyde Drexler
157,Clyde Lee
158,Clyde Lovellette
159,Cole Aldrich
160,Collin Sexton
161,Connie Hawkins
162,Corey Maggette
163,Cory Alexander
164,Craig Ehlo
165,Craig Hodges
166,Curtis Rowe
167,D'Angelo Russell
168,Dale Davis
169,Dale Ellis
170,Damian Lillard
171,Dan Issel
172,Dan Majerle
173,Dan Roundfield
174,Danilo Gallinari
175,Danny Ainge
176,Danny Fortson
177,Danny Granger
178,Danny Green
179,Danny Manning
180,Dario Šarić
181,Darius Miles
182,Darnell Hillman
183,Darrall Imhoff
184,Darrell Griffith
185,Darryl Dawkins
186,Dave Bing
187,Dave Corzine
188,Dave Cowens
189,Dave DeBusschere
190,Dave Robisch
191,Dave Twardzik
192,David Greenwood
193,David Lee
194,David Robinson
195,David Thompson
196,David Wesley
197,David West
198,Davis Bertans
199,De'aaron Fox
200,DeAndre Jordan
201,DeAndre Liggins
202,DeMar DeRozan
203,DeMarcus Cousins
