decision,majority,crowd,accuracy
1,25,29,1
2,20,29,1
3,26,29,1
4,27,29,0
5,21,29,1
6,23,29,0
7,26,29,1
8,28,29,1
9,28,29,1
10,28,29,0
11,26,29,0
12,28,29,1
13,27,29,1
14,21,29,1
15,22,29,0
16,27,29,1
17,28,29,1
18,27,29,0
19,25,29,0
20,22,29,1
21,26,29,0
22,28,29,1
23,27,29,0
24,26,29,0
25,28,29,0
26,26,29,1
27,17,29,0
28,27,29,1
29,28,29,1
30,27,29,1
31,28,29,1
32,28,29,1
33,28,29,1
34,26,29,0
35,25,29,0
36,27,29,1
37,28,29,1
38,15,29,0
39,19,29,0
40,28,29,1
41,28,29,1
42,28,29,1
43,27,29,1
44,19,29,0
45,25,29,1
46,20,29,1
47,28,29,0
48,24,29,0
49,28,29,0
50,27,29,0
51,28,29,1
52,19,29,1
53,27,29,1
54,28,29,1
55,27,29,1
56,27,29,0
57,27,29,1
58,28,29,1
59,27,29,0
60,18,29,1
61,28,29,1
62,28,29,0
63,26,29,1
64,27,29,1
65,28,29,1
66,28,29,0
67,25,29,0
68,22,29,1
69,28,29,1
70,23,29,1
71,18,29,1
72,28,29,0
73,28,29,1
74,27,29,1
75,24,29,0
76,20,29,1
77,24,29,1
78,28,29,1
79,28,29,1
80,28,29,0
81,24,29,1
82,18,29,1
83,17,29,0
84,24,29,1
85,21,29,1
86,22,29,1
87,22,29,0
88,28,29,1
89,16,29,1
90,28,29,0
91,20,29,0
92,24,29,0
93,24,29,1
94,28,29,1
95,26,29,1
96,24,29,0
97,16,29,1
98,25,29,1
99,20,29,1
100,28,29,1
101,28,29,1
102,28,29,1
103,22,29,1
104,25,29,1
105,27,29,1
106,28,29,1
107,23,29,0
108,28,29,1
109,27,29,1
110,28,29,1
111,26,29,1
112,28,29,0
113,26,29,0
114,26,29,1
115,16,29,1
116,28,29,1
117,28,29,1
118,26,29,1
119,28,29,1
120,28,29,1
121,21,29,1
122,28,29,0
123,26,29,1
124,28,29,1
125,28,29,1
126,28,29,1
127,28,29,1
128,28,29,0
129,21,29,1
130,20,29,1
131,26,29,1
132,28,29,0
133,15,29,1
134,22,29,1
135,28,29,1
136,20,29,1
137,28,29,1
138,26,29,1
139,25,29,1
140,27,29,1
141,26,29,0
142,22,29,1
143,15,29,1
144,16,29,1
145,25,29,1
146,19,29,1
147,27,29,1
148,28,29,1
149,28,29,1
150,19,29,0
151,28,29,0
152,20,29,0
153,27,29,0
154,28,29,0
155,25,29,1
156,28,29,1
157,28,29,0
158,19,29,0
159,27,29,0
160,16,29,0
161,28,29,0
162,28,29,1
163,26,29,1
164,21,29,0
165,18,29,1
166,27,29,1
167,28,29,1
168,28,29,1
169,24,29,1
170,24,29,0
171,27,29,1
172,29,29,1
173,28,29,0
174,28,29,0
175,22,29,1
176,28,29,0
177,28,29,0
178,27,29,0
179,21,29,1
180,28,29,0
181,28,29,0
182,28,29,1
183,26,29,1
184,28,29,1
185,29,29,1
186,24,29,0
187,28,29,1
188,27,29,1
189,25,26,1
190,20,29,0
191,26,27,1
192,28,29,1
193,23,29,1
194,18,29,1
195,28,29,1
