decision,majority,crowd,accuracy
1,32,40,1
2,36,40,1
3,30,40,1
4,20,40,1
5,34,40,1
6,29,40,1
7,39,40,1
8,40,40,1
9,30,40,1
10,40,40,1
11,40,40,1
12,40,40,1
13,35,40,1
14,40,40,1
15,40,40,1
16,34,40,1
17,37,40,1
18,33,40,1
19,38,40,1
20,39,40,1
21,30,40,1
22,24,40,0
23,40,40,1
24,25,40,1
25,38,40,1
26,30,40,1
27,34,40,1
28,35,40,1
29,35,40,1
30,40,40,1
31,39,40,1
32,27,40,0
33,36,40,0
34,39,40,1
35,34,40,1
36,39,40,1
37,29,40,1
38,37,40,1
39,21,40,1
40,35,40,1
41,37,40,1
42,36,40,1
43,27,40,1
44,21,40,0
45,31,40,1
46,40,40,1
47,31,40,1
48,22,40,1
49,36,40,1
50,32,40,1
51,35,40,1
52,31,40,0
53,40,40,1
54,29,40,1
55,20,40,1
56,40,40,1
57,40,40,1
58,40,40,1
59,31,40,1
60,33,40,1
61,38,40,1
62,40,40,1
63,40,40,1
64,38,40,1
65,37,40,1
66,37,40,1
67,36,40,1
68,40,40,1
69,31,40,1
70,35,40,1
71,25,40,0
72,38,40,1
73,30,40,1
74,33,40,1
75,28,40,1
76,30,40,1
77,40,40,1
78,39,40,1
79,40,40,1
80,40,40,1
81,40,40,1
82,39,40,1
83,32,40,1
84,24,40,0
85,26,40,0
86,38,40,1
87,28,40,1
88,35,40,1
89,37,40,1
90,30,40,1
91,23,40,1
92,38,40,1
93,38,40,1
94,40,40,1
95,39,40,1
96,38,40,1
97,31,40,0
98,39,40,1
99,40,40,1
100,40,40,1
101,38,40,1
102,40,40,1
103,40,40,1
104,40,40,1
105,40,40,1
106,40,40,1
107,37,40,1
108,25,40,1
