decision,majority,crowd,accuracy
1,219,227,1
2,201,227,1
3,190,225,1
4,189,228,1
5,171,226,1
6,156,225,1
7,146,227,1
8,119,225,1
9,127,225,1
10,115,225,1
11,118,227,1
12,134,225,1
13,136,226,1
14,163,223,1
15,161,227,1
16,187,228,1
17,201,226,1
18,210,226,1
19,213,227,1
20,219,227,1
21,217,226,1
22,220,226,1
23,217,224,1
24,213,225,1
25,202,228,1
26,200,222,1
27,181,224,1
28,158,225,1
29,148,225,1
30,143,224,1
31,132,219,0
32,115,224,1
33,146,225,1
34,158,226,1
35,196,225,1
36,205,227,1
37,220,228,1
38,225,226,1
39,226,226,1
40,223,227,1
