decision,majority,crowd,accuracy
1,88,127,1
2,114,127,0
3,119,127,1
4,120,127,1
5,121,127,1
6,121,127,1
7,122,127,0
8,123,127,1
9,123,127,1
10,123,123,1
11,123,127,1
12,123,127,1
13,123,127,1
14,123,127,1
15,123,127,1
16,123,127,1
17,123,127,1
18,114,127,0
19,117,127,1
20,118,127,1
21,124,127,1
22,125,127,0
23,127,127,1
24,127,127,1
25,127,127,1
26,127,127,1
27,127,127,1
28,127,127,1
29,127,127,1
30,127,127,0
31,127,127,0
32,127,127,1
33,127,127,1
34,89,127,1
35,108,127,1
36,114,127,0
37,110,127,1
38,120,127,0
39,122,127,1
40,122,127,1
41,124,127,1
42,125,127,1
43,126,127,1
44,126,127,1
45,125,127,1
46,127,127,1
47,125,127,1
48,127,127,1
49,65,127,0
50,98,127,0
51,104,127,0
52,123,127,0
53,120,127,0
54,124,127,0
55,124,127,1
56,127,127,0
57,125,127,0
58,127,127,0
59,126,127,0
60,124,127,0
61,127,127,0
62,126,127,0
63,127,127,0
64,103,127,0
65,121,127,0
66,123,127,1
67,122,127,1
68,127,127,0
69,127,127,1
70,125,127,0
71,126,127,0
72,127,127,0
73,127,127,0
74,127,127,0
75,127,127,1
76,110,127,0
77,119,127,0
78,125,127,1
79,71,127,0
80,76,127,0
81,90,127,0
82,104,127,1
83,109,127,0
84,118,127,0
85,118,127,1
86,125,127,0
87,122,127,0
88,121,127,0
89,125,127,0
90,126,127,0
91,126,127,0
92,87,127,1
93,102,127,1
94,107,127,1
95,117,127,1
96,122,127,1
97,90,127,1
98,103,127,1
99,99,127,1
100,119,127,1
101,125,127,1
102,127,127,1
103,126,127,1
104,125,127,0
105,127,127,0
106,127,127,1
107,127,127,1
108,127,127,1
109,93,127,1
110,99,127,1
111,114,127,1
112,114,127,1
113,123,127,1
114,125,127,1
115,127,127,1
116,81,127,0
117,94,127,0
118,107,127,1
119,124,127,0
120,121,127,0
121,120,127,0
122,125,127,0
123,126,127,0
124,125,127,0
125,66,127,1
126,106,127,1
127,123,127,1
128,120,127,0
129,122,127,0
130,126,127,0
131,126,127,1
132,127,127,0
133,98,127,1
134,113,127,0
135,122,127,0
136,119,127,0
137,116,127,0
138,123,127,0
139,123,127,0
140,123,127,0
141,123,123,1
142,116,127,0
143,109,127,0
144,108,127,0
145,116,127,0
146,127,127,0
147,126,127,0
148,126,127,0
149,101,127,1
150,100,127,1
151,104,127,0
152,114,127,0
153,121,127,1
154,119,127,0
155,127,127,1
156,99,126,0
157,116,126,0
158,112,127,1
159,83,127,1
160,87,127,0
161,124,126,1
162,122,126,1
163,126,126,1
164,126,126,1
165,78,127,0
166,113,127,0
167,125,127,1
168,127,127,1
169,127,127,1
170,78,125,0
171,112,125,0
172,122,125,1
173,125,125,1
174,101,123,0
175,100,124,1
176,106,121,1
177,73,125,1
178,86,123,1
179,70,122,0
180,82,114,1
181,107,112,1
182,103,112,1
183,70,110,0
184,63,94,1
185,74,109,1
186,105,128,0
187,128,128,1
188,123,128,1
189,123,128,1
190,106,128,0
191,118,128,1
192,122,128,0
193,128,128,1
194,112,124,1
195,65,128,1
196,124,128,0
197,124,128,1
198,124,128,1
199,124,128,1
200,124,126,1
201,107,128,1
202,128,128,1
203,91,128,0
204,125,128,0
205,128,128,1
206,128,128,1
207,124,128,0
208,128,128,0
209,123,128,0
210,128,128,0
211,128,128,1
212,123,128,0
213,128,128,1
214,125,128,0
215,77,128,0
216,111,128,1
217,75,128,0
218,128,128,0
219,128,128,1
220,97,128,1
221,127,128,1
222,128,128,1
223,106,128,1
224,125,128,1
225,128,128,0
226,125,128,0
227,126,128,0
228,122,128,0
229,128,128,0
230,128,128,0
231,128,128,1
232,106,128,0
233,127,128,1
234,122,128,1
235,105,128,0
236,128,128,0
237,128,128,0
238,128,128,1
