decision,majority,crowd,accuracy
1,26,41,1
2,32,44,0
3,22,33,1
4,32,40,1
5,22,44,1
6,23,43,1
7,26,41,1
8,41,44,1
9,28,36,1
10,32,44,0
11,39,44,1
12,33,39,1
13,28,44,0
14,41,44,1
15,42,44,1
16,41,44,0
17,40,44,1
18,25,44,1
19,38,44,0
20,40,44,1
21,40,44,1
22,24,41,1
23,43,44,0
24,38,43,1
25,41,44,1
26,32,44,1
27,25,39,0
28,32,44,0
29,36,40,1
30,42,42,1
31,38,42,1
32,25,42,1
33,28,40,1
34,24,40,0
35,30,42,1
36,36,42,1
37,36,42,0
38,26,36,1
39,28,42,1
40,28,40,0
41,31,42,0
42,26,31,1
43,25,42,1
44,37,41,0
45,30,41,0
46,40,41,1
47,33,41,1
48,36,41,0
49,31,32,0
50,28,39,0
51,31,40,0
52,28,40,0
53,40,41,0
54,21,39,1
55,24,27,1
56,23,37,0
57,28,39,1
58,37,43,1
59,27,42,1
60,35,43,0
61,36,43,0
62,31,34,1
63,30,43,1
64,21,42,1
65,40,43,1
66,36,43,1
67,24,41,0
68,28,33,1
69,40,43,1
70,35,41,0
71,32,42,0
72,36,42,1
73,41,42,1
74,37,42,0
75,35,42,1
76,32,39,0
77,36,40,1
78,38,42,1
79,38,42,1
80,21,37,1
81,32,42,1
82,36,38,1
83,42,42,1
84,28,42,0
85,28,37,0
86,23,41,0
87,40,42,1
88,31,36,1
89,27,32,1
90,30,41,0
91,27,33,1
92,25,28,1
93,24,42,1
94,20,38,0
95,33,41,1
96,30,38,0
97,38,41,1
98,27,41,0
99,31,41,1
100,36,39,1
101,34,38,1
102,22,41,1
103,32,39,1
104,37,41,1
105,39,43,1
106,36,40,1
107,24,43,1
108,32,43,1
109,28,42,1
110,22,43,1
111,21,36,1
112,31,43,1
113,27,38,1
114,38,43,0
115,19,38,1
116,28,42,0
117,31,41,1
118,32,39,0
119,34,42,1
120,35,42,1
121,28,41,0
122,39,42,1
123,31,42,1
124,31,42,0
125,29,42,0
126,34,38,0
127,28,38,0
128,28,34,1
129,30,39,0
130,39,39,0
131,27,38,0
132,37,40,1
133,32,40,1
134,28,40,1
135,35,40,1
136,38,39,1
137,38,40,1
138,22,40,0
139,21,40,1
140,31,40,1
141,37,40,0
142,27,39,1
143,26,40,1
144,34,40,1
145,38,40,1
146,38,40,1
147,34,40,1
148,26,40,1
149,36,40,1
150,34,38,0
151,27,40,1
152,31,33,0
153,32,33,1
154,38,40,0
155,31,40,1
156,21,40,0
157,20,36,1
158,32,38,1
159,33,41,0
160,38,41,1
161,25,41,0
162,32,41,0
163,32,41,1
164,25,35,1
165,37,39,1
166,24,41,1
167,24,41,0
168,30,37,1
169,24,37,1
170,25,37,0
171,29,41,0
172,29,39,1
173,36,39,1
174,30,39,1
175,39,42,1
176,38,42,1
177,37,42,1
178,39,42,1
179,36,42,1
180,20,35,0
181,37,38,1
182,29,39,1
183,27,42,1
184,38,42,1
185,29,42,0
186,34,41,1
187,38,41,1
188,28,35,0
189,25,30,1
190,36,40,1
191,37,41,1
192,36,39,1
193,34,41,0
194,41,41,1
195,39,41,0
196,32,36,0
197,22,35,1
198,25,34,0
199,37,39,1
200,35,38,1
201,27,35,0
202,34,39,0
203,39,40,1
204,27,34,1
205,37,39,1
206,24,38,1
207,24,29,1
208,39,40,1
209,26,37,0
210,32,37,0
211,31,40,0
212,32,38,1
213,25,38,0
214,29,39,1
215,27,40,1
216,35,41,1
217,25,41,0
218,24,34,1
219,20,37,0
220,26,41,1
221,35,41,0
222,38,40,1
223,38,41,1
224,31,39,0
225,34,41,1
226,25,41,0
