decision,majority,crowd,accuracy
1,2,3,1
2,1,2,1
3,1,2,1
4,1,2,1
5,1,2,1
6,1,2,1
7,1,2,1
8,2,3,1
9,2,2,0
10,1,2,1
11,2,2,0
12,2,2,1
13,2,2,1
14,2,2,1
15,2,2,1
16,2,2,1
17,2,2,1
18,2,2,0
19,2,2,1
20,2,2,0
21,2,2,1
22,2,2,1
23,2,2,1
24,2,2,1
25,2,2,1
26,2,2,1
27,2,2,0
28,2,2,1
29,2,2,1
30,2,2,0
31,2,2,0
32,1,2,1
33,2,2,0
34,2,2,1
35,1,2,1
36,2,2,0
37,1,2,1
38,2,2,0
39,2,2,1
40,1,2,1
41,2,2,0
42,2,2,0
43,2,2,0
44,2,2,0
45,2,2,0
46,2,2,0
47,3,3,1
48,2,2,0
49,2,2,1
50,2,2,1
51,2,2,1
52,2,3,0
53,1,2,1
54,2,2,0
55,1,2,1
56,2,2,0
57,1,2,1
58,2,2,1
59,2,2,0
60,1,2,1
61,2,2,1
62,1,2,1
63,1,2,1
64,2,2,0
65,1,2,1
66,1,2,1
67,2,2,1
68,2,2,1
69,3,4,1
70,1,2,1
71,2,2,0
72,2,2,0
73,1,2,1
74,2,2,0
75,1,2,1
76,2,2,1
