participant,question,answer
1,1,1
1,1,1
1,1,1
1,2,2
1,2,2
1,2,2
1,3,2
1,3,3
1,3,3
1,4,4
1,4,4
1,4,4
1,5,5
1,5,5
1,5,5
1,8,7
1,8,10
1,8,9
1,10,10
1,10,10
1,10,10
2,1,1
2,1,1
2,1,1
2,2,2
2,2,2
2,2,2
2,3,3
2,3,3
2,3,3
2,4,4
2,4,3
2,4,4
2,5,3
2,5,3
2,5,4
2,8,4
2,8,4
2,8,6
2,10,4
2,10,5
2,10,5
3,1,1
3,1,1
3,1,1
3,2,2
3,2,2
3,2,2
3,3,3
3,3,3
3,3,3
3,4,4
3,4,4
3,4,4
3,5,4
3,5,4
3,5,4
3,8,10
3,8,10
3,8,6
3,10,10
3,10,6
3,10,10
4,1,1
4,1,1
4,1,1
4,2,2
4,2,2
4,2,2
4,3,3
4,3,3
4,3,3
4,4,6
4,4,6
4,4,7
4,5,6
4,5,5
4,5,5
4,8,6
4,8,10
4,8,10
4,10,7
4,10,11
4,10,8
5,1,1
5,1,1
5,1,1
5,2,2
5,2,2
5,2,2
5,3,3
5,3,3
5,3,4
5,4,4
5,4,6
5,4,5
5,5,5
5,5,5
5,5,3
5,8,7
5,8,7
5,8,8
5,10,8
5,10,8
5,10,7
6,1,1
6,1,1
6,1,1
6,2,2
6,2,2
6,2,2
6,3,3
6,3,3
6,3,3
6,4,4
6,4,3
6,4,4
6,5,4
6,5,5
6,5,3
6,8,6
6,8,6
6,8,5
6,10,5
6,10,5
6,10,7
7,1,1
7,1,1
7,1,1
7,2,2
7,3,4
7,3,3
7,4,7
7,4,4
7,4,4
7,5,3
7,5,3
7,5,4
7,8,4
7,8,5
7,8,3
7,10,3
7,10,3
7,10,6
8,1,1
8,1,1
8,1,1
8,2,2
8,2,2
8,3,3
8,3,3
8,3,3
8,4,5
8,5,4
8,5,4
8,8,11
8,10,10
8,10,10
9,1,1
9,1,1
9,2,2
9,2,2
9,2,2
9,3,3
9,3,3
9,3,3
9,4,2
9,4,6
9,4,4
9,5,6
9,5,5
9,5,5
9,8,5
9,8,7
9,8,6
9,10,10
9,10,8
9,10,10
10,1,1
10,1,1
10,1,1
10,2,2
10,2,2
10,3,3
10,3,3
10,3,3
10,4,4
10,4,3
10,4,3
10,5,5
10,5,3
10,5,6
10,8,7
10,8,4
10,8,4
10,10,6
10,10,5
10,10,5
11,1,1
11,1,1
11,1,1
11,2,2
11,2,2
11,2,8
11,3,4
11,3,7
11,3,3
11,4,5
11,4,7
11,4,9
11,5,3
11,5,6
11,5,7
11,8,6
11,8,8
11,8,4
11,10,4
11,10,4
11,10,5
12,1,1
12,1,1
12,1,1
12,2,2
12,2,2
12,2,3
12,3,3
12,3,3
12,3,10
12,4,3
12,4,4
12,4,4
12,5,10
12,5,3
12,5,4
12,8,4
12,8,5
12,8,4
12,10,5
12,10,4
12,10,5
13,1,1
13,2,2
13,2,2
13,2,2
13,3,4
13,3,3
13,3,3
13,4,4
13,4,9
13,4,7
13,5,3
13,5,6
13,5,4
13,8,6
13,8,4
13,8,9
13,10,5
13,10,4
13,10,6
14,1,1
14,1,1
14,1,1
14,2,2
14,2,2
14,2,2
14,3,3
14,3,4
14,3,5
14,4,3
14,4,3
14,4,6
14,5,2
14,5,2
14,5,4
14,8,4
14,8,3
14,8,6
14,10,2
14,10,3
14,10,3
15,1,1
15,1,1
15,1,5
15,2,5
15,2,2
15,2,2
15,3,6
15,3,3
15,3,3
15,4,5
15,4,9
15,4,3
15,5,3
15,5,8
15,5,9
15,8,5
15,8,5
15,8,5
15,10,5
15,10,8
15,10,5
16,1,6
16,1,5
16,1,1
16,2,2
16,2,7
16,3,4
16,3,3
16,3,8
16,4,5
16,4,8
16,4,7
16,5,3
16,5,7
16,5,8
16,8,8
16,8,4
16,8,8
16,10,7
16,10,6
16,10,8
17,1,1
17,1,1
17,2,2
17,2,2
17,2,5
17,3,5
17,3,5
17,3,5
17,4,5
17,4,5
17,4,5
17,5,5
17,5,5
17,5,5
17,8,5
17,8,5
17,8,5
17,10,5
17,10,5
17,10,5
18,1,2
18,1,11
18,1,1
18,2,12
18,2,7
18,2,6
18,3,11
18,3,6
18,3,3
18,4,8
18,4,9
18,4,5
18,5,3
18,5,7
18,5,2
18,8,10
18,8,10
18,8,2
18,10,1
18,10,8
18,10,12
19,1,1
19,1,1
19,1,1
19,2,2
19,2,2
19,2,2
19,3,3
19,3,3
19,3,3
19,4,4
19,4,4
19,4,4
19,5,5
19,5,5
19,8,6
19,8,6
19,8,8
19,10,8
19,10,6
19,10,9
20,1,1
20,1,1
20,1,1
20,2,2
20,2,2
20,2,4
20,3,3
20,3,7
20,3,10
20,4,3
20,4,8
20,4,3
20,5,3
20,5,6
20,5,10
20,8,4
20,8,4
20,8,3
20,10,10
20,10,10
20,10,3
21,1,1
21,1,1
21,1,1
21,2,2
21,2,2
21,2,2
21,3,3
21,3,3
21,3,3
21,4,4
21,4,4
21,4,5
21,5,5
21,5,5
21,5,5
21,8,6
21,8,7
21,8,8
21,10,9
21,10,8
21,10,11
22,1,1
22,1,1
22,1,1
22,2,2
22,2,6
22,2,2
22,3,3
22,3,3
22,3,3
22,4,6
22,4,5
22,4,2
22,5,6
22,5,6
22,5,6
22,8,6
22,8,8
22,8,3
22,10,6
22,10,8
22,10,6
23,1,1
23,1,1
23,2,2
23,2,2
23,2,2
23,3,3
23,3,3
23,3,3
23,4,3
23,4,4
23,4,4
23,5,4
23,5,11
23,5,10
23,8,4
23,8,7
23,8,7
23,10,10
23,10,6
23,10,5
24,1,1
24,1,1
24,2,2
24,2,2
24,2,2
24,3,3
24,3,7
24,3,7
24,4,7
24,4,5
24,4,7
24,5,7
24,5,7
24,5,5
24,8,4
24,8,5
24,8,6
24,10,6
24,10,6
24,10,5
25,1,1
25,1,1
25,1,1
25,2,2
25,3,3
25,3,5
25,4,3
25,4,4
25,4,6
25,5,6
25,5,3
25,5,4
25,8,4
25,8,5
25,8,6
25,10,5
25,10,6
