participant,question,answer
1,1,1
1,1,1
1,1,1
1,2,2
1,2,2
1,2,2
1,3,3
1,3,3
1,3,3
1,4,4
1,4,4
1,4,4
1,5,5
1,5,5
1,5,5
1,8,8
1,8,8
1,8,8
1,10,10
1,10,10
1,10,10
2,1,1
2,1,1
2,1,1
2,2,2
2,2,2
2,2,2
2,3,3
2,3,3
2,3,3
2,4,4
2,4,5
2,4,4
2,5,5
2,5,5
2,5,5
2,8,8
2,8,8
2,8,8
2,10,10
2,10,6
2,10,7
3,1,1
3,1,1
3,1,1
3,2,2
3,2,2
3,2,2
3,3,3
3,3,3
3,3,3
3,4,4
3,4,4
3,4,4
3,5,5
3,5,5
3,5,5
3,8,8
3,8,8
3,8,8
3,10,10
3,10,10
4,1,1
4,1,1
4,1,1
4,2,2
4,2,2
4,2,2
4,3,3
4,3,3
4,3,3
4,4,4
4,4,4
4,4,4
4,5,5
4,5,5
4,5,5
4,8,8
4,8,8
4,8,8
4,10,10
4,10,10
4,10,10
5,1,1
5,1,1
5,1,1
5,2,2
5,2,2
5,2,2
5,3,3
5,3,3
5,3,3
5,4,4
5,4,4
5,4,4
5,5,5
5,5,5
5,5,5
5,8,8
5,8,8
5,8,8
5,10,10
5,10,10
5,10,10
6,1,1
6,1,1
6,1,1
6,2,2
6,2,2
6,2,2
6,3,3
6,3,3
6,3,3
6,4,4
6,4,6
6,4,4
6,5,5
6,5,5
6,5,5
6,8,8
6,8,8
6,8,8
6,10,9
6,10,9
7,1,1
7,1,1
7,1,1
7,2,2
7,2,2
7,2,2
7,3,4
7,3,15
7,3,15
7,4,5
7,4,6
7,4,15
7,5,15
7,5,15
7,8,15
7,10,9
7,10,15
8,1,1
8,1,1
8,1,1
8,2,2
8,2,2
8,2,2
8,3,3
8,3,4
8,3,3
8,4,4
8,4,4
8,5,5
8,5,5
8,5,6
8,8,8
8,8,8
8,8,8
8,10,10
8,10,10
8,10,10
9,1,1
9,1,1
9,1,1
9,2,2
9,2,2
9,2,2
9,3,3
9,3,3
9,3,3
9,4,4
9,4,4
9,4,4
9,5,5
9,5,5
9,8,8
9,10,8
10,1,1
10,1,1
10,1,1
10,2,2
10,2,2
10,2,2
10,3,3
10,3,3
10,3,3
10,4,4
10,4,4
10,4,5
10,5,5
10,5,5
10,5,5
10,8,7
10,8,11
10,8,7
10,10,11
10,10,5
10,10,7
11,1,1
11,1,1
11,1,1
11,2,2
11,2,2
11,2,2
11,3,4
11,3,3
11,3,3
11,4,5
11,4,4
11,4,4
11,5,15
11,5,5
11,5,15
11,8,5
11,8,3
11,10,3
11,10,4
11,10,3
12,1,1
12,1,1
12,1,1
12,2,2
12,2,2
12,2,2
12,3,4
12,3,3
12,3,4
12,4,7
12,4,9
12,4,8
12,5,9
12,5,8
12,5,7
12,8,5
12,8,4
12,8,4
12,10,3
12,10,4
12,10,5
13,1,1
13,1,1
13,1,1
13,2,2
13,2,2
13,2,2
13,3,3
13,3,3
13,3,3
13,4,4
13,4,4
13,4,4
13,5,10
13,5,15
13,5,15
13,8,8
13,8,6
13,8,8
13,10,15
13,10,15
14,1,1
14,1,1
14,1,1
14,2,2
14,2,5
14,2,5
14,3,5
14,3,2
14,3,6
14,4,3
14,4,4
14,4,4
14,5,15
14,5,2
14,8,2
14,8,3
14,10,7
14,10,2
15,1,1
15,1,2
15,1,1
15,2,2
15,2,1
15,2,2
15,3,3
15,3,4
15,3,5
15,4,4
15,4,1
15,4,3
15,5,10
16,1,1
16,1,1
16,1,1
16,2,2
16,2,2
16,2,2
16,3,3
16,3,3
16,3,3
16,4,4
16,4,4
16,4,4
16,5,5
16,5,5
16,5,5
16,8,13
16,8,8
16,10,9
16,10,9
17,1,1
17,1,1
17,1,1
17,2,2
17,2,2
17,2,2
17,3,2
17,3,2
17,3,2
17,4,2
17,4,2
17,4,15
17,5,3
17,5,2
17,5,2
17,8,8
17,8,2
17,8,2
17,10,15
17,10,15
17,10,10
18,1,1
18,1,1
18,1,1
18,2,2
18,2,2
18,2,2
18,3,3
18,3,3
18,3,3
18,4,4
18,4,4
18,4,4
18,5,5
18,5,4
18,5,5
18,8,9
18,8,8
18,8,8
18,10,10
18,10,7
18,10,10
19,1,1
19,1,1
19,1,1
19,2,2
19,2,2
19,2,2
19,3,3
19,3,3
19,3,3
19,4,4
19,4,4
19,4,4
19,5,5
19,5,5
19,5,5
19,8,10
19,8,15
19,10,10
19,10,12
19,10,10
20,1,1
20,1,1
20,1,1
20,2,2
20,2,2
20,2,2
20,3,3
20,3,3
20,3,3
20,4,4
20,4,4
20,4,4
20,5,15
20,5,4
20,5,5
20,8,5
20,8,15
20,8,10
20,10,15
20,10,15
21,1,1
21,1,1
21,1,1
21,2,2
21,2,2
21,2,2
21,3,3
21,3,3
21,3,3
21,4,4
21,4,4
21,4,4
21,5,5
21,5,5
21,5,8
21,8,8
21,8,8
21,8,8
21,10,10
21,10,10
21,10,10
22,1,1
22,1,1
22,1,1
22,2,2
22,2,2
22,2,2
22,3,3
22,3,3
22,3,3
22,4,4
22,4,4
22,4,4
22,5,5
22,5,6
22,5,6
22,8,5
22,8,4
22,8,5
22,10,5
22,10,7
22,10,5
23,1,1
23,1,1
23,1,1
23,2,2
23,2,2
23,2,2
23,3,3
23,3,3
23,3,3
23,4,4
23,4,4
23,4,4
23,5,5
23,5,5
23,5,5
23,8,8
23,8,8
23,8,7
23,10,10
23,10,10
23,10,10
24,1,1
24,1,1
24,1,1
24,2,2
24,2,2
24,2,2
24,3,4
24,3,15
24,3,3
24,4,5
24,4,15
24,4,6
24,5,5
24,5,15
24,5,4
24,8,13
24,8,13
24,8,15
24,10,15
24,10,4
24,10,15
25,1,1
25,1,1
25,2,2
25,2,2
25,3,15
25,3,15
25,3,13
25,4,15
25,4,15
25,5,15
25,5,15
25,8,15
25,8,9
25,10,15
25,10,7
25,10,15
26,1,1
26,1,1
26,1,1
26,2,2
26,2,2
26,2,2
26,3,3
26,3,3
26,3,3
26,4,4
26,4,6
