uS Presidents 44,uS Presidents,uS Holidays,movie Releases,classic Oscar Releases,recent Oscar Releases,book Releases,superbowl,uS City Populations,european City Populations,world City Populations,country Populations,uS States West to East,country Landmasses,river Lengths,ten Commandments,nine of Ten Amendments,ten Amendments,hardness of Materials,nBA West 2010 Season,nBA East 2010 Season,nFL 2010 Season,survivor Nicaragua
George Washington,George Washington ,New Year's Day ,Jurassic Park ,Gone with the Wind ,American Beauty ,All Quiet on the Western Front ,Pittsburgh Steelers ,"New York City, New York ","London, England ","Tokyo, Japan ",China ,Oregon ,Russia ,Nile ,Worship any other God ,Freedom of speech and religion,Freedom of speech & religion ,Graphite ,L.A. Lakers ,Cleveland ,New England Patriots,Judson Birza
John Adams,John Adams ,Martin Luther King Jr. Day ,The Lion King ,Casablanca ,Gladiator ,Of Mice and Men ,New England Patriots ,"Los Angeles, California ","Berlin, Germany ","Mexico City, Mexico ",India ,Utah ,Canada ,Amazon ,Make a graven image ,Right to bear arms,Right to bear arms ,Finger nail ,Dallas ,Orlando ,Atlanta Falcons,Chase Rice
Thomas Jefferson,Thomas Jefferson ,President's Day ,Independence Day ,From Here to Eternity ,A Beautiful Mind ,"""1984""",Chicago Bears ,"Chicago, Illinois ","Madrid, Spain ","New York City, U.S. ",United States ,Nebraska ,China ,Yangtze ,Take the Lord's name in vain ,No quartering of soldiers,No quartering of soldiers ,Copper ,Phoenix ,Atlanta ,Baltimore Ravens,Matthew ''Sash'' Lenaham
James Madison,James Monroe ,Memorial Day ,Titanic ,The Bridge on the River Kwai ,Chicago ,To Kill a Mockingbird ,Seattle Seahawks ,"Houston, Texas ","Rome, Italy ","Sao Paulo, Brazil ",Indonesia ,Iowa ,United States ,Mississippi ,Break the Sabbath ,No unreasonable searches,No unreasonable searches ,Platinum ,Denver ,Boston ,Pittsburgh Steelers,Holly Hoffman
James Monroe,Andrew Jackson ,Independence Day ,Harry Potter and the Sorcerer's Stone ,The Sound of Music ,The Lord of the Rings: The Return of the King ,Sophies Choice ,Carolina Panthers ,"Phoenix, Arizona ","Paris, France ","Mumbai, India ",Brazil ,Alabama ,Brazil ,Ob-Irtysh ,Dishonor your parents ,Due process,Due process ,Titanium ,Utah ,Miami ,Chicago Bears,Dan Lembo
John Quincy Adams,Theodore Roosevelt ,Labor Day ,Finding Nemo ,In the Heat of the Night ,Million Dollar Baby ,The Color Purple ,Oakland Raiders ,"Philadelphia, Pennsylvania ","Bucharest, Romania ","Delhi, India ",Pakistan ,Ohio ,Australia ,Yenisey-Angara ,Murder ,Civil Trial by Jury,Trial by Jury ,Window glass ,Portland ,Milwaukee ,New Orleans Saints,Jane Bright
Andrew Jackson,Woodrow Wilson ,Columbus Day ,The Incredibles ,Rocky ,Crash ,The Firm , St. Louis Rams ,"San Antonio, Texas ","Hamburg, Germany ","Shanghai, China ",Bangladesh ,Virginia ,India ,Yellow River (Hwang He) ,Commit adultery ,No cruel punishment,Civil Trial by Jury ,Quartz ,San Antonio ,Charlotte ,New York Jets,Ben ''Benry'' Henry
Martin Van Buren,Franklin D. Roosevelt ,Halloween ,The Da Vinci Code ,Rain Man ,The Departed ,Jurassic Park ,Baltimore Ravens ,"San Diego, California ","Warsaw, Poland ","Kolkata, India ",Russia ,Delaware ,Argentina ,Congo ,Steal ,Right to non-specified rights,No cruel punishment ,Steel ,Oklahoma City ,Chicago ,Green Bay Packers,Kelly Shinn
William Henry Harrison,Harry S. Truman ,Veteran's Day ,Casino Royale ,Titanic ,No Country for Old Men ,Harry Potter and the Sorcerer's Stone ,Tennessee Titans ,"Dallas, Texas ","Budapest, Hungary ","Buenos Aires, Argentina ",Nigeria ,Connecticut ,Kazakhstan ,Parana ,Bear false witness ,Power for the States and People,Right to non-specified rights ,Topaz ,Houston ,Toronto ,Indianapolis Colts,NaOnka Mixon
