episode,round,P1,E1,P2,E2,P3,E3,P4,E4,truth
4641,1.0,1,550,2,1100,3,1101,4,600,3025
4641,2.0,5,850,4,1300,1,1301,2,1302,1599
4641,3.0,6,800,5,550,4,827,1,828,896
4641,4.0,7,1200,6,1500,5,1800,4,1201,2150
4641,5.0,8,1500,4,1025,7,1200,6,900,1499
4641,6.0,9,900,6,750,8,250,4,902,1000
4642,1.0,1,2400,2,2000,3,1100,4,2001,1898
4642,2.0,5,700,4,501,1,701,2,650,554
4642,3.0,6,800,1,350,2,200,5,199,884
4642,4.0,7,650,1,700,2,1000,5,670,925
4642,5.0,8,1200,2,1000,5,1300,7,1301,1299
4642,6.0,9,1500,2,1000,5,1099,7,1100,2190
4643,1.0,1,350,2,450,3,1000,4,1001,753
4643,2.0,5,150,3,300,4,1200,1,550,3200
4643,3.0,6,875,1,950,5,1050,3,500,964
4643,4.0,7,950,5,799,3,1300,6,985,3500
4643,5.0,8,5000,6,1000,7,2300,5,1500,1137
4643,6.0,9,1500,7,750,5,1000,8,1400,999
4644,1.0,1,869,2,1100,3,3113,4,450,1803
4644,2.0,5,501,3,700,4,1200,1,1182,1299
4644,3.0,6,1295,1,1750,5,899,3,1300,1450
4644,4.0,7,700,6,5250,1,1550,5,750,1544
4644,5.0,8,1200,7,900,6,1300,1,770,2875
4644,6.0,9,750,1,800,8,700,7,1,2097
4645,1.0,1,325,2,375,3,1250,4,355,1999
4645,2.0,5,1000,4,1200,1,1100,2,4500,2190
4645,3.0,6,5000,1,900,2,750,5,1100,1104
4645,4.0,7,1500,6,1700,1,1750,2,978,2099
4645,5.0,8,2200,2,1800,7,800,6,1000,2500
4645,6.0,9,2399,2,3500,7,3800,6,4500,3695
4651,1.0,1,1500,2,950,3,1100,4,2000,2699
4651,2.0,5,500,1,600,2,725,3,300,735
4651,3.0,6,800,3,1200,5,500,1,1201,1425
4651,4.0,7,990,6,1300,3,800,5,1,1850
4651,5.0,8,1200,3,1595,5,1600,7,1201,1200
4651,6.0,9,1100,3,1600,5,1601,7,1,899
4652,1.0,1,650,2,855,3,459,4,700,930
4652,2.0,5,1200,3,1400,4,1350,1,1401,2120
4652,3.0,6,750,5,600,3,459,4,900,599
4652,4.0,7,1200,4,650,6,575,5,700,1048
4652,5.0,8,875,7,750,4,1150,6,1101,allOverbid
4652,5.1,8,650,7,350,4,400,6,401,550
4652,6.0,9,300,8,502,7,700,4,150,860
4653,1.0,1,4000,2,2595,3,3500,4,4001,3375
4653,2.0,5,1000,3,600,4,375,1,655,1048
4653,3.0,6,400,3,575,4,401,1,576,599
4653,4.0,7,600,6,650,3,495,4,651,3077
4653,5.0,8,899,7,750,6,650,3,900,670
4653,6.0,9,396,3,599,8,700,7,701,1700
4654,1.0,1,400,2,1750,3,2399,4,1550,1300
4654,2.0,5,2500,2,1500,3,2501,4,2600,1699
4654,3.0,6,600,3,725,4,450,5,500,699
4654,4.0,7,500,3,600,4,450,5,601,834
4654,5.0,8,850,7,945,3,999,4,1000,1596
4654,6.0,9,1500,8,999,7,1100,3,1101,1400
4655,1.0,1,2000,2,2100,3,1300,4,1200,2706
4655,2.0,5,1750,3,1550,4,1600,1,1000,1550
4655,3.0,6,895,4,1200,1,1201,5,1202,1680
4655,4.0,7,1200,6,1070,4,900,1,1,1000
4655,5.0,8,250,1,400,7,300,6,500,599
4655,6.0,9,999,8,1000,1,700,7,750,1100
4661,1.0,1,1100,2,1099,3,936,4,1,2690
4661,2.0,5,1300,2,2000,3,1301,4,1350,1995
4661,3.0,6,1099,5,999,2,2100,3,1100,1499
4661,4.0,7,500,6,1599,5,1300,2,1200,999
4661,5.0,8,15000,6,2499,5,1301,2,2500,2400
4661,6.0,9,925,2,899,8,799,6,500,1080
4662,1.0,1,1500,2,750,3,1239,4,800,2529
4662,2.0,5,3500,2,2500,3,3000,4,1200,2900
4662,3.0,6,1750,3,1751,4,1755,5,1,1250
4662,4.0,7,775,6,995,3,1250,4,650,3875
4662,5.0,8,1100,4,1200,7,1250,6,1,1699
4662,6.0,9,899,6,1100,8,1150,4,1,890
4663,1.0,1,1825,2,1350,3,1700,4,1472,2630
4663,2.0,5,1299,2,1450,3,1500,4,2100,1400
4663,3.0,6,1300,2,1150,3,1200,4,1000,1598
4663,4.0,7,750,2,650,3,700,4,821,1637
4663,5.0,8,2000,7,1,2,1450,3,1500,1140
4663,6.0,9,800,2,1400,3,1500,8,1501,2199
4664,1.0,1,499,2,700,3,175,4,525,1750
4664,2.0,5,650,3,625,4,500,1,651,650
4664,3.0,6,550,3,600,4,670,1,701,640
4664,4.0,7,750,4,1800,1,1825,6,1500,2998
4664,5.0,8,1295,6,1500,7,950,4,951,1589
4664,6.0,9,450,7,595,4,390,8,596,649
4665,1.0,1,550,2,820,3,1200,4,1001,3200
4665,2.0,5,2500,4,999,1,1000,2,1,587
4665,3.0,6,425,5,1700,4,1039,1,1701,1399
4665,4.0,7,2100,1,2101,6,1200,5,1400,1999
4665,5.0,8,599,7,801,1,1,6,1100,795
4665,6.0,9,3000,7,2000,1,2001,6,2002,2496
4672,1.0,1,4000,2,1200,3,1650,4,1651,2030
4672,2.0,5,2300,1,1200,2,1150,3,600,600
4672,3.0,6,1150,5,950,1,1000,2,1160,1074
4672,4.0,7,1200,2,1000,6,899,5,1201,1659
4672,5.0,8,700,7,2100,2,1400,6,701,998
4672,6.0,9,450,8,900,5,700,2,901,1100
4673,1.0,1,2100,2,2200,3,1350,4,1400,3502
4673,2.0,5,425,3,575,4,600,1,601,1381
4673,3.0,6,1700,5,2500,3,2700,4,1,1000
4673,4.0,7,1395,6,1100,5,1200,3,1,1200
4673,5.0,8,1200,3,1250,7,2895,6,1251,1899
4673,6.0,9,525,8,700,3,1050,7,1051,2160
4675,1.0,1,3600,2,4000,3,4200,4,1,4299
4675,2.0,5,600,4,744,1,900,2,999,811
4675,3.0,6,1000,1,1,2,1750,5,850,964
4675,4.0,7,450,6,200,1,650,2,499,649
4675,5.0,8,595,7,800,6,600,1,900,700
4675,6.0,9,550,1,800,8,425,7,850,684
4681,1.0,1,1500,2,1000,3,450,4,500,2585
4681,2.0,5,1825,2,1500,3,1200,4,1250,2640
4681,3.0,6,600,3,625,4,700,5,701,680
4681,4.0,7,2600,4,2000,5,800,6,2300,1198
4681,5.0,8,2500,6,2501,7,2600,4,1,1665
4681,6.0,9,750,8,1301,6,800,7,2000,1995
4682,1.0,1,3000,2,4900,3,15000,4,17000,3399
4682,2.0,5,750,2,2500,3,800,4,2400,1640
4682,3.0,6,1500,4,3000,5,2355,2,2800,allOverbid
4682,3.1,6,1000,4,1050,5,1500,2,1100,1220
4682,4.0,7,1050,6,1350,4,1400,5,1200,1799
4682,5.0,8,1000,5,1530,7,1200,6,1531,1200
4682,6.0,9,1900,6,1200,8,1500,5,1000,1950
4683,1.0,1,770,2,899,3,999,4,900,3190
