participant,quarter,question,truth,answer,confidence,correct,session
175,W2023,1,2,1,51.0,0,1
175,W2023,2,2,1,51.0,0,1
175,W2023,3,1,1,91.0,1,1
175,W2023,4,1,1,37.0,1,1
175,W2023,5,2,2,93.0,1,1
175,W2023,6,1,1,79.0,1,1
175,W2023,7,2,1,30.0,0,1
175,W2023,8,2,1,51.0,0,1
175,W2023,9,2,2,50.0,1,1
175,W2023,10,1,1,52.0,1,1
175,W2023,11,1,1,48.0,1,1
175,W2023,12,1,2,51.0,0,1
175,W2023,13,2,2,36.0,1,1
175,W2023,14,1,1,45.0,1,1
175,W2023,15,1,1,41.0,1,1
175,W2023,16,2,2,50.0,1,1
175,W2023,17,2,1,45.0,0,1
175,W2023,18,2,2,35.0,1,1
175,W2023,19,2,2,47.0,1,1
175,W2023,20,2,1,91.0,0,1
175,W2023,21,1,1,65.0,1,1
175,W2023,22,2,1,53.0,0,1
175,W2023,23,2,1,42.0,0,1
175,W2023,24,1,2,60.0,0,1
175,W2023,25,2,1,41.0,0,1
175,W2023,26,2,2,39.0,1,1
175,W2023,27,2,2,55.0,1,1
175,W2023,28,2,1,83.0,0,1
175,W2023,29,2,1,45.0,0,1
175,W2023,30,2,2,17.0,1,1
175,W2023,31,2,2,33.0,1,1
175,W2023,32,2,1,68.0,0,1
175,W2023,33,2,1,27.0,0,1
175,W2023,34,2,2,35.0,1,1
175,W2023,35,1,1,85.0,1,1
175,W2023,36,1,1,42.0,1,1
175,W2023,37,2,1,50.0,0,1
175,W2023,38,2,1,77.0,0,1
175,W2023,39,1,1,51.0,1,1
175,W2023,40,1,2,54.0,0,1
175,W2023,41,2,2,22.0,1,1
175,W2023,42,2,1,41.0,0,1
175,W2023,43,2,1,63.0,0,1
175,W2023,44,1,1,86.0,1,1
175,W2023,45,2,2,45.0,1,1
175,W2023,46,2,2,52.0,1,1
175,W2023,47,2,1,78.0,0,1
175,W2023,48,1,1,59.0,1,1
175,W2023,49,2,2,47.0,1,1
175,W2023,50,1,2,42.0,0,1
348,W2023,1,2,1,27.0,0,1
348,W2023,2,2,1,25.0,0,1
348,W2023,3,1,1,65.0,1,1
