heuristic,participant,game,prediction,truth,correct
home team,1,1,1,0,0
home team,1,2,1,1,1
home team,1,3,0,0,1
home team,1,4,1,0,0
home team,1,5,0,0,1
home team,1,6,0,1,0
home team,1,7,1,0,0
home team,1,8,1,0,0
home team,1,9,0,0,1
home team,1,10,1,1,1
home team,1,11,1,1,1
home team,1,12,0,0,1
home team,1,13,1,1,1
home team,1,14,0,1,0
home team,1,15,1,1,1
home team,2,1,1,0,0
home team,2,2,1,1,1
home team,2,3,0,0,1
home team,2,4,1,0,0
home team,2,5,1,0,0
home team,2,6,1,1,1
home team,2,7,1,0,0
home team,2,8,1,0,0
home team,2,9,1,0,0
home team,2,10,1,1,1
home team,2,11,1,1,1
home team,2,12,1,0,0
home team,2,13,1,1,1
home team,2,14,1,1,1
home team,2,15,0,1,0
home team,3,1,1,0,0
home team,3,2,1,1,1
home team,3,3,0,0,1
home team,3,4,1,0,0
home team,3,5,0,0,1
home team,3,6,1,1,1
home team,3,7,1,0,0
home team,3,8,1,0,0
home team,3,9,0,0,1
home team,3,10,1,1,1
home team,3,11,1,1,1
home team,3,12,1,0,0
home team,3,13,1,1,1
home team,3,14,1,1,1
home team,3,15,1,1,1
home team,4,1,1,0,0
home team,4,2,1,1,1
home team,4,3,0,0,1
home team,4,4,1,0,0
home team,4,5,0,0,1
home team,4,6,1,1,1
home team,4,7,1,0,0
home team,4,8,0,0,1
home team,4,9,1,0,0
home team,4,10,1,1,1
home team,4,11,1,1,1
home team,4,12,0,0,1
home team,4,13,1,1,1
home team,4,14,1,1,1
home team,4,15,1,1,1
home team,5,1,1,0,0
home team,5,2,1,1,1
home team,5,3,0,0,1
home team,5,4,1,0,0
home team,5,5,0,0,1
home team,5,6,1,1,1
home team,5,7,1,0,0
home team,5,8,1,0,0
home team,5,9,0,0,1
home team,5,10,1,1,1
home team,5,11,0,1,0
home team,5,12,0,0,1
home team,5,13,1,1,1
home team,5,14,0,1,0
home team,5,15,1,1,1
home team,6,1,1,0,0
home team,6,2,1,1,1
home team,6,3,0,0,1
home team,6,4,1,0,0
home team,6,5,0,0,1
home team,6,6,0,1,0
home team,6,7,1,0,0
home team,6,8,1,0,0
home team,6,9,0,0,1
home team,6,10,1,1,1
home team,6,11,0,1,0
home team,6,12,0,0,1
home team,6,13,0,1,0
home team,6,14,1,1,1
home team,6,15,0,1,0
home team,7,1,1,0,0
home team,7,2,1,1,1
home team,7,3,0,0,1
home team,7,4,0,0,1
home team,7,5,0,0,1
home team,7,6,1,1,1
home team,7,7,1,0,0
home team,7,8,0,0,1
home team,7,9,0,0,1
home team,7,10,1,1,1
home team,7,11,1,1,1
home team,7,12,0,0,1
home team,7,13,0,1,0
home team,7,14,0,1,0
home team,7,15,1,1,1
home team,8,1,1,0,0
home team,8,2,1,1,1
home team,8,3,0,0,1
home team,8,4,0,0,1
home team,8,5,0,0,1
home team,8,6,1,1,1
home team,8,7,1,0,0
home team,8,8,1,0,0
home team,8,9,0,0,1
home team,8,10,1,1,1
home team,8,11,1,1,1
home team,8,12,1,0,0
home team,8,13,0,1,0
home team,8,14,0,1,0
home team,8,15,1,1,1
home team,9,1,1,0,0
home team,9,2,0,1,0
home team,9,3,1,0,0
home team,9,4,1,0,0
home team,9,5,0,0,1
home team,9,6,0,1,0
home team,9,7,1,0,0
home team,9,8,1,0,0
home team,9,9,0,0,1
home team,9,10,1,1,1
home team,9,11,0,1,0
home team,9,12,0,0,1
home team,9,13,0,1,0
home team,9,14,0,1,0
home team,9,15,1,1,1
home team,10,1,1,0,0
home team,10,2,1,1,1
home team,10,3,0,0,1
home team,10,4,1,0,0
home team,10,5,0,0,1
home team,10,6,0,1,0
home team,10,7,1,0,0
home team,10,8,1,0,0
home team,10,9,0,0,1
home team,10,10,1,1,1
home team,10,11,1,1,1
home team,10,12,0,0,1
home team,10,13,1,1,1
home team,10,14,0,1,0
home team,10,15,0,1,0
home team,11,1,1,0,0
home team,11,2,1,1,1
home team,11,3,0,0,1
home team,11,4,1,0,0
home team,11,5,0,0,1
home team,11,6,1,1,1
home team,11,7,1,0,0
home team,11,8,0,0,1
home team,11,9,0,0,1
home team,11,10,1,1,1
home team,11,11,1,1,1
home team,11,12,0,0,1
home team,11,13,0,1,0
home team,11,14,0,1,0
home team,11,15,0,1,0
home team,12,1,1,0,0
home team,12,2,1,1,1
home team,12,3,0,0,1
home team,12,4,1,0,0
home team,12,5,0,0,1
home team,12,6,1,1,1
home team,12,7,1,0,0
home team,12,8,1,0,0
home team,12,9,0,0,1
home team,12,10,1,1,1
home team,12,11,1,1,1
home team,12,12,0,0,1
home team,12,13,1,1,1
home team,12,14,0,1,0
home team,12,15,1,1,1
home team,13,1,1,0,0
home team,13,2,1,1,1
home team,13,3,0,0,1
home team,13,4,1,0,0
home team,13,5,0,0,1
home team,13,6,0,1,0
home team,13,7,1,0,0
home team,13,8,1,0,0
home team,13,9,0,0,1
home team,13,10,1,1,1
home team,13,11,0,1,0
home team,13,12,1,0,0
home team,13,13,0,1,0
home team,13,14,1,1,1
home team,13,15,0,1,0
home team,14,1,1,0,0
home team,14,2,1,1,1
home team,14,3,0,0,1
home team,14,4,1,0,0
home team,14,5,0,0,1
home team,14,6,1,1,1
home team,14,7,1,0,0
home team,14,8,1,0,0
home team,14,9,1,0,0
home team,14,10,1,1,1
home team,14,11,0,1,0
home team,14,12,0,0,1
home team,14,13,1,1,1
home team,14,14,1,1,1
home team,14,15,0,1,0
home team,15,1,1,0,0
home team,15,2,1,1,1
home team,15,3,0,0,1
home team,15,4,0,0,1
home team,15,5,0,0,1
home team,15,6,1,1,1
home team,15,7,1,0,0
home team,15,8,1,0,0
home team,15,9,0,0,1
home team,15,10,1,1,1
home team,15,11,0,1,0
home team,15,12,0,0,1
home team,15,13,1,1,1
home team,15,14,0,1,0
home team,15,15,0,1,0
home team,16,1,1,0,0
home team,16,2,1,1,1
home team,16,3,0,0,1
home team,16,4,0,0,1
home team,16,5,0,0,1
home team,16,6,0,1,0
home team,16,7,1,0,0
home team,16,8,0,0,1
home team,16,9,1,0,0
home team,16,10,1,1,1
home team,16,11,1,1,1
home team,16,12,0,0,1
home team,16,13,1,1,1
home team,16,14,0,1,0
home team,16,15,0,1,0
home team,17,1,0,0,1
home team,17,2,1,1,1
home team,17,3,0,0,1
home team,17,4,1,0,0
home team,17,5,0,0,1
home team,17,6,1,1,1
home team,17,7,1,0,0
home team,17,8,1,0,0
home team,17,9,0,0,1
home team,17,10,1,1,1
home team,17,11,0,1,0
home team,17,12,0,0,1
home team,17,13,0,1,0
home team,17,14,1,1,1
home team,17,15,0,1,0
home team,18,1,1,0,0
home team,18,2,1,1,1
home team,18,3,0,0,1
home team,18,4,1,0,0
home team,18,5,0,0,1
home team,18,6,1,1,1
home team,18,7,1,0,0
home team,18,8,1,0,0
home team,18,9,1,0,0
home team,18,10,1,1,1
home team,18,11,1,1,1
home team,18,12,0,0,1
home team,18,13,1,1,1
home team,18,14,1,1,1
home team,18,15,1,1,1
home team,19,1,1,0,0
home team,19,2,1,1,1
home team,19,3,0,0,1
home team,19,4,0,0,1
home team,19,5,0,0,1
home team,19,6,0,1,0
home team,19,7,1,0,0
home team,19,8,1,0,0
home team,19,9,0,0,1
home team,19,10,1,1,1
home team,19,11,1,1,1
home team,19,12,0,0,1
home team,19,13,0,1,0
home team,19,14,1,1,1
home team,19,15,1,1,1
home team,20,1,1,0,0
home team,20,2,1,1,1
home team,20,3,0,0,1
home team,20,4,1,0,0
home team,20,5,0,0,1
home team,20,6,1,1,1
home team,20,7,1,0,0
home team,20,8,1,0,0
home team,20,9,1,0,0
home team,20,10,0,1,0
home team,20,11,1,1,1
home team,20,12,0,0,1
home team,20,13,1,1,1
home team,20,14,0,1,0
home team,20,15,0,1,0
home team,21,1,1,0,0
home team,21,2,1,1,1
home team,21,3,0,0,1
home team,21,4,1,0,0
home team,21,5,0,0,1
home team,21,6,1,1,1
home team,21,7,1,0,0
home team,21,8,0,0,1
home team,21,9,1,0,0
home team,21,10,1,1,1
home team,21,11,0,1,0
home team,21,12,0,0,1
home team,21,13,1,1,1
home team,21,14,0,1,0
home team,21,15,0,1,0
home team,22,1,1,0,0
home team,22,2,1,1,1
home team,22,3,0,0,1
home team,22,4,1,0,0
home team,22,5,0,0,1
home team,22,6,1,1,1
home team,22,7,1,0,0
home team,22,8,1,0,0
home team,22,9,0,0,1
home team,22,10,1,1,1
home team,22,11,0,1,0
home team,22,12,0,0,1
home team,22,13,0,1,0
home team,22,14,0,1,0
home team,22,15,0,1,0
home team,23,1,1,0,0
home team,23,2,1,1,1
home team,23,3,0,0,1
home team,23,4,1,0,0
home team,23,5,0,0,1
home team,23,6,0,1,0
home team,23,7,1,0,0
home team,23,8,0,0,1
home team,23,9,0,0,1
home team,23,10,1,1,1
home team,23,11,1,1,1
home team,23,12,0,0,1
home team,23,13,1,1,1
home team,23,14,1,1,1
home team,23,15,0,1,0
home team,24,1,1,0,0
home team,24,2,1,1,1
home team,24,3,0,0,1
home team,24,4,0,0,1
home team,24,5,0,0,1
home team,24,6,0,1,0
home team,24,7,1,0,0
home team,24,8,0,0,1
home team,24,9,0,0,1
home team,24,10,0,1,0
home team,24,11,1,1,1
home team,24,12,0,0,1
home team,24,13,1,1,1
home team,24,14,1,1,1
home team,24,15,1,1,1
home team,25,1,1,0,0
home team,25,2,1,1,1
home team,25,3,0,0,1
home team,25,4,1,0,0
home team,25,5,0,0,1
home team,25,6,0,1,0
home team,25,7,1,0,0
home team,25,8,0,0,1
home team,25,9,0,0,1
home team,25,10,1,1,1
home team,25,11,1,1,1
home team,25,12,0,0,1
home team,25,13,1,1,1
home team,25,14,0,1,0
home team,25,15,0,1,0
home team,26,1,1,0,0
home team,26,2,1,1,1
home team,26,3,0,0,1
home team,26,4,1,0,0
home team,26,5,0,0,1
home team,26,6,0,1,0
home team,26,7,1,0,0
home team,26,8,1,0,0
home team,26,9,1,0,0
home team,26,10,1,1,1
home team,26,11,0,1,0
home team,26,12,1,0,0
home team,26,13,0,1,0
home team,26,14,0,1,0
home team,26,15,0,1,0
home team,27,1,1,0,0
home team,27,2,1,1,1
home team,27,3,0,0,1
home team,27,4,1,0,0
home team,27,5,0,0,1
home team,27,6,1,1,1
home team,27,7,1,0,0
home team,27,8,1,0,0
home team,27,9,1,0,0
home team,27,10,1,1,1
home team,27,11,0,1,0
home team,27,12,1,0,0
home team,27,13,1,1,1
home team,27,14,0,1,0
home team,27,15,1,1,1
home team,28,1,1,0,0
home team,28,2,1,1,1
home team,28,3,0,0,1
home team,28,4,1,0,0
home team,28,5,0,0,1
home team,28,6,1,1,1
home team,28,7,1,0,0
home team,28,8,0,0,1
home team,28,9,1,0,0
home team,28,10,1,1,1
home team,28,11,1,1,1
home team,28,12,0,0,1
home team,28,13,1,1,1
home team,28,14,1,1,1
home team,28,15,1,1,1
home team,29,1,1,0,0
home team,29,2,1,1,1
home team,29,3,0,0,1
home team,29,4,1,0,0
home team,29,5,0,0,1
home team,29,6,1,1,1
home team,29,7,1,0,0
home team,29,8,1,0,0
home team,29,9,0,0,1
home team,29,10,1,1,1
home team,29,11,1,1,1
home team,29,12,1,0,0
home team,29,13,1,1,1
home team,29,14,1,1,1
home team,29,15,0,1,0
home team,30,1,1,0,0
home team,30,2,1,1,1
home team,30,3,1,0,0
home team,30,4,1,0,0
home team,30,5,0,0,1
home team,30,6,1,1,1
home team,30,7,1,0,0
home team,30,8,1,0,0
home team,30,9,0,0,1
home team,30,10,1,1,1
home team,30,11,0,1,0
home team,30,12,0,0,1
home team,30,13,0,1,0
home team,30,14,1,1,1
home team,30,15,0,1,0
home team,31,1,1,0,0
home team,31,2,1,1,1
home team,31,3,0,0,1
home team,31,4,0,0,1
home team,31,5,0,0,1
home team,31,6,1,1,1
home team,31,7,1,0,0
home team,31,8,0,0,1
home team,31,9,1,0,0
home team,31,10,1,1,1
home team,31,11,1,1,1
home team,31,12,0,0,1
home team,31,13,1,1,1
home team,31,14,0,1,0
home team,31,15,0,1,0
home team,32,1,0,0,1
home team,32,2,1,1,1
home team,32,3,0,0,1
home team,32,4,1,0,0
home team,32,5,0,0,1
home team,32,6,0,1,0
home team,32,7,1,0,0
home team,32,8,1,0,0
home team,32,9,1,0,0
home team,32,10,1,1,1
home team,32,11,0,1,0
home team,32,12,0,0,1
home team,32,13,0,1,0
home team,32,14,1,1,1
home team,32,15,0,1,0
home team,33,1,1,0,0
home team,33,2,1,1,1
home team,33,3,0,0,1
home team,33,4,1,0,0
home team,33,5,0,0,1
home team,33,6,0,1,0
home team,33,7,1,0,0
home team,33,8,0,0,1
home team,33,9,1,0,0
home team,33,10,1,1,1
home team,33,11,1,1,1
home team,33,12,1,0,0
home team,33,13,1,1,1
home team,33,14,1,1,1
home team,33,15,1,1,1
home team,34,1,1,0,0
home team,34,2,1,1,1
home team,34,3,0,0,1
home team,34,4,1,0,0
home team,34,5,0,0,1
home team,34,6,1,1,1
home team,34,7,1,0,0
home team,34,8,1,0,0
home team,34,9,0,0,1
home team,34,10,1,1,1
home team,34,11,1,1,1
home team,34,12,0,0,1
home team,34,13,1,1,1
home team,34,14,0,1,0
home team,34,15,0,1,0
home team,35,1,1,0,0
home team,35,2,1,1,1
home team,35,3,0,0,1
home team,35,4,1,0,0
home team,35,5,0,0,1
home team,35,6,0,1,0
home team,35,7,1,0,0
home team,35,8,0,0,1
home team,35,9,1,0,0
home team,35,10,1,1,1
home team,35,11,1,1,1
home team,35,12,0,0,1
home team,35,13,1,1,1
home team,35,14,1,1,1
home team,35,15,1,1,1
home team,36,1,1,0,0
home team,36,2,1,1,1
home team,36,3,1,0,0
home team,36,4,1,0,0
