heuristic,participant,game,prediction,truth,correct
home team,24,1,1,0,0
home team,47,1,1,0,0
home team,50,1,1,0,0
home team,48,1,1,0,0
home team,25,1,1,0,0
home team,7,1,1,0,0
home team,6,1,1,0,0
home team,2,1,1,0,0
home team,71,1,1,0,0
home team,49,1,0,0,1
home team,3,1,0,0,1
home team,51,1,1,0,0
home team,8,1,1,0,0
home team,76,1,1,0,0
home team,52,1,1,0,0
home team,26,1,1,0,0
home team,5,1,1,0,0
home team,4,1,1,0,0
home team,70,1,1,0,0
home team,75,1,1,0,0
home team,54,1,1,0,0
home team,28,1,1,0,0
home team,92,1,1,0,0
home team,29,1,1,0,0
home team,72,1,1,0,0
home team,94,1,1,0,0
home team,30,1,1,0,0
home team,73,1,1,0,0
home team,9,1,1,0,0
home team,31,1,1,0,0
home team,53,1,1,0,0
home team,27,1,1,0,0
home team,32,1,0,0,1
home team,97,1,1,0,0
home team,1,1,1,0,0
home team,93,1,1,0,0
home team,55,1,1,0,0
home team,77,1,1,0,0
home team,34,1,1,0,0
home team,100,1,1,0,0
home team,95,1,1,0,0
home team,62,1,1,0,0
home team,63,1,1,0,0
home team,74,1,1,0,0
home team,10,1,1,0,0
home team,64,1,1,0,0
home team,80,1,1,0,0
home team,65,1,1,0,0
home team,33,1,0,0,1
home team,98,1,1,0,0
home team,66,1,1,0,0
home team,87,1,1,0,0
home team,56,1,0,0,1
home team,78,1,1,0,0
home team,35,1,1,0,0
home team,57,1,1,0,0
home team,96,1,1,0,0
home team,36,1,0,0,1
home team,85,1,1,0,0
home team,69,1,1,0,0
home team,11,1,1,0,0
home team,86,1,1,0,0
home team,81,1,1,0,0
home team,12,1,1,0,0
home team,60,1,1,0,0
home team,99,1,1,0,0
home team,67,1,1,0,0
home team,88,1,1,0,0
home team,83,1,1,0,0
home team,79,1,1,0,0
home team,89,1,1,0,0
home team,58,1,1,0,0
home team,90,1,1,0,0
home team,37,1,0,0,1
home team,59,1,1,0,0
home team,91,1,1,0,0
home team,38,1,1,0,0
home team,43,1,1,0,0
home team,82,1,1,0,0
home team,13,1,1,0,0
home team,61,1,1,0,0
home team,18,1,1,0,0
home team,68,1,1,0,0
home team,19,1,1,0,0
home team,84,1,0,0,1
home team,15,1,1,0,0
home team,20,1,0,0,1
home team,42,1,1,0,0
home team,16,1,1,0,0
home team,21,1,1,0,0
home team,41,1,1,0,0
home team,17,1,1,0,0
home team,39,1,1,0,0
home team,44,1,1,0,0
home team,14,1,0,0,1
home team,45,1,1,0,0
home team,22,1,1,0,0
home team,46,1,1,0,0
home team,40,1,1,0,0
home team,23,1,1,0,0
home team,35,10,0,1,0
home team,32,10,0,1,0
home team,34,10,0,1,0
home team,40,10,0,1,0
home team,2,10,1,1,1
home team,78,10,1,1,1
home team,41,10,1,1,1
home team,36,10,1,1,1
home team,33,10,0,1,0
home team,79,10,0,1,0
home team,37,10,1,1,1
home team,39,10,0,1,0
home team,1,10,0,1,0
home team,38,10,1,1,1
home team,93,10,0,1,0
home team,98,10,1,1,1
home team,3,10,0,1,0
home team,82,10,1,1,1
home team,42,10,0,1,0
home team,4,10,0,1,0
home team,95,10,1,1,1
home team,80,10,1,1,1
home team,5,10,1,1,1
home team,96,10,0,1,0
home team,81,10,0,1,0
home team,6,10,0,1,0
home team,45,10,0,1,0
home team,7,10,0,1,0
home team,12,10,0,1,0
home team,83,10,0,1,0
home team,94,10,1,1,1
home team,99,10,1,1,1
home team,84,10,1,1,1
home team,9,10,0,1,0
home team,43,10,0,1,0
home team,85,10,1,1,1
home team,10,10,1,1,1
home team,44,10,1,1,1
home team,70,10,0,1,0
home team,97,10,0,1,0
home team,87,10,0,1,0
home team,71,10,0,1,0
home team,46,10,0,1,0
home team,8,10,1,1,1
home team,13,10,0,1,0
home team,47,10,0,1,0
home team,73,10,0,1,0
home team,100,10,0,1,0
home team,48,10,0,1,0
home team,74,10,0,1,0
home team,15,10,0,1,0
home team,86,10,0,1,0
home team,11,10,1,1,1
home team,50,10,0,1,0
home team,92,10,1,1,1
home team,17,10,0,1,0
home team,88,10,1,1,1
home team,72,10,1,1,1
home team,18,10,1,1,1
home team,89,10,0,1,0
home team,14,10,1,1,1
home team,63,10,0,1,0
home team,90,10,0,1,0
home team,58,10,0,1,0
home team,49,10,1,1,1
home team,75,10,0,1,0
home team,16,10,1,1,1
home team,55,10,1,1,1
home team,76,10,1,1,1
home team,51,10,1,1,1
home team,56,10,1,1,1
home team,77,10,0,1,0
home team,52,10,1,1,1
home team,57,10,0,1,0
home team,19,10,1,1,1
home team,53,10,1,1,1
home team,65,10,1,1,1
home team,64,10,1,1,1
home team,91,10,1,1,1
home team,59,10,0,1,0
home team,61,10,1,1,1
home team,60,10,1,1,1
home team,22,10,1,1,1
home team,66,10,1,1,1
home team,68,10,1,1,1
home team,67,10,0,1,0
home team,20,10,1,1,1
home team,62,10,0,1,0
home team,69,10,0,1,0
home team,21,10,1,1,1
home team,31,10,0,1,0
home team,54,10,1,1,1
home team,24,10,0,1,0
home team,23,10,1,1,1
home team,27,10,1,1,1
home team,30,10,0,1,0
home team,26,10,0,1,0
home team,25,10,1,1,1
home team,29,10,0,1,0
home team,28,10,0,1,0
home team,32,11,1,1,1
home team,33,11,1,1,1
home team,40,11,1,1,1
home team,5,11,1,1,1
home team,79,11,1,1,1
home team,78,11,1,1,1
home team,41,11,0,1,0
home team,94,11,1,1,1
home team,34,11,0,1,0
home team,6,11,0,1,0
home team,42,11,0,1,0
home team,2,11,0,1,0
home team,83,11,1,1,1
home team,93,11,1,1,1
home team,3,11,0,1,0
home team,95,11,1,1,1
home team,80,11,1,1,1
home team,4,11,0,1,0
home team,43,11,1,1,1
home team,39,11,0,1,0
home team,87,11,0,1,0
home team,7,11,1,1,1
home team,82,11,0,1,0
home team,88,11,0,1,0
home team,35,11,1,1,1
home team,13,11,0,1,0
home team,89,11,0,1,0
home team,85,11,0,1,0
home team,84,11,0,1,0
home team,10,11,0,1,0
home team,86,11,1,1,1
home team,96,11,0,1,0
home team,81,11,1,1,1
home team,1,11,0,1,0
home team,44,11,0,1,0
home team,12,11,1,1,1
home team,98,11,0,1,0
home team,8,11,0,1,0
home team,77,11,0,1,0
home team,99,11,1,1,1
home team,36,11,0,1,0
home team,14,11,1,1,1
home team,90,11,0,1,0
home team,37,11,0,1,0
home team,20,11,0,1,0
home team,11,11,0,1,0
home team,38,11,1,1,1
home team,97,11,1,1,1
home team,92,11,0,1,0
home team,17,11,0,1,0
home team,45,11,0,1,0
home team,50,11,0,1,0
home team,18,11,0,1,0
home team,9,11,1,1,1
home team,51,11,1,1,1
home team,100,11,0,1,0
home team,15,11,0,1,0
home team,52,11,1,1,1
home team,91,11,1,1,1
home team,16,11,0,1,0
home team,21,11,1,1,1
home team,55,11,1,1,1
home team,49,11,0,1,0
home team,22,11,0,1,0
home team,56,11,0,1,0
home team,61,11,1,1,1
home team,46,11,1,1,1
home team,57,11,1,1,1
home team,19,11,0,1,0
home team,47,11,1,1,1
home team,63,11,1,1,1
home team,25,11,1,1,1
home team,48,11,1,1,1
home team,53,11,1,1,1
home team,70,11,1,1,1
home team,60,11,0,1,0
home team,54,11,1,1,1
home team,71,11,1,1,1
home team,76,11,1,1,1
home team,23,11,1,1,1
home team,72,11,1,1,1
home team,62,11,0,1,0
home team,58,11,0,1,0
home team,73,11,1,1,1
home team,68,11,0,1,0
home team,59,11,0,1,0
home team,64,11,1,1,1
home team,26,11,1,1,1
home team,75,11,0,1,0
home team,65,11,0,1,0
home team,27,11,0,1,0
home team,24,11,1,1,1
home team,66,11,1,1,1
home team,28,11,1,1,1
home team,30,11,0,1,0
home team,74,11,1,1,1
home team,29,11,1,1,1
home team,31,11,1,1,1
home team,69,11,1,1,1
home team,67,11,1,1,1
home team,54,12,1,0,0
home team,48,12,0,0,1
home team,55,12,0,0,1
home team,32,12,0,0,1
home team,56,12,1,0,0
home team,47,12,1,0,0
home team,49,12,0,0,1
home team,53,12,1,0,0
home team,100,12,0,0,1
home team,50,12,1,0,0
home team,33,12,0,0,1
home team,57,12,0,0,1
home team,11,12,0,0,1
home team,93,12,0,0,1
home team,13,12,0,0,1
home team,15,12,0,0,1
home team,25,12,0,0,1
home team,14,12,1,0,0
home team,10,12,1,0,0
home team,58,12,0,0,1
home team,31,12,0,0,1
home team,37,12,1,0,0
home team,59,12,0,0,1
home team,16,12,0,0,1
home team,12,12,0,0,1
home team,51,12,0,0,1
home team,34,12,0,0,1
home team,98,12,0,0,1
home team,52,12,0,0,1
home team,94,12,0,0,1
home team,30,12,1,0,0
home team,9,12,0,0,1
home team,26,12,0,0,1
home team,4,12,1,0,0
home team,63,12,0,0,1
home team,27,12,0,0,1
home team,80,12,1,0,0
home team,38,12,0,0,1
home team,60,12,0,0,1
home team,17,12,1,0,0
home team,39,12,0,0,1
home team,61,12,1,0,0
home team,35,12,1,0,0
home team,99,12,0,0,1
home team,62,12,1,0,0
home team,95,12,0,0,1
home team,41,12,0,0,1
home team,79,12,0,0,1
home team,96,12,0,0,1
home team,5,12,0,0,1
home team,64,12,0,0,1
home team,28,12,1,0,0
home team,81,12,1,0,0
home team,92,12,0,0,1
home team,29,12,0,0,1
home team,18,12,0,0,1
home team,40,12,0,0,1
home team,78,12,1,0,0
home team,36,12,0,0,1
home team,67,12,0,0,1
home team,89,12,0,0,1
home team,85,12,0,0,1
home team,42,12,1,0,0
home team,90,12,1,0,0
home team,97,12,0,0,1
home team,6,12,0,0,1
home team,65,12,0,0,1
home team,2,12,0,0,1
home team,82,12,1,0,0
home team,66,12,0,0,1
home team,3,12,0,0,1
home team,19,12,0,0,1
home team,76,12,0,0,1
home team,72,12,0,0,1
home team,20,12,1,0,0
home team,68,12,0,0,1
home team,73,12,1,0,0
home team,86,12,0,0,1
home team,43,12,0,0,1
home team,91,12,0,0,1
home team,87,12,0,0,1
home team,7,12,1,0,0
home team,75,12,1,0,0
home team,88,12,1,0,0
home team,83,12,0,0,1
home team,1,12,1,0,0
home team,77,12,1,0,0
home team,84,12,0,0,1
home team,74,12,1,0,0
home team,8,12,0,0,1
home team,21,12,0,0,1
home team,69,12,0,0,1
home team,24,12,1,0,0
home team,23,12,1,0,0
home team,44,12,0,0,1
home team,70,12,0,0,1
home team,46,12,1,0,0
home team,22,12,1,0,0
home team,71,12,1,0,0
home team,45,12,0,0,1
home team,10,13,0,1,0
home team,11,13,1,1,1
home team,16,13,0,1,0
home team,18,13,1,1,1
home team,12,13,0,1,0
home team,20,13,0,1,0
home team,19,13,1,1,1
home team,15,13,1,1,1
home team,2,13,1,1,1
home team,17,13,0,1,0
home team,85,13,1,1,1
home team,64,13,0,1,0
home team,9,13,1,1,1
home team,63,13,1,1,1
home team,79,13,1,1,1
home team,78,13,1,1,1
home team,90,13,1,1,1
home team,21,13,1,1,1
home team,86,13,1,1,1
home team,68,13,1,1,1
home team,13,13,1,1,1
home team,87,13,0,1,0
home team,66,13,1,1,1
home team,65,13,0,1,0
home team,3,13,0,1,0
home team,67,13,0,1,0
home team,62,13,1,1,1
home team,4,13,0,1,0
home team,84,13,0,1,0
home team,100,13,1,1,1
home team,80,13,0,1,0
home team,69,13,0,1,0
home team,91,13,1,1,1
home team,22,13,0,1,0
home team,1,13,1,1,1
home team,7,13,1,1,1
home team,14,13,0,1,0
home team,88,13,1,1,1
home team,83,13,1,1,1
home team,24,13,1,1,1
home team,89,13,1,1,1
home team,57,13,1,1,1
home team,25,13,1,1,1
home team,5,13,0,1,0
home team,58,13,1,1,1
home team,26,13,1,1,1
home team,81,13,0,1,0
home team,70,13,1,1,1
home team,92,13,1,1,1
home team,23,13,0,1,0
home team,71,13,1,1,1
home team,8,13,1,1,1
home team,56,13,1,1,1
home team,72,13,1,1,1
home team,94,13,1,1,1
home team,51,13,1,1,1
home team,47,13,0,1,0
home team,95,13,0,1,0
home team,52,13,0,1,0
home team,6,13,1,1,1
home team,59,13,0,1,0
home team,27,13,1,1,1
home team,82,13,0,1,0
home team,60,13,0,1,0
home team,93,13,1,1,1
home team,77,13,0,1,0
home team,61,13,0,1,0
home team,40,13,0,1,0
home team,45,13,1,1,1
home team,73,13,1,1,1
home team,41,13,0,1,0
home team,46,13,1,1,1
home team,48,13,0,1,0
home team,96,13,1,1,1
home team,53,13,1,1,1
home team,55,13,1,1,1
home team,97,13,1,1,1
home team,28,13,0,1,0
home team,50,13,0,1,0
home team,39,13,1,1,1
home team,29,13,1,1,1
home team,34,13,0,1,0
home team,99,13,1,1,1
home team,30,13,0,1,0
home team,35,13,0,1,0
home team,74,13,1,1,1
home team,42,13,1,1,1
home team,36,13,0,1,0
home team,49,13,1,1,1
home team,43,13,1,1,1
home team,54,13,0,1,0
home team,44,13,1,1,1
home team,98,13,0,1,0
home team,38,13,1,1,1
home team,32,13,0,1,0
home team,31,13,1,1,1
home team,76,13,1,1,1
home team,75,13,0,1,0
home team,37,13,1,1,1
home team,33,13,1,1,1
home team,84,14,0,1,0
home team,83,14,1,1,1
home team,85,14,1,1,1
home team,82,14,0,1,0
home team,78,14,1,1,1
home team,40,14,0,1,0
home team,79,14,0,1,0
home team,3,14,0,1,0
home team,2,14,0,1,0
home team,80,14,0,1,0
home team,58,14,0,1,0
home team,32,14,1,1,1
home team,81,14,0,1,0
home team,86,14,1,1,1
home team,1,14,1,1,1
home team,55,14,0,1,0
home team,87,14,1,1,1
home team,34,14,1,1,1
home team,56,14,0,1,0
home team,35,14,0,1,0
home team,18,14,1,1,1
home team,41,14,0,1,0
home team,47,14,0,1,0
home team,4,14,1,1,1
home team,42,14,0,1,0
home team,48,14,0,1,0
home team,59,14,1,1,1
home team,33,14,0,1,0
home team,49,14,1,1,1
home team,60,14,1,1,1
home team,17,14,0,1,0
home team,50,14,0,1,0
home team,88,14,0,1,0
home team,45,14,1,1,1
home team,57,14,0,1,0
home team,36,14,0,1,0
home team,19,14,0,1,0
home team,25,14,1,1,1
home team,37,14,0,1,0
home team,5,14,1,1,1
home team,43,14,0,1,0
home team,38,14,1,1,1
home team,6,14,1,1,1
home team,44,14,0,1,0
home team,39,14,1,1,1
home team,61,14,0,1,0
home team,28,14,1,1,1
home team,51,14,1,1,1
home team,89,14,0,1,0
home team,46,14,1,1,1
home team,52,14,1,1,1
home team,90,14,0,1,0
home team,20,14,0,1,0
home team,26,14,1,1,1
home team,91,14,1,1,1
home team,21,14,0,1,0
home team,27,14,1,1,1
home team,22,14,0,1,0
home team,7,14,0,1,0
home team,12,14,0,1,0
home team,23,14,1,1,1
home team,62,14,1,1,1
home team,29,14,0,1,0
home team,24,14,1,1,1
home team,30,14,1,1,1
home team,95,14,0,1,0
home team,53,14,1,1,1
home team,31,14,1,1,1
home team,96,14,0,1,0
home team,54,14,1,1,1
home team,92,14,0,1,0
home team,97,14,1,1,1
home team,66,14,1,1,1
home team,93,14,1,1,1
home team,8,14,1,1,1
home team,13,14,1,1,1
home team,94,14,1,1,1
home team,9,14,1,1,1
home team,14,14,0,1,0
home team,100,14,1,1,1
home team,10,14,0,1,0
home team,15,14,1,1,1
home team,65,14,1,1,1
home team,11,14,0,1,0
home team,16,14,0,1,0
home team,72,14,1,1,1
home team,71,14,0,1,0
home team,98,14,0,1,0
home team,67,14,0,1,0
home team,64,14,0,1,0
home team,63,14,0,1,0
home team,68,14,0,1,0
home team,73,14,1,1,1
home team,75,14,0,1,0
home team,69,14,0,1,0
home team,74,14,1,1,1
home team,70,14,1,1,1
home team,99,14,0,1,0
home team,76,14,0,1,0
home team,77,14,0,1,0
home team,40,15,0,1,0
home team,39,15,1,1,1
home team,41,15,1,1,1
home team,46,15,1,1,1
home team,45,15,1,1,1
home team,47,15,1,1,1
home team,85,15,0,1,0
home team,43,15,1,1,1
home team,42,15,1,1,1
home team,65,15,1,1,1
home team,44,15,0,1,0
home team,49,15,0,1,0
home team,48,15,1,1,1
home team,93,15,1,1,1
home team,2,15,1,1,1
home team,78,15,0,1,0
home team,66,15,0,1,0
home team,63,15,1,1,1
home team,58,15,1,1,1
home team,95,15,1,1,1
home team,32,15,0,1,0
home team,59,15,0,1,0
home team,86,15,1,1,1
home team,55,15,1,1,1
home team,60,15,1,1,1
home team,87,15,0,1,0
home team,56,15,1,1,1
home team,50,15,1,1,1
home team,67,15,1,1,1
home team,94,15,1,1,1
home team,3,15,1,1,1
home team,79,15,1,1,1
home team,25,15,1,1,1
home team,64,15,1,1,1
home team,80,15,0,1,0
home team,96,15,1,1,1
home team,33,15,0,1,0
home team,81,15,1,1,1
home team,17,15,0,1,0
home team,34,15,1,1,1
home team,61,15,1,1,1
home team,88,15,1,1,1
home team,57,15,0,1,0
home team,51,15,1,1,1
home team,68,15,1,1,1
home team,36,15,1,1,1
home team,4,15,1,1,1
home team,10,15,1,1,1
home team,26,15,1,1,1
home team,70,15,1,1,1
home team,11,15,1,1,1
home team,97,15,1,1,1
home team,71,15,0,1,0
home team,82,15,0,1,0
home team,18,15,1,1,1
home team,35,15,1,1,1
home team,62,15,1,1,1
home team,89,15,1,1,1
home team,9,15,1,1,1
home team,52,15,1,1,1
home team,69,15,1,1,1
home team,37,15,0,1,0
home team,5,15,1,1,1
home team,75,15,1,1,1
home team,27,15,1,1,1
home team,6,15,1,1,1
home team,12,15,1,1,1
home team,98,15,1,1,1
home team,72,15,1,1,1
home team,83,15,1,1,1
home team,19,15,1,1,1
home team,73,15,1,1,1
home team,30,15,1,1,1
home team,90,15,1,1,1
home team,15,15,1,1,1
home team,53,15,1,1,1
