participant,quarter,condition,question,questionLabel,truth,estimate,session
348,W2023,single,1,have a household income over $1 million,0,7.0,1
348,W2023,single,2,are transgender,1,21.0,1
348,W2023,single,3,have a household income over $500K,1,10.0,1
348,W2023,single,4,are Muslim,1,19.0,1
348,W2023,single,5,are Native American,1,20.0,1
348,W2023,single,6,are Jewish,2,24.0,1
348,W2023,single,7,live in New York City,3,27.0,1
348,W2023,single,8,are gay or lesbian,3,33.0,1
348,W2023,single,9,are atheists,3,23.0,1
348,W2023,single,10,are bisexual,4,25.0,1
348,W2023,single,11,are members of a union,4,43.0,1
348,W2023,single,12,are vegan or vegetarian,5,20.0,1
348,W2023,single,13,are Asian,6,28.0,1
348,W2023,single,14,are a military veteran,6,30.0,1
348,W2023,single,15,live in Texas,9,15.0,1
348,W2023,single,16,are left handed,11,38.0,1
348,W2023,single,17,live in California,12,24.0,1
348,W2023,single,18,are Black,12,40.0,1
348,W2023,single,19,have an advanced degree,12,18.0,1
348,W2023,single,20,are first generation immigrants,14,16.0,1
348,W2023,single,21,are Hispanic,17,35.0,1
348,W2023,single,22,are Catholic,22,35.0,1
348,W2023,single,23,own a gun,32,54.0,1
348,W2023,single,24,have at least a college degree,33,38.0,1
348,W2023,single,25,have a household income over $100K,34,26.0,1
348,W2023,single,26,have a passport,37,43.0,1
348,W2023,single,27,are Democrats,42,42.0,1
348,W2023,single,28,are obese,42,45.0,1
348,W2023,single,29,are Republicans,47,37.0,1
348,W2023,single,30,are married,51,63.0,1
348,W2023,single,31,have at least one child,57,56.0,1
348,W2023,single,32,voted in the 2020 election,62,77.0,1
348,W2023,single,33,have a household income over $50K,62,55.0,1
348,W2023,single,34,are White,64,57.0,1
348,W2023,single,35,own a house,65,27.0,1
348,W2023,single,36,have a pet,67,61.0,1
348,W2023,single,37,are Christian,70,45.0,1
348,W2023,single,38,have read a book in the past year,77,37.0,1
348,W2023,single,39,have a household income over $25K,82,79.0,1
348,W2023,single,40,have a driver's license,83,68.0,1
