participant,quarter,stimulusSet,item,rank,truthRank,session
578,W2023,Q1 0 GROUP,Delhi,1,,1
578,W2023,Q1 0 GROUP,Mexico City,2,,1
578,W2023,Q1 0 GROUP,Mumbai,3,,1
578,W2023,Q1 0 GROUP,Shanghai,4,,1
578,W2023,Q1 0 GROUP,Tokyo,5,,1
578,W2023,Q1 0 GROUP,Sao Paulo,6,,1
578,W2023,Q1 0 GROUP,New York,7,,1
578,W2023,Q1 0 GROUP,Buenos Aires,8,,1
578,W2023,Q1 1 GROUP,Dhaka,1,,1
578,W2023,Q1 1 GROUP,Kolkata,2,,1
578,W2023,Q9 0 GROUP,India,1,,1
578,W2023,Q9 0 GROUP,China,2,,1
578,W2023,Q9 0 GROUP,United States,3,,1
578,W2023,Q9 0 GROUP,Japan,4,,1
578,W2023,Q9 0 GROUP,Brazil,5,,1
578,W2023,Q9 0 GROUP,Russia,6,,1
578,W2023,Q9 0 GROUP,Nigeria,7,,1
578,W2023,Q9 0 GROUP,Indonesia,8,,1
578,W2023,Q9 0 GROUP,Bangladesh,9,,1
578,W2023,Q9 0 GROUP,Pakistan,10,,1
578,W2023,Q7 0 GROUP,Los Angeles,1,,1
578,W2023,Q7 0 GROUP,Houston,2,,1
578,W2023,Q7 0 GROUP,New York,3,,1
578,W2023,Q7 0 GROUP,Chicago,4,,1
578,W2023,Q7 0 GROUP,San Antonio,5,,1
578,W2023,Q7 0 GROUP,Dallas,6,,1
578,W2023,Q7 0 GROUP,Philadelphia,7,,1
578,W2023,Q7 0 GROUP,Phoenix,8,,1
578,W2023,Q7 0 GROUP,San Jose,9,,1
578,W2023,Q7 0 GROUP,San Diego,10,,1
578,W2023,Q8 0 GROUP,Budapest,1,,1
578,W2023,Q8 0 GROUP,Rome,2,,1
578,W2023,Q8 0 GROUP,Hamburg,3,,1
578,W2023,Q8 0 GROUP,Bucharest,4,,1
578,W2023,Q8 0 GROUP,Madrid,5,,1
578,W2023,Q8 0 GROUP,Berlin,6,,1
578,W2023,Q8 0 GROUP,Paris,7,,1
578,W2023,Q8 0 GROUP,London,8,,1
578,W2023,Q8 0 GROUP,Vienna,9,,1
578,W2023,Q10 0 GROUP,Oregon,1,,1
578,W2023,Q10 0 GROUP,Nebraska,2,,1
578,W2023,Q10 0 GROUP,Utah,3,,1
578,W2023,Q10 0 GROUP,Ohio,4,,1
578,W2023,Q10 0 GROUP,Virginia,5,,1
578,W2023,Q10 0 GROUP,Alabama,6,,1
578,W2023,Q10 0 GROUP,Iowa,7,,1
578,W2023,Q10 0 GROUP,Connecticut,8,,1
578,W2023,Q10 0 GROUP,Maine,9,,1
578,W2023,Q11 0 GROUP,Australia,1,,1
578,W2023,Q11 0 GROUP,Russia,2,,1
578,W2023,Q11 0 GROUP,Brazil,3,,1
578,W2023,Q11 0 GROUP,United States,4,,1
578,W2023,Q11 0 GROUP,China,5,,1
578,W2023,Q11 0 GROUP,India,6,,1
578,W2023,Q11 0 GROUP,Canada,7,,1
578,W2023,Q11 0 GROUP,Argentina,8,,1
578,W2023,Q11 0 GROUP,Sudan,9,,1
