participant,bartSessions,gasPricesSessions,fishPricesSessions
2,1,0,1
3,1,0,1
4,1,0,1
5,1,1,0
6,1,0,0
7,1,1,0
8,1,0,1
9,1,0,1
10,1,0,1
11,1,0,1
12,1,0,1
13,1,0,1
14,1,1,0
15,1,0,1
16,1,0,1
18,1,0,0
19,1,0,0
20,1,0,1
21,1,1,0
22,1,0,1
23,1,0,1
24,1,0,1
25,1,1,0
26,1,0,1
28,1,0,0
29,1,1,0
30,2,1,0
31,1,1,0
32,1,1,0
33,1,1,0
34,1,0,1
35,1,0,1
36,1,0,1
37,1,0,1
38,1,1,0
39,1,0,1
40,1,1,0
41,1,0,1
42,1,0,1
43,1,1,0
44,1,0,1
45,1,0,1
46,1,0,1
47,1,0,1
48,1,1,0
49,1,0,1
50,1,1,0
51,1,0,1
52,1,0,0
53,1,1,0
54,1,0,1
55,1,0,1
56,1,1,0
57,1,1,0
58,1,1,0
59,1,0,1
60,1,0,1
61,1,1,0
62,1,1,0
63,1,1,0
64,1,0,1
65,1,0,1
66,1,1,0
67,1,0,1
68,1,1,0
69,1,0,1
70,1,0,1
71,1,1,0
72,2,1,0
73,1,0,0
75,1,0,1
76,1,0,1
77,1,1,0
78,1,1,0
79,1,1,0
80,1,0,1
81,2,0,2
82,1,0,1
83,1,1,0
84,1,0,0
85,1,0,1
86,1,0,1
87,1,1,0
88,1,1,0
89,1,0,1
90,1,1,0
91,1,0,1
92,1,1,0
93,1,1,0
94,1,0,1
95,1,0,1
96,1,0,1
98,1,0,1
99,1,0,1
100,1,0,1
101,1,1,1
102,1,1,0
103,1,0,0
104,1,1,0
105,1,0,1
106,1,1,0
107,1,0,1
108,1,1,0
109,1,1,0
111,1,0,1
112,1,0,1
113,1,0,1
114,1,1,0
115,1,0,1
116,1,0,1
117,1,1,0
118,1,1,0
119,1,0,1
120,1,0,1
121,1,0,1
122,1,0,1
123,1,0,1
124,1,0,1
125,1,0,1
127,1,0,1
128,1,0,1
129,1,0,1
130,1,0,1
131,1,0,1
132,1,0,1
133,1,1,0
134,1,0,1
135,1,0,1
136,1,0,1
137,1,0,1
138,1,0,1
139,1,1,0
140,1,0,1
141,1,0,1
142,1,1,0
143,1,0,1
144,1,0,1
145,1,1,0
146,1,0,1
147,1,0,1
148,1,0,1
149,1,0,1
150,1,0,1
151,1,0,1
152,1,0,1
153,1,0,1
154,1,0,1
155,1,0,1
156,1,0,1
157,1,0,1
158,1,0,1
159,1,0,0
160,1,0,1
162,1,0,1
163,1,0,1
164,1,0,1
165,1,0,1
166,1,0,1
167,1,0,1
168,1,0,1
169,1,0,0
170,1,0,1
171,1,0,1
172,1,1,0
173,1,0,1
174,1,0,1
175,1,1,0
176,1,0,1
177,1,1,0
178,1,0,1
179,1,1,0
180,1,0,1
181,1,0,1
182,1,0,1
183,1,1,0
185,2,0,1
186,1,0,1
187,1,0,1
188,1,0,1
189,1,0,1
190,1,1,0
191,1,0,1
192,1,0,1
193,1,0,1
194,1,0,1
195,1,1,0
196,1,1,0
197,1,0,1
198,1,0,1
199,1,1,0
200,1,0,1
201,1,1,0
202,1,0,1
203,1,1,0
204,1,0,0
205,1,0,0
206,1,1,0
207,1,1,0
208,1,0,1
209,1,0,1
210,1,0,1
212,1,1,0
213,1,0,1
214,1,1,0
215,1,1,0
216,1,0,1
217,1,1,0
218,1,1,0
219,1,0,1
221,1,1,0
222,1,0,1
223,1,0,1
225,1,0,1
226,1,1,0
228,1,1,0
229,1,0,1
230,1,1,0
231,1,0,1
232,1,1,0
233,1,0,1
234,1,0,1
235,1,0,1
236,1,0,1
237,1,0,1
238,1,1,0
239,1,0,1
240,1,0,1
241,1,0,1
242,1,1,0
243,1,0,1
244,1,0,1
245,1,0,1
247,1,1,0
248,1,1,0
249,1,1,0
250,1,0,1
251,1,1,0
252,1,0,1
253,1,0,1
254,1,1,0
255,1,1,0
256,1,0,1
257,1,0,1
258,1,1,0
260,1,0,0
261,1,0,1
262,1,0,1
263,1,1,0
264,1,0,1
265,1,1,0
266,1,0,1
267,1,0,0
268,1,1,0
269,1,0,1
270,1,0,0
271,1,0,1
272,1,1,0
273,1,0,1
274,1,1,0
275,1,1,0
276,1,0,1
277,1,0,1
278,1,1,0
279,1,0,1
280,1,1,0
281,1,0,1
282,1,0,1
284,1,1,0
285,1,1,0
286,1,0,1
287,1,1,0
288,1,0,1
289,1,0,0
291,1,0,1
292,1,0,1
293,1,0,1
295,1,1,0
296,1,1,0
297,1,0,0
298,1,1,0
299,1,1,0
300,1,0,1
301,1,1,0
302,1,0,1
303,1,0,1
304,1,0,1
305,1,1,0
306,1,1,0
307,2,1,0
308,1,0,1
309,1,1,0
310,1,0,1
311,1,0,1
313,1,0,1
314,1,0,1
315,1,0,1
316,1,0,1
317,1,0,1
318,1,1,0
319,1,0,1
320,1,0,1
321,1,0,1
323,1,1,0
324,1,1,0
325,1,0,1
326,1,1,0
327,1,1,0
328,1,0,1
330,1,0,1
331,1,0,1
332,1,1,0
333,1,0,1
334,1,0,1
335,1,0,1
336,1,0,1
337,1,1,0
338,1,0,1
339,1,0,1
340,1,1,0
341,2,1,1
342,1,0,1
343,1,1,0
344,1,0,1
345,1,1,0
346,1,1,0
347,1,0,1
348,1,0,0
349,1,0,0
350,1,0,1
351,1,0,1
352,1,0,1
353,1,1,0
354,1,0,1
355,1,0,1
356,1,0,1
357,1,0,1
358,1,0,1
359,1,1,0
360,1,0,1
361,1,0,1
362,1,0,1
363,1,0,1
364,1,1,0
365,1,1,0
366,1,1,0
367,1,1,0
368,1,1,0
369,1,0,1
370,1,0,1
371,1,0,0
372,1,0,1
373,1,0,1
374,1,0,1
375,1,0,0
376,2,0,2
377,1,0,1
379,1,0,1
380,1,1,0
381,1,0,1
382,1,0,1
383,1,0,1
384,1,0,1
385,1,0,1
386,1,1,0
387,1,0,1
388,1,1,0
389,1,0,1
390,1,0,1
391,1,1,0
392,1,1,0
393,1,1,0
394,1,0,1
395,1,0,1
396,1,0,1
397,1,0,1
398,1,0,1
399,1,0,1
400,1,0,1
401,1,1,0
402,1,1,0
403,1,0,0
404,1,1,0
405,1,0,1
406,1,0,1
407,1,0,1
408,1,1,0
409,1,0,1
410,1,0,1
411,1,1,0
412,1,0,1
413,1,0,1
414,1,0,1
415,1,1,0
417,1,0,1
418,1,0,1
419,1,1,0
420,1,0,1
421,1,0,1
422,1,1,0
424,1,0,1
425,1,0,1
426,1,0,1
427,1,0,1
428,1,1,0
429,1,0,1
430,1,1,0
431,1,0,1
432,1,0,1
433,1,0,1
434,1,0,1
435,1,1,0
436,1,0,1
437,1,1,0
438,2,1,0
439,1,0,1
440,1,0,1
441,1,0,1
442,1,0,1
443,1,1,0
444,1,0,1
445,1,0,1
446,1,0,1
447,1,0,1
448,1,0,1
450,1,1,0
451,1,1,0
452,2,1,0
453,1,0,1
454,1,1,0
455,1,0,0
456,1,0,1
458,2,0,1
459,1,1,0
460,1,0,1
461,1,0,1
462,1,0,1
463,1,0,1
465,1,0,0
466,1,0,1
467,1,1,0
468,1,0,1
469,1,0,1
470,1,0,1
471,1,0,1
472,1,1,0
473,1,0,0
474,1,1,0
475,1,0,1
476,1,0,1
477,1,0,1
478,1,0,1
479,1,1,0
480,1,0,1
481,1,1,0
482,1,0,1
483,1,1,0
484,1,1,0
485,1,0,1
486,1,0,0
487,1,0,1
488,1,0,1
489,1,1,0
491,1,1,0
492,1,0,0
493,2,0,1
494,1,0,1
495,1,1,0
496,1,0,0
497,1,0,1
498,1,1,0
499,1,0,1
500,1,0,1
501,1,1,0
502,1,1,0
503,1,1,0
504,1,0,1
505,1,0,1
506,1,1,0
507,1,1,0
508,1,1,0
510,1,1,0
511,2,1,0
512,1,0,1
513,1,0,1
515,1,0,1
516,1,1,0
517,1,1,0
518,1,0,1
519,1,1,0
520,1,0,1
521,1,0,1
522,1,0,1
523,1,1,0
524,1,1,0
525,1,1,0
526,1,0,1
527,1,0,1
528,1,0,1
529,2,0,1
530,1,1,0
531,1,1,0
532,1,1,0
533,1,0,1
534,1,1,0
535,1,0,0
536,2,0,2
537,1,0,1
538,1,0,1
539,1,0,1
540,1,1,0
541,1,0,1
542,1,1,0
543,1,1,0
544,1,1,0
545,1,0,1
546,1,1,0
547,1,1,0
548,1,1,0
549,1,1,0
550,1,1,0
551,1,1,0
552,1,0,1
553,1,1,0
554,1,0,0
555,1,1,0
556,1,0,1
557,1,0,1
558,1,1,0
559,1,0,1
560,1,0,1
561,1,1,0
562,1,0,1
563,1,0,0
564,1,0,0
565,1,0,0
566,1,0,0
567,1,0,0
568,1,0,0
569,1,0,0
570,1,0,0
571,1,0,0
572,1,0,0
573,1,0,0
