participant,quarter,session,problem,presentationOrder,burstPoint,nPumps,burst
40,W2023,1,1,1.0,11,4,0
40,W2023,1,2,5.0,9,3,0
40,W2023,1,3,13.0,8,5,0
40,W2023,1,4,9.0,8,3,0
40,W2023,1,5,18.0,7,3,0
40,W2023,1,6,3.0,6,0,0
40,W2023,1,7,14.0,6,4,0
40,W2023,1,8,10.0,5,3,0
40,W2023,1,9,2.0,5,3,0
40,W2023,1,10,4.0,5,5,1
40,W2023,1,11,16.0,5,4,0
40,W2023,1,12,8.0,4,0,0
40,W2023,1,13,17.0,4,4,1
40,W2023,1,14,7.0,3,3,1
40,W2023,1,15,20.0,3,0,0
40,W2023,1,16,11.0,2,2,1
40,W2023,1,17,12.0,2,2,1
40,W2023,1,18,6.0,1,1,1
40,W2023,1,19,15.0,1,1,1
40,W2023,1,20,19.0,1,1,1
563,W2023,1,1,11.0,11,3,0
563,W2023,1,2,1.0,9,3,0
563,W2023,1,3,6.0,8,3,0
563,W2023,1,4,5.0,8,3,0
563,W2023,1,5,7.0,7,3,0
563,W2023,1,6,10.0,6,3,0
563,W2023,1,7,15.0,6,3,0
563,W2023,1,8,8.0,5,3,0
563,W2023,1,9,20.0,5,3,0
563,W2023,1,10,19.0,5,3,0
563,W2023,1,11,9.0,5,3,0
563,W2023,1,12,17.0,4,3,0
563,W2023,1,13,16.0,4,3,0
563,W2023,1,14,12.0,3,3,1
563,W2023,1,15,18.0,3,3,1
563,W2023,1,16,13.0,2,2,1
563,W2023,1,17,14.0,2,2,1
563,W2023,1,18,3.0,1,1,1
563,W2023,1,19,4.0,1,1,1
563,W2023,1,20,2.0,1,1,1
296,W2023,1,1,18.0,11,3,0
296,W2023,1,2,12.0,9,3,0
296,W2023,1,3,19.0,8,4,0
296,W2023,1,4,13.0,8,2,0
296,W2023,1,5,8.0,7,4,0
296,W2023,1,6,4.0,6,5,0
296,W2023,1,7,1.0,6,2,0
296,W2023,1,8,3.0,5,0,0
296,W2023,1,9,2.0,5,3,0
296,W2023,1,10,15.0,5,1,0
296,W2023,1,11,10.0,5,5,1
296,W2023,1,12,9.0,4,4,1
296,W2023,1,13,7.0,4,4,1
296,W2023,1,14,20.0,3,0,0
296,W2023,1,15,16.0,3,3,1
296,W2023,1,16,5.0,2,0,0
296,W2023,1,17,6.0,2,2,1
296,W2023,1,18,11.0,1,1,1
296,W2023,1,19,17.0,1,1,1
296,W2023,1,20,14.0,1,1,1
175,W2023,1,1,5.0,11,3,0
175,W2023,1,2,12.0,9,2,0
175,W2023,1,3,13.0,8,5,0
175,W2023,1,4,8.0,8,7,0
175,W2023,1,5,16.0,7,3,0
175,W2023,1,6,7.0,6,4,0
175,W2023,1,7,1.0,6,1,0
175,W2023,1,8,2.0,5,3,0
175,W2023,1,9,15.0,5,5,1
175,W2023,1,10,10.0,5,4,0
175,W2023,1,11,11.0,5,3,0
175,W2023,1,12,4.0,4,3,0
175,W2023,1,13,20.0,4,4,1
175,W2023,1,14,3.0,3,3,1
175,W2023,1,15,17.0,3,3,1
175,W2023,1,16,9.0,2,2,1
175,W2023,1,17,19.0,2,2,1
175,W2023,1,18,6.0,1,1,1
175,W2023,1,19,14.0,1,1,1
175,W2023,1,20,18.0,1,1,1
348,W2023,1,1,10.0,11,4,0
348,W2023,1,2,16.0,9,4,0
348,W2023,1,3,15.0,8,5,0
348,W2023,1,4,2.0,8,4,0
348,W2023,1,5,11.0,7,4,0
348,W2023,1,6,18.0,6,4,0
348,W2023,1,7,4.0,6,5,0
348,W2023,1,8,19.0,5,4,0
348,W2023,1,9,1.0,5,4,0
348,W2023,1,10,9.0,5,3,0
348,W2023,1,11,3.0,5,4,0
348,W2023,1,12,13.0,4,4,1
348,W2023,1,13,5.0,4,4,1
348,W2023,1,14,17.0,3,3,1
348,W2023,1,15,7.0,3,3,1
348,W2023,1,16,14.0,2,2,1
348,W2023,1,17,20.0,2,2,1
348,W2023,1,18,6.0,1,1,1
348,W2023,1,19,8.0,1,1,1
348,W2023,1,20,12.0,1,1,1
564,W2023,1,1,2.0,11,1,0
564,W2023,1,2,6.0,9,1,0
564,W2023,1,3,16.0,8,1,0
564,W2023,1,4,20.0,8,1,0
564,W2023,1,5,17.0,7,1,0
564,W2023,1,6,15.0,6,1,0
564,W2023,1,7,4.0,6,1,0
564,W2023,1,8,11.0,5,1,0
564,W2023,1,9,13.0,5,1,0
564,W2023,1,10,10.0,5,1,0
564,W2023,1,11,19.0,5,1,0
564,W2023,1,12,14.0,4,1,0
564,W2023,1,13,18.0,4,1,0
564,W2023,1,14,5.0,3,1,0
564,W2023,1,15,9.0,3,1,0
564,W2023,1,16,12.0,2,1,0
564,W2023,1,17,8.0,2,1,0
564,W2023,1,18,7.0,1,1,1
564,W2023,1,19,1.0,1,1,1
564,W2023,1,20,3.0,1,1,1
84,W2023,1,1,13.0,11,3,0
84,W2023,1,2,10.0,9,3,0
84,W2023,1,3,5.0,8,3,0
84,W2023,1,4,11.0,8,3,0
84,W2023,1,5,14.0,7,4,0
84,W2023,1,6,17.0,6,3,0
84,W2023,1,7,12.0,6,3,0
84,W2023,1,8,1.0,5,3,0
84,W2023,1,9,15.0,5,3,0
84,W2023,1,10,7.0,5,3,0
84,W2023,1,11,16.0,5,5,1
84,W2023,1,12,6.0,4,3,0
84,W2023,1,13,8.0,4,4,1
84,W2023,1,14,18.0,3,3,1
84,W2023,1,15,2.0,3,3,1
84,W2023,1,16,4.0,2,2,1
84,W2023,1,17,20.0,2,2,1
84,W2023,1,18,19.0,1,1,1
84,W2023,1,19,9.0,1,1,1
84,W2023,1,20,3.0,1,1,1
554,W2023,1,1,7.0,11,5,0
554,W2023,1,2,13.0,9,5,0
554,W2023,1,3,3.0,8,5,0
554,W2023,1,4,15.0,8,5,0
554,W2023,1,5,8.0,7,7,1
554,W2023,1,6,4.0,6,5,0
554,W2023,1,7,1.0,6,6,1
554,W2023,1,8,5.0,5,5,1
554,W2023,1,9,18.0,5,5,1
554,W2023,1,10,11.0,5,5,1
554,W2023,1,11,17.0,5,5,1
554,W2023,1,12,10.0,4,4,1
554,W2023,1,13,9.0,4,4,1
554,W2023,1,14,12.0,3,3,1
554,W2023,1,15,16.0,3,3,1
554,W2023,1,16,19.0,2,2,1
554,W2023,1,17,6.0,2,2,1
554,W2023,1,18,2.0,1,1,1
554,W2023,1,19,14.0,1,1,1
554,W2023,1,20,20.0,1,1,1
217,W2023,1,1,19.0,11,5,0
217,W2023,1,2,6.0,9,2,0
217,W2023,1,3,18.0,8,3,0
217,W2023,1,4,15.0,8,3,0
217,W2023,1,5,2.0,7,3,0
217,W2023,1,6,10.0,6,3,0
217,W2023,1,7,5.0,6,3,0
217,W2023,1,8,12.0,5,1,0
