problemSize,problem,point,x,y
30,1,1,0.0238,0.6136
30,1,2,0.1088,0.7669
30,1,3,0.549,0.3713
30,1,4,0.0861,0.3345
30,1,5,0.5985,0.2163
30,1,6,0.8208,0.5711
30,1,7,0.8166,0.0282
30,1,8,0.237,0.0169
30,1,9,0.6454,0.2927
30,1,10,0.4397,0.67
30,1,11,0.1533,0.618
30,1,12,0.1125,0.4996
30,1,13,0.4954,0.9741
30,1,14,0.3274,0.3365
30,1,15,0.7894,0.927
30,1,16,0.2129,0.6968
30,1,17,0.9082,0.2222
30,1,18,0.6224,0.8328
30,1,19,0.6567,0.7573
30,1,20,0.9258,0.4472
30,1,21,0.4893,0.4814
30,1,22,0.3378,0.7087
30,1,23,0.463,0.5362
30,1,24,0.2884,0.0195
30,1,25,0.5427,0.7604
30,1,26,0.9331,0.3756
30,1,27,0.8535,0.9406
30,1,28,0.3048,0.7735
30,1,29,0.371,0.5046
30,1,30,0.5136,0.6952
30,2,1,0.3906,0.9006
30,2,2,0.7733,0.135
30,2,3,0.5476,0.5041
30,2,4,0.9893,0.6572
30,2,5,0.7206,0.0166
30,2,6,0.6072,0.5869
30,2,7,0.831,0.2363
30,2,8,0.545,0.2326
30,2,9,0.7662,0.0639
30,2,10,0.4132,0.8256
30,2,11,0.6448,0.7056
30,2,12,0.9052,0.348
30,2,13,0.3326,0.1268
30,2,14,0.438,0.6113
30,2,15,0.2082,0.7543
30,2,16,0.0429,0.5839
30,2,17,0.1782,0.4304
30,2,18,0.5061,0.9698
30,2,19,0.9435,0.6153
30,2,20,0.5144,0.8405
30,2,21,0.5205,0.6928
30,2,22,0.9763,0.412
30,2,23,0.184,0.8176
30,2,24,0.5056,0.3634
30,2,25,0.9621,0.8373
30,2,26,0.6351,0.6587
30,2,27,0.2745,0.5546
30,2,28,0.7696,0.646
30,2,29,0.3899,0.2261
30,2,30,0.9517,0.7602
30,3,1,0.9837,0.3859
30,3,2,0.3987,0.3897
30,3,3,0.2664,0.2745
30,3,4,0.7731,0.3956
30,3,5,0.1114,0.4018
30,3,6,0.6541,0.2136
30,3,7,0.5237,0.8155
30,3,8,0.7113,0.3978
30,3,9,0.1538,0.6266
30,3,10,0.4236,0.0736
30,3,11,0.9382,0.075
30,3,12,0.8454,0.6406
30,3,13,0.9704,0.9221
30,3,14,0.6216,0.7262
30,3,15,0.7409,0.8993
30,3,16,0.2539,0.3881
30,3,17,0.3286,0.6657
30,3,18,0.6159,0.5682
30,3,19,0.2408,0.822
30,3,20,0.7187,0.795
30,3,21,0.2041,0.2506
30,3,22,0.7271,0.1372
30,3,23,0.4807,0.5853
30,3,24,0.7293,0.6116
30,3,25,0.4596,0.6593
30,3,26,0.3503,0.5942
30,3,27,0.3495,0.3101
30,3,28,0.6864,0.9708
30,3,29,0.3147,0.3795
30,3,30,0.8329,0.7173
30,4,1,0.2331,0.7726
30,4,2,0.8344,0.2954
30,4,3,0.9105,0.258
30,4,4,0.0746,0.7353
30,4,5,0.3598,0.8538
30,4,6,0.7066,0.8315
30,4,7,0.3437,0.334
30,4,8,0.2204,0.6773
30,4,9,0.8955,0.6614
30,4,10,0.5401,0.062
30,4,11,0.9595,0.0653
30,4,12,0.7905,0.1743
30,4,13,0.2819,0.3698
30,4,14,0.3119,0.5556
30,4,15,0.5513,0.5716
30,4,16,0.9262,0.3029
30,4,17,0.7891,0.6688
30,4,18,0.4522,0.522
30,4,19,0.9907,0.7383
30,4,20,0.4716,0.0304
30,4,21,0.0153,0.2642
30,4,22,0.7274,0.7162
30,4,23,0.4742,0.7147
30,4,24,0.3867,0.3771
30,4,25,0.8246,0.9136
30,4,26,0.2892,0.4217
30,4,27,0.6843,0.6044
30,4,28,0.6577,0.2442
30,4,29,0.6826,0.4611
30,4,30,0.7822,0.037
30,5,1,0.9275,0.5085
30,5,2,0.1063,0.2281
30,5,3,0.3046,0.187
30,5,4,0.8913,0.6614
30,5,5,0.8897,0.0268
30,5,6,0.8372,0.6784
30,5,7,0.5244,0.3154
30,5,8,0.6435,0.4931
30,5,9,0.6294,0.6032
30,5,10,0.2217,0.6837
30,5,11,0.5326,0.7189
30,5,12,0.6482,0.3331
30,5,13,0.0474,0.0352
30,5,14,0.3677,0.4201
30,5,15,0.3005,0.9841
30,5,16,0.8103,0.8232
30,5,17,0.2737,0.392
30,5,18,0.3289,0.932
30,5,19,0.5781,0.7108
30,5,20,0.7873,0.0716
30,5,21,0.8648,0.9848
30,5,22,0.1084,0.1107
30,5,23,0.1153,0.0041
30,5,24,0.8175,0.3751
30,5,25,0.3966,0.1869
30,5,26,0.4393,0.2493
30,5,27,0.8056,0.1154
30,5,28,0.4374,0.1546
30,5,29,0.6405,0.2075
30,5,30,0.302,0.5738
30,6,1,0.6878,0.6711
30,6,2,0.5377,0.4264
30,6,3,0.4824,0.5857
30,6,4,0.1497,0.7733
30,6,5,0.4229,0.7158
30,6,6,0.4042,0.5747
30,6,7,0.5441,0.6308
30,6,8,0.0737,0.5733
30,6,9,0.7771,0.4955
30,6,10,0.0384,0.2528
30,6,11,0.2682,0.6836
30,6,12,0.7399,0.6005
30,6,13,0.1177,0.7064
30,6,14,0.207,0.8432
30,6,15,0.7084,0.2285
30,6,16,0.0082,0.5872
30,6,17,0.2833,0.3334
30,6,18,0.4554,0.2096
30,6,19,0.7736,0.0393
30,6,20,0.0568,0.4986
30,6,21,0.8776,0.0644
30,6,22,0.2198,0.544
30,6,23,0.388,0.843
30,6,24,0.7705,0.7907
30,6,25,0.3266,0.8664
30,6,26,0.9916,0.82
30,6,27,0.4108,0.3476
30,6,28,0.597,0.1064
30,6,29,0.4934,0.525
30,6,30,0.0398,0.1034
30,7,1,0.4366,0.514
