participant,problemSize,problem,step,point
1,30,1,1,15
1,30,1,2,19
1,30,1,3,18
1,30,1,4,13
1,30,1,5,25
1,30,1,6,30
1,30,1,7,10
1,30,1,8,22
1,30,1,9,28
1,30,1,10,16
1,30,1,11,2
1,30,1,12,11
1,30,1,13,1
1,30,1,14,12
1,30,1,15,4
1,30,1,16,8
1,30,1,17,24
1,30,1,18,14
1,30,1,19,29
1,30,1,20,23
1,30,1,21,21
1,30,1,22,3
1,30,1,23,5
1,30,1,24,9
1,30,1,25,7
1,30,1,26,17
1,30,1,27,26
1,30,1,28,20
1,30,1,29,6
1,30,1,30,27
1,30,2,1,28
1,30,2,2,25
1,30,2,3,30
1,30,2,4,4
1,30,2,5,19
1,30,2,6,22
1,30,2,7,12
1,30,2,8,7
1,30,2,9,2
1,30,2,10,9
1,30,2,11,5
1,30,2,12,13
1,30,2,13,29
1,30,2,14,8
1,30,2,15,24
1,30,2,16,3
1,30,2,17,6
1,30,2,18,26
1,30,2,19,11
1,30,2,20,21
1,30,2,21,14
1,30,2,22,27
1,30,2,23,17
1,30,2,24,16
1,30,2,25,15
1,30,2,26,23
1,30,2,27,1
1,30,2,28,18
1,30,2,29,10
1,30,2,30,20
1,30,3,1,5
1,30,3,2,16
1,30,3,3,29
1,30,3,4,2
1,30,3,5,27
1,30,3,6,3
1,30,3,7,21
1,30,3,8,10
1,30,3,9,6
1,30,3,10,22
1,30,3,11,11
1,30,3,12,1
1,30,3,13,4
1,30,3,14,8
1,30,3,15,13
1,30,3,16,30
1,30,3,17,12
1,30,3,18,24
1,30,3,19,18
1,30,3,20,23
1,30,3,21,26
1,30,3,22,9
1,30,3,23,19
1,30,3,24,17
1,30,3,25,25
1,30,3,26,7
1,30,3,27,14
1,30,3,28,20
1,30,3,29,15
1,30,3,30,28
1,30,4,1,21
1,30,4,2,20
1,30,4,3,10
1,30,4,4,30
1,30,4,5,11
1,30,4,6,12
1,30,4,7,3
1,30,4,8,16
1,30,4,9,2
1,30,4,10,28
1,30,4,11,24
1,30,4,12,7
1,30,4,13,13
1,30,4,14,26
1,30,4,15,14
1,30,4,16,18
1,30,4,17,29
1,30,4,18,15
1,30,4,19,27
1,30,4,20,17
1,30,4,21,9
1,30,4,22,19
1,30,4,23,25
1,30,4,24,6
1,30,4,25,22
1,30,4,26,23
1,30,4,27,5
1,30,4,28,8
1,30,4,29,1
1,30,4,30,4
1,30,5,1,15
1,30,5,2,18
1,30,5,3,10
1,30,5,4,30
1,30,5,5,14
1,30,5,6,17
1,30,5,7,2
1,30,5,8,22
1,30,5,9,13
1,30,5,10,23
1,30,5,11,3
1,30,5,12,25
1,30,5,13,28
1,30,5,14,26
1,30,5,15,7
1,30,5,16,29
1,30,5,17,20
1,30,5,18,5
1,30,5,19,27
1,30,5,20,12
1,30,5,21,24
1,30,5,22,1
1,30,5,23,4
1,30,5,24,6
1,30,5,25,16
1,30,5,26,21
1,30,5,27,8
1,30,5,28,9
1,30,5,29,19
1,30,5,30,11
1,30,6,1,30
1,30,6,2,10
1,30,6,3,20
1,30,6,4,8
1,30,6,5,16
1,30,6,6,13
1,30,6,7,4
1,30,6,8,14
1,30,6,9,25
1,30,6,10,23
1,30,6,11,5
1,30,6,12,6
1,30,6,13,11
1,30,6,14,22
1,30,6,15,17
1,30,6,16,27
1,30,6,17,18
1,30,6,18,28
1,30,6,19,19
1,30,6,20,21
1,30,6,21,15
1,30,6,22,2
1,30,6,23,29
1,30,6,24,3
1,30,6,25,7
1,30,6,26,1
1,30,6,27,12
1,30,6,28,9
1,30,6,29,24
1,30,6,30,26
1,30,7,1,24
1,30,7,2,6
1,30,7,3,14
1,30,7,4,22
1,30,7,5,7
1,30,7,6,20
1,30,7,7,27
1,30,7,8,23
1,30,7,9,8
1,30,7,10,18
1,30,7,11,4
1,30,7,12,11
1,30,7,13,30
1,30,7,14,10
1,30,7,15,25
1,30,7,16,9
1,30,7,17,29
1,30,7,18,5
1,30,7,19,1
1,30,7,20,26
1,30,7,21,3
1,30,7,22,12
1,30,7,23,2
1,30,7,24,28
1,30,7,25,15
1,30,7,26,21
1,30,7,27,19
1,30,7,28,17
1,30,7,29,16
1,30,7,30,13
1,30,8,1,18
1,30,8,2,17
1,30,8,3,25
1,30,8,4,15
1,30,8,5,29
1,30,8,6,24
1,30,8,7,7
1,30,8,8,8
1,30,8,9,28
1,30,8,10,2
1,30,8,11,13
1,30,8,12,16
1,30,8,13,5
1,30,8,14,23
1,30,8,15,27
1,30,8,16,26
1,30,8,17,22
1,30,8,18,3
1,30,8,19,21
1,30,8,20,30
1,30,8,21,20
1,30,8,22,1
1,30,8,23,12
1,30,8,24,4
1,30,8,25,14
1,30,8,26,6
1,30,8,27,9
1,30,8,28,10
1,30,8,29,19
1,30,8,30,11
1,30,9,1,11
1,30,9,2,17
1,30,9,3,18
1,30,9,4,14
1,30,9,5,28
1,30,9,6,21
1,30,9,7,1
1,30,9,8,12
1,30,9,9,19
1,30,9,10,25
1,30,9,11,29
1,30,9,12,27
1,30,9,13,6
1,30,9,14,23
1,30,9,15,9
1,30,9,16,3
1,30,9,17,4
1,30,9,18,10
1,30,9,19,15
1,30,9,20,22
1,30,9,21,24
1,30,9,22,7
1,30,9,23,20
1,30,9,24,2
1,30,9,25,13
1,30,9,26,8
1,30,9,27,16
1,30,9,28,26
1,30,9,29,30
1,30,9,30,5
2,30,1,1,21
2,30,1,2,23
2,30,1,3,10
2,30,1,4,29
2,30,1,5,22
2,30,1,6,28
2,30,1,7,16
2,30,1,8,2
