stimulusSet,variance,problem,nPositions,value1,value2,value3,value4,value5,value6,value7
high_W2024,high,1,7,298.0,538.0,589.0,120.0,487.0,360.0,196.0
high_W2024,high,2,7,471.0,674.0,586.0,652.0,673.0,728.0,185.0
high_W2024,high,3,7,746.0,677.0,184.0,821.0,735.0,299.0,543.0
high_W2024,high,4,7,90.0,490.0,619.0,999.0,574.0,858.0,433.0
high_W2024,high,5,7,645.0,719.0,381.0,315.0,737.0,282.0,509.0
high_W2024,high,6,7,541.0,637.0,382.0,506.0,427.0,329.0,697.0
high_W2024,high,7,7,456.0,138.0,551.0,419.0,324.0,695.0,801.0
high_W2024,high,8,7,677.0,726.0,448.0,468.0,810.0,439.0,386.0
high_W2024,high,9,7,636.0,515.0,330.0,497.0,559.0,669.0,173.0
high_W2024,high,10,7,433.0,295.0,657.0,454.0,686.0,810.0,842.0
high_W2024,high,11,7,536.0,388.0,321.0,491.0,926.0,577.0,328.0
high_W2024,high,12,7,477.0,266.0,682.0,469.0,445.0,1.0,237.0
high_W2024,high,13,7,518.0,702.0,674.0,422.0,310.0,424.0,520.0
high_W2024,high,14,7,518.0,419.0,999.0,631.0,186.0,346.0,283.0
high_W2024,high,15,7,231.0,464.0,833.0,416.0,496.0,560.0,535.0
high_W2024,high,16,7,689.0,413.0,546.0,498.0,457.0,543.0,372.0
high_W2024,high,17,7,575.0,448.0,613.0,432.0,340.0,749.0,685.0
high_W2024,high,18,7,489.0,691.0,353.0,166.0,528.0,706.0,138.0
high_W2024,high,19,7,372.0,968.0,841.0,294.0,393.0,694.0,148.0
high_W2024,high,20,7,766.0,557.0,427.0,408.0,551.0,283.0,381.0
high_F2025,high,1,7,433.0,295.0,657.0,454.0,686.0,810.0,842.0
high_F2025,high,2,7,636.0,515.0,330.0,497.0,559.0,669.0,173.0
high_F2025,high,3,7,766.0,557.0,427.0,408.0,551.0,283.0,381.0
high_F2025,high,4,7,536.0,388.0,321.0,491.0,926.0,577.0,328.0
high_F2025,high,5,7,477.0,266.0,682.0,469.0,445.0,1.0,237.0
high_F2025,high,6,7,518.0,702.0,674.0,422.0,310.0,424.0,520.0
high_F2025,high,7,7,689.0,413.0,546.0,498.0,457.0,543.0,372.0
high_F2025,high,8,7,518.0,419.0,999.0,631.0,186.0,346.0,283.0
high_F2025,high,9,7,231.0,464.0,833.0,416.0,496.0,560.0,535.0
high_F2025,high,10,7,575.0,448.0,613.0,432.0,340.0,749.0,685.0
high_F2025,high,11,7,298.0,538.0,589.0,120.0,487.0,360.0,196.0
high_F2025,high,12,7,471.0,674.0,586.0,652.0,673.0,728.0,185.0
high_F2025,high,13,7,746.0,677.0,184.0,821.0,735.0,299.0,543.0
high_F2025,high,14,7,90.0,490.0,619.0,999.0,574.0,858.0,433.0
high_F2025,high,15,7,541.0,637.0,382.0,506.0,427.0,329.0,697.0
high_F2025,high,16,7,645.0,719.0,381.0,315.0,737.0,282.0,509.0
high_F2025,high,17,7,456.0,138.0,551.0,419.0,324.0,695.0,801.0
high_F2025,high,18,7,677.0,726.0,448.0,468.0,810.0,439.0,386.0
high_F2025,high,19,7,372.0,968.0,841.0,294.0,393.0,694.0,148.0
high_F2025,high,20,7,489.0,691.0,353.0,166.0,528.0,706.0,138.0
low,low,1,7,515.0,452.0,638.0,499.0,393.0,503.0,506.0
low,low,2,7,541.0,474.0,479.0,439.0,561.0,451.0,542.0
low,low,3,7,541.0,608.0,444.0,587.0,504.0,456.0,483.0
low,low,4,7,469.0,463.0,529.0,524.0,525.0,460.0,431.0
low,low,5,7,551.0,563.0,519.0,518.0,544.0,413.0,501.0
low,low,6,7,485.0,481.0,533.0,450.0,543.0,406.0,504.0
low,low,7,7,531.0,477.0,502.0,515.0,489.0,443.0,567.0
low,low,8,7,526.0,554.0,423.0,484.0,511.0,506.0,497.0
low,low,9,7,407.0,431.0,553.0,460.0,435.0,445.0,425.0
low,low,10,7,497.0,543.0,535.0,647.0,493.0,537.0,455.0
low,low,11,7,566.0,505.0,569.0,415.0,565.0,490.0,427.0
low,low,12,7,523.0,439.0,462.0,494.0,491.0,595.0,502.0
low,low,13,7,513.0,419.0,514.0,516.0,625.0,456.0,475.0
low,low,14,7,495.0,499.0,429.0,490.0,497.0,411.0,463.0
low,low,15,7,472.0,508.0,530.0,469.0,444.0,431.0,494.0
low,low,16,7,447.0,606.0,463.0,545.0,445.0,487.0,481.0
low,low,17,7,500.0,524.0,588.0,538.0,473.0,573.0,508.0
low,low,18,7,502.0,481.0,492.0,595.0,500.0,520.0,490.0
low,low,19,7,437.0,467.0,556.0,431.0,422.0,423.0,519.0
low,low,20,7,499.0,520.0,519.0,491.0,453.0,472.0,431.0
