participant,bartSessions,gasPricesSessions,fishPricesSessions
1,0,0,1
2,1,0,1
3,1,0,1
4,1,0,1
8,1,0,1
9,1,0,1
10,1,0,1
11,1,0,1
12,1,0,1
13,1,0,1
15,1,0,1
16,1,0,1
17,0,0,1
20,1,0,1
22,1,0,1
23,1,0,1
24,1,0,1
26,1,0,1
27,0,0,1
34,1,0,1
35,1,0,1
36,1,0,1
37,1,0,1
39,1,0,1
41,1,0,1
42,1,0,1
44,1,0,1
45,1,0,1
46,1,0,1
47,1,0,1
49,1,0,1
51,1,0,1
54,1,0,1
55,1,0,1
59,1,0,1
60,1,0,1
64,1,0,1
65,1,0,1
67,1,0,1
69,1,0,1
70,1,0,1
75,1,0,1
76,1,0,1
80,1,0,1
81,2,0,2
82,1,0,1
85,1,0,1
86,1,0,1
89,1,0,1
91,1,0,1
94,1,0,1
95,1,0,1
96,1,0,1
97,0,0,1
98,1,0,1
99,1,0,1
100,1,0,1
101,1,1,1
105,1,0,1
107,1,0,1
110,0,0,1
111,1,0,1
112,1,0,1
113,1,0,1
115,1,0,1
116,1,0,1
119,1,0,1
120,1,0,1
121,1,0,1
122,1,0,1
123,1,0,1
124,1,0,1
125,1,0,1
126,0,0,1
127,1,0,1
128,1,0,1
129,1,0,1
130,1,0,1
131,1,0,1
132,1,0,1
134,1,0,1
135,1,0,1
136,1,0,1
137,1,0,1
138,1,0,1
140,1,0,1
141,1,0,1
143,1,0,1
144,1,0,1
146,1,0,1
147,1,0,1
148,1,0,1
149,1,0,1
150,1,0,1
151,1,0,1
152,1,0,1
153,1,0,1
154,1,0,1
155,1,0,1
156,1,0,1
157,1,0,1
158,1,0,1
160,1,0,1
161,0,0,1
162,1,0,1
163,1,0,1
164,1,0,1
165,1,0,1
166,1,0,1
167,1,0,1
168,1,0,1
170,1,0,1
171,1,0,1
173,1,0,1
174,1,0,1
176,1,0,1
178,1,0,1
180,1,0,1
181,1,0,1
182,1,0,1
184,0,0,1
185,2,0,1
186,1,0,1
187,1,0,1
188,1,0,1
189,1,0,1
191,1,0,1
192,1,0,1
193,1,0,1
194,1,0,1
197,1,0,1
198,1,0,1
200,1,0,1
202,1,0,1
208,1,0,1
209,1,0,1
210,1,0,1
211,0,0,1
213,1,0,1
216,1,0,1
219,1,0,1
220,0,0,1
222,1,0,1
223,1,0,1
224,0,0,1
225,1,0,1
227,0,0,1
229,1,0,1
231,1,0,1
233,1,0,1
234,1,0,1
235,1,0,1
236,1,0,1
237,1,0,1
239,1,0,1
240,1,0,1
241,1,0,1
243,1,0,1
244,1,0,1
245,1,0,1
246,0,0,1
250,1,0,1
252,1,0,1
253,1,0,1
256,1,0,1
257,1,0,1
259,0,0,1
261,1,0,1
262,1,0,1
264,1,0,1
266,1,0,1
269,1,0,1
271,1,0,1
273,1,0,1
276,1,0,1
277,1,0,1
279,1,0,1
281,1,0,1
282,1,0,1
283,0,0,1
286,1,0,1
288,1,0,1
290,0,0,1
291,1,0,1
292,1,0,1
293,1,0,1
294,0,0,1
300,1,0,1
302,1,0,1
303,1,0,1
304,1,0,1
308,1,0,1
310,1,0,1
311,1,0,1
312,0,0,1
313,1,0,1
314,1,0,1
315,1,0,1
316,1,0,1
317,1,0,1
319,1,0,1
320,1,0,1
321,1,0,1
325,1,0,1
328,1,0,1
329,0,0,1
330,1,0,1
331,1,0,1
333,1,0,1
334,1,0,1
335,1,0,1
336,1,0,1
338,1,0,1
339,1,0,1
341,2,1,1
342,1,0,1
344,1,0,1
347,1,0,1
350,1,0,1
351,1,0,1
352,1,0,1
354,1,0,1
355,1,0,1
356,1,0,1
357,1,0,1
358,1,0,1
360,1,0,1
361,1,0,1
362,1,0,1
363,1,0,1
369,1,0,1
370,1,0,1
372,1,0,1
373,1,0,1
374,1,0,1
376,2,0,2
377,1,0,1
378,0,0,1
379,1,0,1
381,1,0,1
382,1,0,1
383,1,0,1
384,1,0,1
385,1,0,1
387,1,0,1
389,1,0,1
390,1,0,1
394,1,0,1
395,1,0,1
396,1,0,1
397,1,0,1
398,1,0,1
399,1,0,1
400,1,0,1
405,1,0,1
406,1,0,1
407,1,0,1
409,1,0,1
410,1,0,1
412,1,0,1
413,1,0,1
414,1,0,1
416,0,0,1
417,1,0,1
418,1,0,1
420,1,0,1
421,1,0,1
423,0,0,1
424,1,0,1
425,1,0,1
426,1,0,1
427,1,0,1
429,1,0,1
431,1,0,1
432,1,0,1
433,1,0,1
434,1,0,1
436,1,0,1
439,1,0,1
440,1,0,1
441,1,0,1
442,1,0,1
444,1,0,1
445,1,0,1
446,1,0,1
447,1,0,1
448,1,0,1
449,0,0,1
453,1,0,1
456,1,0,1
457,0,0,1
458,2,0,1
460,1,0,1
461,1,0,1
462,1,0,1
463,1,0,1
464,0,0,1
466,1,0,1
468,1,0,1
469,1,0,1
470,1,0,1
471,1,0,1
475,1,0,1
476,1,0,1
477,1,0,1
478,1,0,1
480,1,0,1
482,1,0,1
485,1,0,1
487,1,0,1
488,1,0,1
493,2,0,1
494,1,0,1
497,1,0,1
499,1,0,1
500,1,0,1
504,1,0,1
505,1,0,1
509,0,0,1
512,1,0,1
513,1,0,1
514,0,0,1
515,1,0,1
518,1,0,1
520,1,0,1
521,1,0,1
522,1,0,1
526,1,0,1
527,1,0,1
528,1,0,1
529,2,0,1
533,1,0,1
536,2,0,2
537,1,0,1
538,1,0,1
539,1,0,1
541,1,0,1
545,1,0,1
552,1,0,1
556,1,0,1
557,1,0,1
559,1,0,1
560,1,0,1
562,1,0,1
