stimulusSet,variance,problem,nPositions,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
high,high,1,10,510.0,323.0,456.0,539.0,590.0,968.0,422.0,636.0,524.0,685.0
high,high,2,10,586.0,370.0,712.0,376.0,286.0,658.0,587.0,500.0,534.0,409.0
high,high,3,10,811.0,335.0,510.0,306.0,220.0,825.0,902.0,820.0,838.0,558.0
high,high,4,10,660.0,342.0,16.0,592.0,382.0,529.0,571.0,597.0,693.0,457.0
high,high,5,10,556.0,972.0,887.0,621.0,616.0,590.0,477.0,135.0,585.0,695.0
high,high,6,10,861.0,570.0,860.0,768.0,530.0,415.0,507.0,656.0,510.0,740.0
high,high,7,10,610.0,503.0,711.0,641.0,539.0,615.0,780.0,798.0,487.0,354.0
high,high,8,10,999.0,232.0,392.0,682.0,601.0,761.0,534.0,768.0,234.0,427.0
high,high,9,10,994.0,482.0,898.0,735.0,846.0,365.0,414.0,533.0,498.0,307.0
high,high,10,10,416.0,362.0,482.0,731.0,338.0,891.0,603.0,510.0,587.0,297.0
high,high,11,10,999.0,502.0,1.0,695.0,522.0,392.0,897.0,625.0,811.0,549.0
high,high,12,10,473.0,621.0,527.0,842.0,371.0,729.0,642.0,327.0,733.0,686.0
high,high,13,10,701.0,776.0,533.0,467.0,665.0,504.0,567.0,505.0,590.0,246.0
high,high,14,10,899.0,792.0,696.0,346.0,800.0,774.0,483.0,235.0,748.0,590.0
high,high,15,10,399.0,683.0,493.0,448.0,756.0,483.0,659.0,505.0,618.0,600.0
high,high,16,10,999.0,345.0,472.0,554.0,696.0,379.0,815.0,509.0,328.0,677.0
high,high,17,10,379.0,303.0,683.0,253.0,934.0,357.0,313.0,554.0,944.0,259.0
high,high,18,10,531.0,453.0,360.0,552.0,755.0,560.0,284.0,528.0,290.0,536.0
high,high,19,10,190.0,716.0,309.0,734.0,518.0,614.0,635.0,380.0,667.0,390.0
high,high,20,10,284.0,521.0,587.0,44.0,723.0,387.0,490.0,626.0,432.0,624.0
low,low,1,10,522.0,540.0,488.0,455.0,491.0,578.0,490.0,529.0,622.0,523.0
low,low,2,10,547.0,522.0,608.0,588.0,492.0,626.0,653.0,619.0,514.0,457.0
low,low,3,10,556.0,458.0,581.0,712.0,387.0,585.0,557.0,570.0,586.0,475.0
low,low,4,10,569.0,589.0,469.0,561.0,494.0,570.0,630.0,476.0,669.0,601.0
low,low,5,10,555.0,599.0,568.0,598.0,560.0,533.0,552.0,546.0,469.0,627.0
low,low,6,10,549.0,542.0,560.0,550.0,611.0,606.0,558.0,586.0,556.0,561.0
low,low,7,10,496.0,575.0,545.0,600.0,589.0,522.0,533.0,559.0,593.0,606.0
low,low,8,10,566.0,594.0,601.0,499.0,572.0,477.0,574.0,503.0,541.0,559.0
low,low,9,10,517.0,638.0,533.0,542.0,496.0,491.0,454.0,557.0,556.0,562.0
low,low,10,10,440.0,591.0,438.0,597.0,517.0,512.0,534.0,642.0,550.0,659.0
low,low,11,10,573.0,584.0,593.0,652.0,531.0,596.0,472.0,553.0,468.0,557.0
low,low,12,10,589.0,523.0,526.0,570.0,515.0,558.0,550.0,464.0,503.0,573.0
low,low,13,10,570.0,533.0,562.0,493.0,610.0,521.0,489.0,569.0,607.0,534.0
low,low,14,10,494.0,468.0,564.0,525.0,484.0,667.0,542.0,521.0,618.0,596.0
low,low,15,10,636.0,561.0,538.0,601.0,515.0,516.0,457.0,555.0,512.0,599.0
low,low,16,10,579.0,571.0,612.0,538.0,542.0,485.0,552.0,567.0,524.0,545.0
low,low,17,10,476.0,609.0,511.0,604.0,490.0,561.0,529.0,558.0,525.0,553.0
low,low,18,10,522.0,616.0,496.0,640.0,608.0,587.0,545.0,611.0,458.0,552.0
low,low,19,10,566.0,511.0,533.0,515.0,570.0,502.0,494.0,574.0,516.0,492.0
low,low,20,10,533.0,603.0,563.0,534.0,550.0,567.0,546.0,527.0,499.0,517.0
