participant,bartSessions,gasPricesSessions,fishPricesSessions
5,1,1,0
7,1,1,0
14,1,1,0
21,1,1,0
25,1,1,0
29,1,1,0
30,2,1,0
31,1,1,0
32,1,1,0
33,1,1,0
38,1,1,0
40,1,1,0
43,1,1,0
48,1,1,0
50,1,1,0
53,1,1,0
56,1,1,0
57,1,1,0
58,1,1,0
61,1,1,0
62,1,1,0
63,1,1,0
66,1,1,0
68,1,1,0
71,1,1,0
72,2,1,0
74,0,1,0
77,1,1,0
78,1,1,0
79,1,1,0
83,1,1,0
87,1,1,0
88,1,1,0
90,1,1,0
92,1,1,0
93,1,1,0
101,1,1,1
102,1,1,0
104,1,1,0
106,1,1,0
108,1,1,0
109,1,1,0
114,1,1,0
117,1,1,0
118,1,1,0
133,1,1,0
139,1,1,0
142,1,1,0
145,1,1,0
172,1,1,0
175,1,1,0
177,1,1,0
179,1,1,0
183,1,1,0
190,1,1,0
195,1,1,0
196,1,1,0
199,1,1,0
201,1,1,0
203,1,1,0
206,1,1,0
207,1,1,0
212,1,1,0
214,1,1,0
215,1,1,0
217,1,1,0
218,1,1,0
221,1,1,0
226,1,1,0
228,1,1,0
230,1,1,0
232,1,1,0
238,1,1,0
242,1,1,0
247,1,1,0
248,1,1,0
249,1,1,0
251,1,1,0
254,1,1,0
255,1,1,0
258,1,1,0
263,1,1,0
265,1,1,0
268,1,1,0
272,1,1,0
274,1,1,0
275,1,1,0
278,1,1,0
280,1,1,0
284,1,1,0
285,1,1,0
287,1,1,0
295,1,1,0
296,1,1,0
298,1,1,0
299,1,1,0
301,1,1,0
305,1,1,0
306,1,1,0
307,2,1,0
309,1,1,0
318,1,1,0
322,0,1,0
323,1,1,0
324,1,1,0
326,1,1,0
327,1,1,0
332,1,1,0
337,1,1,0
340,1,1,0
341,2,1,1
343,1,1,0
345,1,1,0
346,1,1,0
353,1,1,0
359,1,1,0
364,1,1,0
365,1,1,0
366,1,1,0
367,1,1,0
368,1,1,0
380,1,1,0
386,1,1,0
388,1,1,0
391,1,1,0
392,1,1,0
393,1,1,0
401,1,1,0
402,1,1,0
404,1,1,0
408,1,1,0
411,1,1,0
415,1,1,0
419,1,1,0
422,1,1,0
428,1,1,0
430,1,1,0
435,1,1,0
437,1,1,0
438,2,1,0
443,1,1,0
450,1,1,0
451,1,1,0
452,2,1,0
454,1,1,0
459,1,1,0
467,1,1,0
472,1,1,0
474,1,1,0
479,1,1,0
481,1,1,0
483,1,1,0
484,1,1,0
489,1,1,0
490,0,1,0
491,1,1,0
495,1,1,0
498,1,1,0
501,1,1,0
502,1,1,0
503,1,1,0
506,1,1,0
507,1,1,0
508,1,1,0
510,1,1,0
511,2,1,0
516,1,1,0
517,1,1,0
519,1,1,0
523,1,1,0
524,1,1,0
525,1,1,0
530,1,1,0
531,1,1,0
532,1,1,0
534,1,1,0
540,1,1,0
542,1,1,0
543,1,1,0
544,1,1,0
546,1,1,0
547,1,1,0
548,1,1,0
549,1,1,0
550,1,1,0
551,1,1,0
553,1,1,0
555,1,1,0
558,1,1,0
561,1,1,0
574,0,1,0
575,0,1,0
576,0,1,0
577,0,1,0
578,0,1,0
579,0,1,0
