participant,quarter,session,variance,problem,nPositions,choicePosition,cost,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10
296,W2023,1,high,1,10,2,323.0,510.0,323.0,456.0,539.0,590.0,968.0,422.0,636.0,524.0,685.0
296,W2023,1,high,2,10,2,370.0,586.0,370.0,712.0,376.0,286.0,658.0,587.0,500.0,534.0,409.0
296,W2023,1,high,3,10,3,510.0,811.0,335.0,510.0,306.0,220.0,825.0,902.0,820.0,838.0,558.0
296,W2023,1,high,4,10,2,342.0,660.0,342.0,16.0,592.0,382.0,529.0,571.0,597.0,693.0,457.0
296,W2023,1,high,5,10,7,477.0,556.0,972.0,887.0,621.0,616.0,590.0,477.0,135.0,585.0,695.0
296,W2023,1,high,6,10,5,530.0,861.0,570.0,860.0,768.0,530.0,415.0,507.0,656.0,510.0,740.0
296,W2023,1,high,7,10,2,503.0,610.0,503.0,711.0,641.0,539.0,615.0,780.0,798.0,487.0,354.0
296,W2023,1,high,8,10,7,534.0,999.0,232.0,392.0,682.0,601.0,761.0,534.0,768.0,234.0,427.0
296,W2023,1,high,9,10,2,482.0,994.0,482.0,898.0,735.0,846.0,365.0,414.0,533.0,498.0,307.0
296,W2023,1,high,10,10,1,416.0,416.0,362.0,482.0,731.0,338.0,891.0,603.0,510.0,587.0,297.0
296,W2023,1,high,11,10,1,999.0,999.0,502.0,1.0,695.0,522.0,392.0,897.0,625.0,811.0,549.0
296,W2023,1,high,12,10,1,473.0,473.0,621.0,527.0,842.0,371.0,729.0,642.0,327.0,733.0,686.0
296,W2023,1,high,13,10,8,505.0,701.0,776.0,533.0,467.0,665.0,504.0,567.0,505.0,590.0,246.0
296,W2023,1,high,14,10,4,346.0,899.0,792.0,696.0,346.0,800.0,774.0,483.0,235.0,748.0,590.0
296,W2023,1,high,15,10,1,399.0,399.0,683.0,493.0,448.0,756.0,483.0,659.0,505.0,618.0,600.0
296,W2023,1,high,16,10,2,345.0,999.0,345.0,472.0,554.0,696.0,379.0,815.0,509.0,328.0,677.0
296,W2023,1,high,17,10,1,379.0,379.0,303.0,683.0,253.0,934.0,357.0,313.0,554.0,944.0,259.0
296,W2023,1,high,18,10,1,531.0,531.0,453.0,360.0,552.0,755.0,560.0,284.0,528.0,290.0,536.0
296,W2023,1,high,19,10,1,190.0,190.0,716.0,309.0,734.0,518.0,614.0,635.0,380.0,667.0,390.0
296,W2023,1,high,20,10,3,587.0,284.0,521.0,587.0,44.0,723.0,387.0,490.0,626.0,432.0,624.0
30,W2023,1,high,1,10,2,323.0,510.0,323.0,456.0,539.0,590.0,968.0,422.0,636.0,524.0,685.0
30,W2023,1,high,2,10,5,286.0,586.0,370.0,712.0,376.0,286.0,658.0,587.0,500.0,534.0,409.0
30,W2023,1,high,3,10,4,306.0,811.0,335.0,510.0,306.0,220.0,825.0,902.0,820.0,838.0,558.0
30,W2023,1,high,4,10,2,342.0,660.0,342.0,16.0,592.0,382.0,529.0,571.0,597.0,693.0,457.0
30,W2023,1,high,5,10,7,477.0,556.0,972.0,887.0,621.0,616.0,590.0,477.0,135.0,585.0,695.0
30,W2023,1,high,6,10,10,740.0,861.0,570.0,860.0,768.0,530.0,415.0,507.0,656.0,510.0,740.0
30,W2023,1,high,7,10,9,487.0,610.0,503.0,711.0,641.0,539.0,615.0,780.0,798.0,487.0,354.0
30,W2023,1,high,8,10,2,232.0,999.0,232.0,392.0,682.0,601.0,761.0,534.0,768.0,234.0,427.0
30,W2023,1,high,9,10,6,365.0,994.0,482.0,898.0,735.0,846.0,365.0,414.0,533.0,498.0,307.0
30,W2023,1,high,10,10,5,338.0,416.0,362.0,482.0,731.0,338.0,891.0,603.0,510.0,587.0,297.0
30,W2023,1,high,11,10,3,1.0,999.0,502.0,1.0,695.0,522.0,392.0,897.0,625.0,811.0,549.0
30,W2023,1,high,12,10,5,371.0,473.0,621.0,527.0,842.0,371.0,729.0,642.0,327.0,733.0,686.0
30,W2023,1,high,13,10,8,505.0,701.0,776.0,533.0,467.0,665.0,504.0,567.0,505.0,590.0,246.0
30,W2023,1,high,14,10,4,346.0,899.0,792.0,696.0,346.0,800.0,774.0,483.0,235.0,748.0,590.0
30,W2023,1,high,15,10,10,600.0,399.0,683.0,493.0,448.0,756.0,483.0,659.0,505.0,618.0,600.0
