participant,task1,task1Code,task2,task2Code,task3,task3Code,task4,task4Code
1,Optimal Stopping,1,Gambling,4,Bandit,3,BART,2
2,Optimal Stopping,1,Bandit,3,BART,2,Gambling,4
3,Gambling,4,BART,2,Optimal Stopping,1,Bandit,3
4,Gambling,4,Optimal Stopping,1,BART,2,Bandit,3
5,Bandit,3,Optimal Stopping,1,BART,2,Gambling,4
6,Gambling,4,BART,2,Bandit,3,Optimal Stopping,1
7,Gambling,4,Optimal Stopping,1,Bandit,3,BART,2
8,Optimal Stopping,1,Gambling,4,Bandit,3,BART,2
9,Optimal Stopping,1,Gambling,4,BART,2,Bandit,3
10,Gambling,4,Optimal Stopping,1,BART,2,Bandit,3
11,Optimal Stopping,1,Gambling,4,Bandit,3,BART,2
12,Optimal Stopping,1,Gambling,4,BART,2,Bandit,3
13,Optimal Stopping,1,Gambling,4,BART,2,Bandit,3
14,Optimal Stopping,1,Gambling,4,Bandit,3,BART,2
15,BART,2,Bandit,3,Optimal Stopping,1,Gambling,4
16,BART,2,Bandit,3,Optimal Stopping,1,Gambling,4
17,Optimal Stopping,1,Bandit,3,BART,2,Gambling,4
18,BART,2,Bandit,3,Gambling,4,Optimal Stopping,1
19,BART,2,Gambling,4,Bandit,3,Optimal Stopping,1
20,Optimal Stopping,1,Bandit,3,BART,2,Gambling,4
21,Bandit,3,Optimal Stopping,1,Gambling,4,BART,2
22,BART,2,Bandit,3,Gambling,4,Optimal Stopping,1
23,BART,2,Bandit,3,Gambling,4,Optimal Stopping,1
24,BART,2,Bandit,3,Optimal Stopping,1,Gambling,4
25,BART,2,Bandit,3,Optimal Stopping,1,Gambling,4
26,Bandit,3,Optimal Stopping,1,Gambling,4,BART,2
27,Bandit,3,Optimal Stopping,1,BART,2,Gambling,4
28,Gambling,4,BART,2,Bandit,3,Optimal Stopping,1
29,Bandit,3,Optimal Stopping,1,Gambling,4,BART,2
30,Optimal Stopping,1,Gambling,4,BART,2,Bandit,3
31,Gambling,4,BART,2,Bandit,3,Optimal Stopping,1
32,Gambling,4,BART,2,Optimal Stopping,1,Bandit,3
33,BART,2,Bandit,3,Optimal Stopping,1,Gambling,4
34,Gambling,4,Optimal Stopping,1,BART,2,Bandit,3
35,Gambling,4,Optimal Stopping,1,BART,2,Bandit,3
36,Bandit,3,Optimal Stopping,1,Gambling,4,BART,2
37,BART,2,Bandit,3,Gambling,4,Optimal Stopping,1
38,Bandit,3,Optimal Stopping,1,BART,2,Gambling,4
39,Bandit,3,BART,2,Optimal Stopping,1,Gambling,4
40,BART,2,Gambling,4,Optimal Stopping,1,Bandit,3
41,Bandit,3,Optimal Stopping,1,BART,2,Gambling,4
42,Bandit,3,BART,2,Gambling,4,Optimal Stopping,1
43,Optimal Stopping,1,Bandit,3,Gambling,4,BART,2
44,Gambling,4,BART,2,Bandit,3,Optimal Stopping,1
45,Optimal Stopping,1,Gambling,4,Bandit,3,BART,2
46,Bandit,3,BART,2,Gambling,4,Optimal Stopping,1
47,Gambling,4,Optimal Stopping,1,Bandit,3,BART,2
48,BART,2,Gambling,4,Bandit,3,Optimal Stopping,1
49,Gambling,4,Optimal Stopping,1,Bandit,3,BART,2
50,Gambling,4,BART,2,Bandit,3,Optimal Stopping,1
51,Bandit,3,BART,2,Gambling,4,Optimal Stopping,1
52,Bandit,3,Optimal Stopping,1,BART,2,Gambling,4
53,Bandit,3,Optimal Stopping,1,Gambling,4,BART,2
54,BART,2,Bandit,3,Gambling,4,Optimal Stopping,1
55,Bandit,3,BART,2,Gambling,4,Optimal Stopping,1
56,Gambling,4,BART,2,Optimal Stopping,1,Bandit,3
