participant,condition,conditionIndex,problem,trial,horizon,pLeft,pRight,choiceRight,reward,rewardLeft,rewardRight,problemOrder
1,horizon8_neutral,0,1,1,8,0.0689879,0.159411,0,0,0,0,8
1,horizon8_neutral,0,1,2,8,0.0689879,0.159411,0,0,0,0,8
1,horizon8_neutral,0,1,3,8,0.0689879,0.159411,1,0,0,0,8
1,horizon8_neutral,0,1,4,8,0.0689879,0.159411,1,0,0,0,8
1,horizon8_neutral,0,1,5,8,0.0689879,0.159411,1,1,0,1,8
1,horizon8_neutral,0,1,6,8,0.0689879,0.159411,0,0,0,0,8
1,horizon8_neutral,0,1,7,8,0.0689879,0.159411,0,0,0,0,8
1,horizon8_neutral,0,1,8,8,0.0689879,0.159411,0,0,0,0,8
1,horizon8_neutral,0,2,1,8,0.379277,0.926561,1,1,0,1,38
1,horizon8_neutral,0,2,2,8,0.379277,0.926561,0,0,0,1,38
1,horizon8_neutral,0,2,3,8,0.379277,0.926561,1,1,0,1,38
1,horizon8_neutral,0,2,4,8,0.379277,0.926561,0,1,1,1,38
1,horizon8_neutral,0,2,5,8,0.379277,0.926561,1,1,1,1,38
1,horizon8_neutral,0,2,6,8,0.379277,0.926561,1,0,0,0,38
1,horizon8_neutral,0,2,7,8,0.379277,0.926561,1,1,0,1,38
1,horizon8_neutral,0,2,8,8,0.379277,0.926561,1,1,0,1,38
1,horizon8_neutral,0,3,1,8,0.400041,0.62891,1,1,1,1,37
1,horizon8_neutral,0,3,2,8,0.400041,0.62891,1,1,1,1,37
1,horizon8_neutral,0,3,3,8,0.400041,0.62891,1,1,1,1,37
1,horizon8_neutral,0,3,4,8,0.400041,0.62891,1,1,0,1,37
1,horizon8_neutral,0,3,5,8,0.400041,0.62891,1,1,1,1,37
1,horizon8_neutral,0,3,6,8,0.400041,0.62891,1,1,1,1,37
1,horizon8_neutral,0,3,7,8,0.400041,0.62891,1,0,0,0,37
1,horizon8_neutral,0,3,8,8,0.400041,0.62891,1,1,1,1,37
1,horizon8_neutral,0,4,1,8,0.32759,0.281665,1,1,1,1,13
1,horizon8_neutral,0,4,2,8,0.32759,0.281665,0,1,1,1,13
1,horizon8_neutral,0,4,3,8,0.32759,0.281665,0,0,0,0,13
1,horizon8_neutral,0,4,4,8,0.32759,0.281665,0,1,1,1,13
1,horizon8_neutral,0,4,5,8,0.32759,0.281665,0,0,0,0,13
1,horizon8_neutral,0,4,6,8,0.32759,0.281665,1,0,0,0,13
1,horizon8_neutral,0,4,7,8,0.32759,0.281665,0,0,0,0,13
1,horizon8_neutral,0,4,8,8,0.32759,0.281665,0,0,0,0,13
1,horizon8_neutral,0,5,1,8,0.157703,0.391911,0,0,0,1,7
1,horizon8_neutral,0,5,2,8,0.157703,0.391911,0,0,0,1,7
1,horizon8_neutral,0,5,3,8,0.157703,0.391911,0,1,1,1,7
1,horizon8_neutral,0,5,4,8,0.157703,0.391911,0,0,0,0,7
1,horizon8_neutral,0,5,5,8,0.157703,0.391911,1,1,1,1,7
1,horizon8_neutral,0,5,6,8,0.157703,0.391911,0,0,0,1,7
1,horizon8_neutral,0,5,7,8,0.157703,0.391911,0,0,0,1,7
1,horizon8_neutral,0,5,8,8,0.157703,0.391911,0,0,0,0,7
1,horizon8_neutral,0,6,1,8,0.306489,0.760867,0,0,0,1,5
1,horizon8_neutral,0,6,2,8,0.306489,0.760867,0,0,0,1,5
