participant,condition,conditionIndex,problem,burstPoint,burst,nPumps,problemOrder
1,p_burst_0.1,0,1,1,1,1,28
1,p_burst_0.1,0,2,13,0,1,20
1,p_burst_0.1,0,3,7,0,2,21
1,p_burst_0.1,0,4,5,0,2,32
1,p_burst_0.1,0,5,18,0,2,33
1,p_burst_0.1,0,6,8,0,2,27
1,p_burst_0.1,0,7,5,0,0,45
1,p_burst_0.1,0,8,3,0,2,30
1,p_burst_0.1,0,9,1,1,1,39
1,p_burst_0.1,0,10,4,0,2,2
1,p_burst_0.1,0,11,30,0,2,25
1,p_burst_0.1,0,12,40,0,3,40
1,p_burst_0.1,0,13,2,1,2,4
1,p_burst_0.1,0,14,2,1,2,35
1,p_burst_0.1,0,15,27,0,3,46
1,p_burst_0.1,0,16,12,0,2,6
1,p_burst_0.1,0,17,19,0,2,22
1,p_burst_0.1,0,18,5,0,1,31
1,p_burst_0.1,0,19,23,0,2,36
1,p_burst_0.1,0,20,3,0,2,14
1,p_burst_0.1,0,21,1,1,1,18
1,p_burst_0.1,0,22,7,0,2,41
1,p_burst_0.1,0,23,4,0,2,8
1,p_burst_0.1,0,24,8,0,4,34
1,p_burst_0.1,0,25,17,0,2,49
1,p_burst_0.1,0,26,2,0,1,23
1,p_burst_0.1,0,27,4,0,2,9
1,p_burst_0.1,0,28,17,0,2,43
1,p_burst_0.1,0,29,5,0,4,16
1,p_burst_0.1,0,30,14,0,2,11
1,p_burst_0.1,0,31,2,1,2,10
1,p_burst_0.1,0,32,1,1,1,37
1,p_burst_0.1,0,33,15,0,1,5
1,p_burst_0.1,0,34,8,0,2,3
1,p_burst_0.1,0,35,13,0,2,44
1,p_burst_0.1,0,36,29,0,2,47
1,p_burst_0.1,0,37,16,0,1,7
1,p_burst_0.1,0,38,6,0,2,17
1,p_burst_0.1,0,39,2,1,2,19
1,p_burst_0.1,0,40,3,0,2,38
1,p_burst_0.1,0,41,21,0,2,24
1,p_burst_0.1,0,42,31,0,3,13
1,p_burst_0.1,0,43,4,0,2,50
1,p_burst_0.1,0,44,24,0,2,42
1,p_burst_0.1,0,45,21,0,2,29
1,p_burst_0.1,0,46,5,0,2,48
1,p_burst_0.1,0,47,1,1,1,15
1,p_burst_0.1,0,48,7,0,4,12
1,p_burst_0.1,0,49,4,0,2,1
1,p_burst_0.1,0,50,17,0,2,26
1,p_burst_0.2,1,1,1,1,1,28
1,p_burst_0.2,1,2,1,1,1,20
1,p_burst_0.2,1,3,8,0,1,21
1,p_burst_0.2,1,4,4,0,2,32
1,p_burst_0.2,1,5,4,0,1,33
1,p_burst_0.2,1,6,3,0,1,27
1,p_burst_0.2,1,7,5,0,1,45
1,p_burst_0.2,1,8,10,0,4,30
1,p_burst_0.2,1,9,5,0,2,39
1,p_burst_0.2,1,10,2,1,2,2
1,p_burst_0.2,1,11,1,1,1,25
1,p_burst_0.2,1,12,8,0,2,40
1,p_burst_0.2,1,13,1,1,1,4
1,p_burst_0.2,1,14,4,0,3,35
1,p_burst_0.2,1,15,3,0,2,46
1,p_burst_0.2,1,16,1,1,1,6
1,p_burst_0.2,1,17,4,0,1,22
1,p_burst_0.2,1,18,6,0,3,31
1,p_burst_0.2,1,19,24,0,2,36
1,p_burst_0.2,1,20,11,0,2,14
1,p_burst_0.2,1,21,29,0,3,18
1,p_burst_0.2,1,22,2,0,1,41
1,p_burst_0.2,1,23,2,1,2,8
1,p_burst_0.2,1,24,21,0,1,34
1,p_burst_0.2,1,25,4,0,2,49
1,p_burst_0.2,1,26,2,0,0,23
1,p_burst_0.2,1,27,12,0,2,9
1,p_burst_0.2,1,28,19,0,1,43
1,p_burst_0.2,1,29,5,0,2,16
1,p_burst_0.2,1,30,14,0,2,11
1,p_burst_0.2,1,31,3,0,2,10
1,p_burst_0.2,1,32,4,0,2,37
1,p_burst_0.2,1,33,2,1,2,5
1,p_burst_0.2,1,34,3,1,3,3
1,p_burst_0.2,1,35,1,1,1,44
1,p_burst_0.2,1,36,7,0,2,47
1,p_burst_0.2,1,37,4,0,1,7
1,p_burst_0.2,1,38,4,0,2,17
1,p_burst_0.2,1,39,4,0,1,19
1,p_burst_0.2,1,40,5,0,2,38
1,p_burst_0.2,1,41,5,0,4,24
1,p_burst_0.2,1,42,7,0,1,13
1,p_burst_0.2,1,43,1,1,1,50
1,p_burst_0.2,1,44,1,1,1,42
1,p_burst_0.2,1,45,4,0,2,29
1,p_burst_0.2,1,46,17,0,1,48
1,p_burst_0.2,1,47,1,1,1,15
1,p_burst_0.2,1,48,4,0,2,12
1,p_burst_0.2,1,49,13,0,2,1
1,p_burst_0.2,1,50,1,1,1,26
2,p_burst_0.1,0,1,1,1,1,41
2,p_burst_0.1,0,2,13,0,9,5
2,p_burst_0.1,0,3,7,1,7,43
2,p_burst_0.1,0,4,5,1,5,35
2,p_burst_0.1,0,5,18,0,9,39
2,p_burst_0.1,0,6,8,1,8,44
2,p_burst_0.1,0,7,5,1,5,8
2,p_burst_0.1,0,8,3,1,3,38
2,p_burst_0.1,0,9,1,1,1,15
2,p_burst_0.1,0,10,4,1,4,9
2,p_burst_0.1,0,11,30,0,9,2
2,p_burst_0.1,0,12,40,0,15,47
2,p_burst_0.1,0,13,2,1,2,20
2,p_burst_0.1,0,14,2,1,2,4
2,p_burst_0.1,0,15,27,0,8,18
2,p_burst_0.1,0,16,12,0,11,3
2,p_burst_0.1,0,17,19,0,11,50
2,p_burst_0.1,0,18,5,1,5,23
2,p_burst_0.1,0,19,23,0,14,27
2,p_burst_0.1,0,20,3,1,3,13
2,p_burst_0.1,0,21,1,1,1,49
2,p_burst_0.1,0,22,7,1,7,24
2,p_burst_0.1,0,23,4,1,4,45
2,p_burst_0.1,0,24,8,1,8,11
2,p_burst_0.1,0,25,17,0,14,16
2,p_burst_0.1,0,26,2,1,2,1
2,p_burst_0.1,0,27,4,1,4,46
2,p_burst_0.1,0,28,17,0,13,26
2,p_burst_0.1,0,29,5,1,5,32
2,p_burst_0.1,0,30,14,0,9,34
2,p_burst_0.1,0,31,2,1,2,7
2,p_burst_0.1,0,32,1,1,1,14
2,p_burst_0.1,0,33,15,0,13,28
2,p_burst_0.1,0,34,8,1,8,30
2,p_burst_0.1,0,35,13,0,7,42
2,p_burst_0.1,0,36,29,0,14,17
2,p_burst_0.1,0,37,16,1,16,33
2,p_burst_0.1,0,38,6,1,6,29
2,p_burst_0.1,0,39,2,1,2,25
2,p_burst_0.1,0,40,3,1,3,19
2,p_burst_0.1,0,41,21,0,7,36
2,p_burst_0.1,0,42,31,0,9,21
2,p_burst_0.1,0,43,4,1,4,10
2,p_burst_0.1,0,44,24,0,11,12
2,p_burst_0.1,0,45,21,0,7,48
2,p_burst_0.1,0,46,5,1,5,22
2,p_burst_0.1,0,47,1,1,1,31
2,p_burst_0.1,0,48,7,1,7,6
2,p_burst_0.1,0,49,4,1,4,40
2,p_burst_0.1,0,50,17,0,9,37
2,p_burst_0.2,1,1,1,1,1,41
2,p_burst_0.2,1,2,1,1,1,5
2,p_burst_0.2,1,3,8,0,7,43
2,p_burst_0.2,1,4,4,1,4,35
2,p_burst_0.2,1,5,4,1,4,39
