participant,condition,conditionIndex,problem,sequenceLength,choicePosition,problemOrder,value1,value2,value3,value4
1,length4_neutral,0,1,4,3,8,49.0,39.0,25.0,81.0
1,length4_neutral,0,2,4,1,38,98.0,93.0,67.0,39.0
1,length4_neutral,0,3,4,2,37,52.0,1.0,85.0,50.0
1,length4_neutral,0,4,4,1,13,63.0,21.0,43.0,28.0
1,length4_neutral,0,5,4,1,7,3.0,93.0,67.0,77.0
1,length4_neutral,0,6,4,4,5,5.0,60.0,53.0,36.0
1,length4_neutral,0,7,4,2,29,12.0,91.0,36.0,95.0
1,length4_neutral,0,8,4,1,35,23.0,40.0,86.0,5.0
1,length4_neutral,0,9,4,2,26,56.0,72.0,22.0,25.0
1,length4_neutral,0,10,4,2,21,81.0,96.0,83.0,71.0
1,length4_neutral,0,11,4,2,16,11.0,98.0,61.0,64.0
1,length4_neutral,0,12,4,2,28,17.0,62.0,80.0,7.0
1,length4_neutral,0,13,4,1,10,42.0,36.0,91.0,16.0
1,length4_neutral,0,14,4,2,14,42.0,80.0,70.0,63.0
1,length4_neutral,0,15,4,3,36,3.0,28.0,25.0,84.0
1,length4_neutral,0,16,4,1,30,35.0,9.0,91.0,24.0
1,length4_neutral,0,17,4,4,20,22.0,26.0,24.0,21.0
1,length4_neutral,0,18,4,1,31,87.0,12.0,50.0,55.0
1,length4_neutral,0,19,4,1,17,36.0,7.0,15.0,44.0
1,length4_neutral,0,20,4,2,33,67.0,63.0,7.0,30.0
1,length4_neutral,0,21,4,2,4,62.0,81.0,72.0,61.0
1,length4_neutral,0,22,4,1,23,64.0,62.0,19.0,48.0
1,length4_neutral,0,23,4,1,9,79.0,69.0,97.0,43.0
1,length4_neutral,0,24,4,2,34,46.0,42.0,6.0,26.0
1,length4_neutral,0,25,4,1,3,62.0,9.0,70.0,94.0
1,length4_neutral,0,26,4,2,39,90.0,54.0,87.0,84.0
1,length4_neutral,0,27,4,1,1,74.0,75.0,43.0,78.0
1,length4_neutral,0,28,4,2,19,85.0,76.0,22.0,16.0
