participant,age,gender
1,28,Male
2,21,Female
3,24,Female
4,31,Female
5,59,Female
6,24,Male
7,28,Female
8,29,Female
9,35,Male
10,30,Male
11,40,Female
12,39,Female
13,36,Male
14,24,Female
15,36,Female
16,32,Female
17,39,Female
18,24,Female
19,60,Female
20,61,Female
21,39,Female
22,25,Non-binary / third gender
23,24,Female
24,50,Male
25,30,Female
26,20,Female
27,60,Female
28,36,Female
29,34,Male
30,27,Female
31,58,Female
32,42,Female
33,38,Female
34,46,Male
35,49,Female
36,32,Male
37,61,Male
38,48,Male
39,30,Female
40,28,Male
41,31,Female
42,29,Male
43,36,Female
44,33,Male
45,30,Male
46,48,Male
