participant,problem,problemOrder,choicePosition,cost,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12
1,1,23,6,375,419,423,407,384,374,375,373,391,433,556,490,619
1,2,44,5,386,425,414,407,420,386,396,408,403,411,459,575,530
1,3,17,5,386,446,428,417,385,386,387,351,415,401,443,510,524
1,4,21,6,361,429,463,405,395,387,361,404,419,376,353,534,449
1,5,14,7,409,419,425,392,411,384,401,409,406,382,433,424,473
1,6,22,6,365,405,416,423,419,409,365,385,424,403,369,450,498
1,7,25,7,429,415,446,398,392,396,344,429,387,440,554,438,358
1,8,2,9,377,436,430,450,427,381,393,371,414,377,441,444,497
1,9,48,6,394,465,412,418,411,366,394,378,384,408,448,499,497
1,10,20,6,369,424,432,385,397,361,369,394,436,357,452,433,301
1,11,46,8,363,412,409,393,396,411,339,389,363,424,382,415,588
1,12,42,7,377,415,421,401,427,356,360,377,408,396,442,614,483
1,13,13,6,382,439,434,428,409,385,382,387,404,452,388,402,557
1,14,6,6,390,423,450,438,383,371,390,379,399,392,542,525,626
1,15,31,6,365,425,458,410,392,439,365,373,394,437,413,470,549
1,16,32,6,382,432,421,414,397,373,382,368,389,528,438,556,689
1,17,50,2,423,460,423,441,418,375,363,378,397,474,468,301,612
1,18,11,8,369,411,453,407,390,362,396,375,369,472,505,699,376
1,19,41,7,396,428,443,414,416,395,402,396,403,459,495,417,449
1,20,33,6,400,414,434,339,431,403,400,395,454,430,455,359,394
1,21,19,5,380,433,412,417,419,380,369,402,390,385,503,521,614
1,22,24,5,428,450,445,396,413,428,411,380,376,369,350,603,426
1,23,18,3,379,435,412,379,401,388,385,391,444,380,386,347,660
1,24,9,8,364,424,445,416,422,395,367,407,364,379,375,417,687
1,25,3,5,372,368,411,418,399,372,384,402,373,468,471,551,301
1,26,49,2,431,436,431,385,379,396,359,404,409,453,388,301,389
1,27,43,11,504,412,436,382,397,391,401,413,424,447,442,504,616
1,28,36,7,402,416,434,420,436,403,355,402,358,429,440,316,590
1,29,37,7,377,406,402,452,414,422,338,377,385,409,488,456,509
1,30,4,2,412,406,412,425,417,393,352,361,419,475,486,373,456
1,31,45,6,372,409,458,410,370,356,372,396,390,425,523,379,561
1,32,26,9,371,439,423,420,400,398,387,401,382,371,517,520,486
1,33,15,7,387,418,443,373,407,361,380,387,400,398,562,586,699
1,34,47,11,417,436,431,415,414,380,370,374,421,353,410,417,301
1,35,12,5,358,393,368,440,412,358,391,378,417,414,466,625,477
1,36,8,6,397,430,419,413,387,354,397,392,358,427,425,431,495
1,37,34,6,356,425,453,370,404,375,356,388,408,444,472,481,553
1,38,40,5,373,396,453,419,417,373,377,427,402,454,444,312,614
1,39,38,2,412,419,412,415,416,361,372,386,389,439,421,381,527
1,40,7,7,425,420,457,443,415,410,370,425,429,521,369,456,511
1,41,29,8,395,425,436,446,402,403,389,381,395,442,398,441,626
1,42,5,7,353,429,403,393,381,345,378,353,410,301,425,414,433
1,43,10,7,407,428,394,410,393,383,409,407,421,426,461,565,422
1,44,1,3,416,466,439,416,381,385,395,387,402,451,412,462,410
1,45,30,7,415,450,463,432,387,383,375,415,397,337,434,480,444
1,46,35,5,373,427,418,424,367,373,378,363,391,458,507,361,494
1,47,28,2,421,406,421,390,382,389,361,393,420,403,427,419,493
1,48,39,6,378,387,444,407,382,403,378,373,436,353,457,439,510
1,49,16,9,461,420,447,387,375,358,391,368,428,461,415,340,462
1,50,27,12,669,431,421,433,399,388,389,403,392,400,527,475,669
2,1,18,5,374,419,423,407,384,374,375,373,391,433,556,490,619
2,2,20,7,408,425,414,407,420,386,396,408,403,411,459,575,530
2,3,19,4,385,446,428,417,385,386,387,351,415,401,443,510,524
2,4,48,5,387,429,463,405,395,387,361,404,419,376,353,534,449
2,5,49,9,382,419,425,392,411,384,401,409,406,382,433,424,473
2,6,5,6,365,405,416,423,419,409,365,385,424,403,369,450,498
2,7,3,6,344,415,446,398,392,396,344,429,387,440,554,438,358
2,8,23,5,381,436,430,450,427,381,393,371,414,377,441,444,497
2,9,4,5,366,465,412,418,411,366,394,378,384,408,448,499,497
2,10,6,5,361,424,432,385,397,361,369,394,436,357,452,433,301
2,11,13,6,339,412,409,393,396,411,339,389,363,424,382,415,588
2,12,31,5,356,415,421,401,427,356,360,377,408,396,442,614,483
2,13,36,6,382,439,434,428,409,385,382,387,404,452,388,402,557
2,14,46,7,379,423,450,438,383,371,390,379,399,392,542,525,626
2,15,9,6,365,425,458,410,392,439,365,373,394,437,413,470,549
2,16,33,6,382,432,421,414,397,373,382,368,389,528,438,556,689
2,17,11,5,375,460,423,441,418,375,363,378,397,474,468,301,612
2,18,22,6,396,411,453,407,390,362,396,375,369,472,505,699,376
2,19,50,7,396,428,443,414,416,395,402,396,403,459,495,417,449
2,20,17,7,395,414,434,339,431,403,400,395,454,430,455,359,394
2,21,27,6,369,433,412,417,419,380,369,402,390,385,503,521,614
2,22,44,7,380,450,445,396,413,428,411,380,376,369,350,603,426
2,23,24,6,385,435,412,379,401,388,385,391,444,380,386,347,660
2,24,29,5,395,424,445,416,422,395,367,407,364,379,375,417,687
2,25,35,1,368,368,411,418,399,372,384,402,373,468,471,551,301
2,26,43,4,379,436,431,385,379,396,359,404,409,453,388,301,389
2,27,8,12,616,412,436,382,397,391,401,413,424,447,442,504,616
2,28,1,6,355,416,434,420,436,403,355,402,358,429,440,316,590
2,29,26,6,338,406,402,452,414,422,338,377,385,409,488,456,509
2,30,14,4,417,406,412,425,417,393,352,361,419,475,486,373,456
2,31,2,8,390,409,458,410,370,356,372,396,390,425,523,379,561
2,32,30,5,398,439,423,420,400,398,387,401,382,371,517,520,486
2,33,38,6,380,418,443,373,407,361,380,387,400,398,562,586,699
2,34,21,5,380,436,431,415,414,380,370,374,421,353,410,417,301
2,35,32,4,412,393,368,440,412,358,391,378,417,414,466,625,477
2,36,10,3,413,430,419,413,387,354,397,392,358,427,425,431,495
2,37,12,6,356,425,453,370,404,375,356,388,408,444,472,481,553
2,38,41,5,373,396,453,419,417,373,377,427,402,454,444,312,614
2,39,42,6,372,419,412,415,416,361,372,386,389,439,421,381,527
2,40,16,6,370,420,457,443,415,410,370,425,429,521,369,456,511
2,41,37,5,403,425,436,446,402,403,389,381,395,442,398,441,626
2,42,34,7,353,429,403,393,381,345,378,353,410,301,425,414,433
2,43,40,6,409,428,394,410,393,383,409,407,421,426,461,565,422
2,44,45,4,381,466,439,416,381,385,395,387,402,451,412,462,410
2,45,15,4,387,450,463,432,387,383,375,415,397,337,434,480,444
2,46,39,4,367,427,418,424,367,373,378,363,391,458,507,361,494
2,47,47,6,361,406,421,390,382,389,361,393,420,403,427,419,493
2,48,28,4,382,387,444,407,382,403,378,373,436,353,457,439,510
2,49,25,5,358,420,447,387,375,358,391,368,428,461,415,340,462
2,50,7,9,400,431,421,433,399,388,389,403,392,400,527,475,669
3,1,45,12,619,419,423,407,384,374,375,373,391,433,556,490,619
3,2,4,12,530,425,414,407,420,386,396,408,403,411,459,575,530
3,3,27,7,351,446,428,417,385,386,387,351,415,401,443,510,524
3,4,30,9,376,429,463,405,395,387,361,404,419,376,353,534,449
3,5,25,9,382,419,425,392,411,384,401,409,406,382,433,424,473
3,6,15,10,369,405,416,423,419,409,365,385,424,403,369,450,498
