environment,position,ageLabel,distributionMode,distributionSd,optimalThreshold
female,1,18,56.77505541,10.0,90.0
female,2,20,70.36159942,10.0,90.0
female,3,22,78.46722531,15.0,87.0
female,4,24,76.25922215,15.0,82.0
female,5,26,70.81170113,20.0,76.0
female,6,28,59.2471992,20.0,71.0
female,7,30,51.22810213,25.0,65.0
female,8,32,39.65600996,30.0,58.0
female,9,34,32.91966481,30.0,52.0
female,10,36,25.22315329,30.0,46.0
female,11,38,21.39615023,25.0,40.0
female,12,40,18.85341713,25.0,34.0
female,13,42,13.41955855,20.0,28.0
female,14,44,11.20700124,20.0,18.0
female,15,46,8.017579014,20.0,0.0
male,1,18,26.45201445,10.0,88.0
male,2,20,34.2289826,10.0,88.0
male,3,22,49.76166621,15.0,88.0
male,4,24,61.09618362,15.0,87.0
male,5,26,70.81473723,20.0,84.0
male,6,28,67.95549079,20.0,80.0
male,7,30,66.38506846,25.0,73.0
male,8,32,54.49039075,30.0,66.0
male,9,34,45.18550566,30.0,59.0
male,10,36,34.90375565,30.0,52.0
male,11,38,30.4315815,25.0,46.0
male,12,40,26.92716398,25.0,38.0
male,13,42,20.51644048,20.0,32.0
male,14,44,17.3315724,20.0,22.0
male,15,46,13.82411877,20.0,0.0
