environment,problem,maxPosition,optimalPosition,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15
female,1,5,4,59,65,76,96,97,51,33,49,50,17,73,13,6,1,21
female,2,5,5,73,80,74,70,96,52,3,28,13,1,68,69,21,8,29
female,3,2,15,57,76,62,60,75,51,20,35,1,74,8,2,14,36,19
female,4,3,15,56,71,83,70,52,31,67,36,38,1,34,46,3,28,30
female,5,5,5,56,74,68,78,87,59,13,45,32,55,19,35,1,3,28
female,6,4,4,61,83,71,99,97,57,37,33,22,13,31,11,48,6,4
female,7,9,4,53,75,61,83,87,79,86,3,94,65,13,11,1,4,5
female,8,3,3,62,51,99,64,86,66,31,1,6,12,44,5,57,13,8
female,9,3,3,55,70,99,72,46,53,35,54,71,57,61,1,44,9,45
female,10,9,6,51,68,76,67,71,83,78,55,90,1,49,38,2,37,9
female,11,5,5,63,73,55,67,79,46,66,8,57,12,41,1,49,9,16
female,12,3,3,51,65,99,69,74,73,68,11,15,30,19,31,26,40,36
female,13,3,3,49,69,94,80,48,47,11,55,45,1,6,15,2,3,33
female,14,3,15,59,78,85,80,67,48,14,23,46,38,5,1,10,36,40
female,15,4,15,46,58,59,66,61,40,44,33,28,34,22,1,10,12,30
female,16,5,3,40,63,91,60,94,90,38,1,51,47,19,14,28,16,24
female,17,6,3,58,66,89,62,77,97,84,19,9,1,18,13,8,22,36
female,18,4,3,64,58,88,92,75,70,25,32,11,45,27,36,1,19,8
female,19,4,4,72,63,70,98,65,69,40,50,45,31,22,57,1,21,44
female,20,4,4,61,78,87,96,72,90,94,5,2,1,31,52,14,12,21
female,21,6,6,55,71,72,65,58,77,64,21,43,49,1,57,2,39,11
female,22,4,3,78,69,90,92,85,51,35,48,20,82,50,8,1,31,3
female,23,5,5,57,80,61,65,90,56,64,81,33,29,1,36,31,26,58
female,24,10,4,72,76,73,88,61,49,80,25,64,94,1,31,17,24,23
female,25,4,4,43,75,59,92,69,72,27,17,81,4,44,70,18,8,34
female,26,4,15,59,76,75,80,63,70,64,29,31,22,45,14,2,1,10
female,27,3,2,50,94,97,81,61,70,39,91,43,12,58,24,1,6,48
female,28,3,3,69,64,93,67,60,37,17,27,83,10,18,1,32,7,41
female,29,3,15,82,64,84,73,69,21,8,63,67,1,32,11,20,13,24
female,30,4,4,59,80,71,99,73,85,41,16,84,1,34,12,18,6,17
female,31,5,5,65,61,63,53,97,50,32,62,80,58,76,41,42,1,6
female,32,4,4,55,70,54,99,76,69,93,20,16,15,8,32,23,6,7
female,33,5,5,65,60,79,75,98,67,42,61,6,33,4,1,24,14,16
female,34,2,15,58,71,53,62,67,52,36,65,1,18,26,37,21,28,8
female,35,4,4,55,65,56,86,66,85,31,68,1,33,18,24,11,39,8
female,36,3,3,74,67,98,66,90,78,31,63,87,64,4,17,27,41,5
female,37,5,5,52,79,76,66,99,77,72,48,9,20,26,40,1,3,11
female,38,8,8,54,73,83,67,36,17,21,99,49,46,48,9,15,1,23
female,39,3,3,54,73,99,79,57,72,93,18,1,29,7,6,14,27,5
female,40,5,4,84,83,36,89,90,64,80,23,22,1,55,24,21,28,14
female,41,4,4,48,76,64,88,60,75,70,2,40,13,27,1,24,12,23
female,42,3,15,48,81,83,79,77,56,58,42,18,1,2,30,22,25,27
female,43,10,10,48,69,56,76,74,47,70,1,33,85,45,30,35,26,37
female,44,6,6,49,73,80,22,78,99,20,16,75,26,1,8,28,19,21
female,45,5,3,49,68,90,45,99,55,82,56,95,39,17,1,10,26,18
female,46,7,7,72,80,75,81,50,64,99,25,1,6,16,29,26,19,32
female,47,5,5,35,65,70,67,92,84,18,22,49,45,5,33,38,28,1
female,48,3,3,51,69,99,83,81,61,11,37,74,27,26,56,7,55,16
female,49,3,3,62,67,99,98,52,54,22,2,26,34,30,1,24,16,18
female,50,4,4,70,80,79,89,53,71,64,47,51,26,10,33,1,21,22
male,1,6,6,37,54,40,67,69,89,74,7,22,83,18,3,30,15,14
male,2,7,7,36,49,66,64,52,63,97,70,9,42,12,33,32,27,20
male,3,6,5,33,34,49,60,91,99,41,50,25,9,79,37,17,12,73
male,4,8,5,42,37,47,53,92,57,79,99,52,49,32,14,9,35,16
male,5,5,5,39,33,57,42,87,37,58,48,82,71,1,2,21,43,12
male,6,5,5,23,29,75,63,91,31,48,2,44,70,47,14,24,17,67
male,7,5,5,52,49,43,79,89,76,44,32,56,35,61,4,50,1,19
male,8,5,15,30,35,44,52,71,66,48,1,39,45,26,6,16,37,41
male,9,7,6,20,27,37,56,76,92,99,59,36,39,98,57,1,15,25
male,10,5,4,16,43,72,95,99,65,42,62,35,63,34,39,1,5,53
male,11,9,7,24,33,74,60,71,40,80,72,99,53,1,52,21,17,9
male,12,9,5,32,21,54,80,92,86,47,77,99,41,48,12,6,10,64
