participant,environment,problem,problemOrder,choicePosition,value,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15
1,female,1,1,4,96,59,65,76,96,97,51,33,49,50,17,73,13,6,1,21
1,female,2,45,5,96,73,80,74,70,96,52,3,28,13,1,68,69,21,8,29
1,female,3,21,10,74,57,76,62,60,75,51,20,35,1,74,8,2,14,36,19
1,female,4,41,7,67,56,71,83,70,52,31,67,36,38,1,34,46,3,28,30
1,female,5,11,14,3,56,74,68,78,87,59,13,45,32,55,19,35,1,3,28
1,female,6,34,4,99,61,83,71,99,97,57,37,33,22,13,31,11,48,6,4
1,female,7,2,5,87,53,75,61,83,87,79,86,3,94,65,13,11,1,4,5
1,female,8,40,3,99,62,51,99,64,86,66,31,1,6,12,44,5,57,13,8
1,female,9,10,3,99,55,70,99,72,46,53,35,54,71,57,61,1,44,9,45
1,female,10,8,5,71,51,68,76,67,71,83,78,55,90,1,49,38,2,37,9
1,female,11,38,15,16,63,73,55,67,79,46,66,8,57,12,41,1,49,9,16
1,female,12,27,3,99,51,65,99,69,74,73,68,11,15,30,19,31,26,40,36
1,female,13,32,3,94,49,69,94,80,48,47,11,55,45,1,6,15,2,3,33
1,female,14,18,13,10,59,78,85,80,67,48,14,23,46,38,5,1,10,36,40
1,female,15,42,15,30,46,58,59,66,61,40,44,33,28,34,22,1,10,12,30
1,female,16,48,5,94,40,63,91,60,94,90,38,1,51,47,19,14,28,16,24
1,female,17,50,6,97,58,66,89,62,77,97,84,19,9,1,18,13,8,22,36
1,female,18,36,4,92,64,58,88,92,75,70,25,32,11,45,27,36,1,19,8
1,female,19,6,4,98,72,63,70,98,65,69,40,50,45,31,22,57,1,21,44
1,female,20,9,4,96,61,78,87,96,72,90,94,5,2,1,31,52,14,12,21
1,female,21,22,15,11,55,71,72,65,58,77,64,21,43,49,1,57,2,39,11
1,female,22,16,4,92,78,69,90,92,85,51,35,48,20,82,50,8,1,31,3
1,female,23,31,5,90,57,80,61,65,90,56,64,81,33,29,1,36,31,26,58
1,female,24,13,10,94,72,76,73,88,61,49,80,25,64,94,1,31,17,24,23
1,female,25,44,4,92,43,75,59,92,69,72,27,17,81,4,44,70,18,8,34
1,female,26,5,11,45,59,76,75,80,63,70,64,29,31,22,45,14,2,1,10
1,female,27,39,2,94,50,94,97,81,61,70,39,91,43,12,58,24,1,6,48
1,female,28,7,3,93,69,64,93,67,60,37,17,27,83,10,18,1,32,7,41
1,female,29,35,15,24,82,64,84,73,69,21,8,63,67,1,32,11,20,13,24
1,female,30,47,4,99,59,80,71,99,73,85,41,16,84,1,34,12,18,6,17
1,female,31,4,5,97,65,61,63,53,97,50,32,62,80,58,76,41,42,1,6
1,female,32,23,4,99,55,70,54,99,76,69,93,20,16,15,8,32,23,6,7
1,female,33,17,5,98,65,60,79,75,98,67,42,61,6,33,4,1,24,14,16
1,female,34,14,15,8,58,71,53,62,67,52,36,65,1,18,26,37,21,28,8
1,female,35,33,6,85,55,65,56,86,66,85,31,68,1,33,18,24,11,39,8
1,female,36,25,3,98,74,67,98,66,90,78,31,63,87,64,4,17,27,41,5
1,female,37,37,5,99,52,79,76,66,99,77,72,48,9,20,26,40,1,3,11
1,female,38,46,8,99,54,73,83,67,36,17,21,99,49,46,48,9,15,1,23
1,female,39,3,3,99,54,73,99,79,57,72,93,18,1,29,7,6,14,27,5
1,female,40,20,4,89,84,83,36,89,90,64,80,23,22,1,55,24,21,28,14
1,female,41,12,4,88,48,76,64,88,60,75,70,2,40,13,27,1,24,12,23
1,female,42,26,15,27,48,81,83,79,77,56,58,42,18,1,2,30,22,25,27
1,female,43,24,10,85,48,69,56,76,74,47,70,1,33,85,45,30,35,26,37
1,female,44,15,6,99,49,73,80,22,78,99,20,16,75,26,1,8,28,19,21
1,female,45,49,3,90,49,68,90,45,99,55,82,56,95,39,17,1,10,26,18
1,female,46,28,7,99,72,80,75,81,50,64,99,25,1,6,16,29,26,19,32
1,female,47,19,5,92,35,65,70,67,92,84,18,22,49,45,5,33,38,28,1
1,female,48,29,3,99,51,69,99,83,81,61,11,37,74,27,26,56,7,55,16
1,female,49,30,3,99,62,67,99,98,52,54,22,2,26,34,30,1,24,16,18
1,female,50,43,4,89,70,80,79,89,53,71,64,47,51,26,10,33,1,21,22
1,male,1,7,6,89,37,54,40,67,69,89,74,7,22,83,18,3,30,15,14
1,male,2,1,7,97,36,49,66,64,52,63,97,70,9,42,12,33,32,27,20
1,male,3,27,5,91,33,34,49,60,91,99,41,50,25,9,79,37,17,12,73
1,male,4,43,5,92,42,37,47,53,92,57,79,99,52,49,32,14,9,35,16
1,male,5,4,5,87,39,33,57,42,87,37,58,48,82,71,1,2,21,43,12
1,male,6,2,5,91,23,29,75,63,91,31,48,2,44,70,47,14,24,17,67
1,male,7,15,1,52,52,49,43,79,89,76,44,32,56,35,61,4,50,1,19
1,male,8,19,15,41,30,35,44,52,71,66,48,1,39,45,26,6,16,37,41
1,male,9,12,6,92,20,27,37,56,76,92,99,59,36,39,98,57,1,15,25
1,male,10,11,4,95,16,43,72,95,99,65,42,62,35,63,34,39,1,5,53
1,male,11,45,9,99,24,33,74,60,71,40,80,72,99,53,1,52,21,17,9
1,male,12,49,5,92,32,21,54,80,92,86,47,77,99,41,48,12,6,10,64
1,male,13,42,6,99,41,39,25,78,53,99,63,52,73,12,32,68,8,16,1
1,male,14,23,15,40,9,45,31,52,62,79,73,61,1,50,69,29,7,15,40
1,male,15,9,7,97,20,35,64,69,26,41,97,38,47,78,40,33,9,29,5
1,male,16,10,8,92,25,42,26,67,77,62,57,92,1,32,13,31,18,16,15
1,male,17,50,15,12,20,32,38,52,62,53,59,35,29,1,21,37,4,14,12
