participant,horizon,environment,environmentCode,game,trial,choice,reward
1,16,neutral,A1-B1,1,1,1,0
1,16,neutral,A1-B1,1,2,1,1
1,16,neutral,A1-B1,1,3,1,1
1,16,neutral,A1-B1,1,4,1,1
1,16,neutral,A1-B1,1,5,1,1
1,16,neutral,A1-B1,1,6,1,1
1,16,neutral,A1-B1,1,7,1,0
1,16,neutral,A1-B1,1,8,1,1
1,16,neutral,A1-B1,1,9,1,1
1,16,neutral,A1-B1,1,10,1,1
1,16,neutral,A1-B1,1,11,1,1
1,16,neutral,A1-B1,1,12,1,1
1,16,neutral,A1-B1,1,13,1,1
1,16,neutral,A1-B1,1,14,1,1
1,16,neutral,A1-B1,1,15,1,1
1,16,neutral,A1-B1,1,16,1,1
1,16,neutral,A1-B1,2,1,1,1
1,16,neutral,A1-B1,2,2,1,1
1,16,neutral,A1-B1,2,3,1,0
1,16,neutral,A1-B1,2,4,1,0
1,16,neutral,A1-B1,2,5,2,0
1,16,neutral,A1-B1,2,6,2,1
1,16,neutral,A1-B1,2,7,2,1
1,16,neutral,A1-B1,2,8,2,1
1,16,neutral,A1-B1,2,9,2,1
1,16,neutral,A1-B1,2,10,2,1
1,16,neutral,A1-B1,2,11,2,1
1,16,neutral,A1-B1,2,12,2,1
1,16,neutral,A1-B1,2,13,2,1
1,16,neutral,A1-B1,2,14,2,1
1,16,neutral,A1-B1,2,15,2,1
1,16,neutral,A1-B1,2,16,2,1
1,16,neutral,A1-B1,3,1,1,1
1,16,neutral,A1-B1,3,2,1,0
1,16,neutral,A1-B1,3,3,1,0
1,16,neutral,A1-B1,3,4,1,0
1,16,neutral,A1-B1,3,5,2,0
1,16,neutral,A1-B1,3,6,2,0
1,16,neutral,A1-B1,3,7,2,0
1,16,neutral,A1-B1,3,8,2,0
1,16,neutral,A1-B1,3,9,1,0
1,16,neutral,A1-B1,3,10,2,0
1,16,neutral,A1-B1,3,11,1,0
1,16,neutral,A1-B1,3,12,2,0
1,16,neutral,A1-B1,3,13,2,0
1,16,neutral,A1-B1,3,14,2,0
1,16,neutral,A1-B1,3,15,1,0
1,16,neutral,A1-B1,3,16,1,0
1,16,neutral,A1-B1,4,1,1,1
1,16,neutral,A1-B1,4,2,1,1
1,16,neutral,A1-B1,4,3,1,0
1,16,neutral,A1-B1,4,4,2,1
1,16,neutral,A1-B1,4,5,2,1
1,16,neutral,A1-B1,4,6,2,1
1,16,neutral,A1-B1,4,7,2,1
1,16,neutral,A1-B1,4,8,2,1
1,16,neutral,A1-B1,4,9,2,1
1,16,neutral,A1-B1,4,10,2,1
1,16,neutral,A1-B1,4,11,2,1
1,16,neutral,A1-B1,4,12,2,1
1,16,neutral,A1-B1,4,13,2,1
1,16,neutral,A1-B1,4,14,2,1
1,16,neutral,A1-B1,4,15,2,1
1,16,neutral,A1-B1,4,16,2,1
1,16,neutral,A1-B1,5,1,2,1
1,16,neutral,A1-B1,5,2,2,1
1,16,neutral,A1-B1,5,3,2,1
1,16,neutral,A1-B1,5,4,2,1
1,16,neutral,A1-B1,5,5,2,1
1,16,neutral,A1-B1,5,6,2,1
1,16,neutral,A1-B1,5,7,2,1
1,16,neutral,A1-B1,5,8,2,1
1,16,neutral,A1-B1,5,9,2,1
1,16,neutral,A1-B1,5,10,2,1
1,16,neutral,A1-B1,5,11,2,1
1,16,neutral,A1-B1,5,12,2,1
1,16,neutral,A1-B1,5,13,2,1
1,16,neutral,A1-B1,5,14,2,1
1,16,neutral,A1-B1,5,15,2,1
1,16,neutral,A1-B1,5,16,2,1
1,16,neutral,A1-B1,6,1,2,1
1,16,neutral,A1-B1,6,2,2,0
1,16,neutral,A1-B1,6,3,1,0
1,16,neutral,A1-B1,6,4,2,1
1,16,neutral,A1-B1,6,5,2,0
1,16,neutral,A1-B1,6,6,1,0
1,16,neutral,A1-B1,6,7,2,0
1,16,neutral,A1-B1,6,8,1,0
1,16,neutral,A1-B1,6,9,2,1
1,16,neutral,A1-B1,6,10,2,0
1,16,neutral,A1-B1,6,11,1,0
1,16,neutral,A1-B1,6,12,2,0
1,16,neutral,A1-B1,6,13,1,1
1,16,neutral,A1-B1,6,14,2,0
1,16,neutral,A1-B1,6,15,1,1
1,16,neutral,A1-B1,6,16,1,1
1,16,neutral,A1-B1,7,1,1,0
1,16,neutral,A1-B1,7,2,2,1
1,16,neutral,A1-B1,7,3,2,1
1,16,neutral,A1-B1,7,4,2,1
1,16,neutral,A1-B1,7,5,2,1
1,16,neutral,A1-B1,7,6,2,1
1,16,neutral,A1-B1,7,7,2,1
1,16,neutral,A1-B1,7,8,2,1
1,16,neutral,A1-B1,7,9,2,1
1,16,neutral,A1-B1,7,10,2,1
1,16,neutral,A1-B1,7,11,2,1
1,16,neutral,A1-B1,7,12,2,1
1,16,neutral,A1-B1,7,13,2,1
1,16,neutral,A1-B1,7,14,2,1
1,16,neutral,A1-B1,7,15,2,1
1,16,neutral,A1-B1,7,16,2,1
1,16,neutral,A1-B1,8,1,2,0
1,16,neutral,A1-B1,8,2,1,0
1,16,neutral,A1-B1,8,3,2,0
1,16,neutral,A1-B1,8,4,1,1
1,16,neutral,A1-B1,8,5,1,1
1,16,neutral,A1-B1,8,6,1,0
1,16,neutral,A1-B1,8,7,2,1
1,16,neutral,A1-B1,8,8,2,0
1,16,neutral,A1-B1,8,9,1,0
1,16,neutral,A1-B1,8,10,2,0
1,16,neutral,A1-B1,8,11,1,1
1,16,neutral,A1-B1,8,12,1,0
1,16,neutral,A1-B1,8,13,2,0
1,16,neutral,A1-B1,8,14,1,0
1,16,neutral,A1-B1,8,15,2,0
1,16,neutral,A1-B1,8,16,2,0
1,16,neutral,A1-B1,9,1,2,1
1,16,neutral,A1-B1,9,2,2,1
1,16,neutral,A1-B1,9,3,2,1
1,16,neutral,A1-B1,9,4,2,1
1,16,neutral,A1-B1,9,5,2,1
1,16,neutral,A1-B1,9,6,2,1
1,16,neutral,A1-B1,9,7,2,1
1,16,neutral,A1-B1,9,8,2,1
1,16,neutral,A1-B1,9,9,2,1
1,16,neutral,A1-B1,9,10,2,1
1,16,neutral,A1-B1,9,11,2,1
1,16,neutral,A1-B1,9,12,2,1
1,16,neutral,A1-B1,9,13,2,1
1,16,neutral,A1-B1,9,14,2,0
1,16,neutral,A1-B1,9,15,2,1
1,16,neutral,A1-B1,9,16,2,1
1,16,neutral,A1-B1,10,1,2,1
1,16,neutral,A1-B1,10,2,2,1
1,16,neutral,A1-B1,10,3,2,1
1,16,neutral,A1-B1,10,4,2,1
1,16,neutral,A1-B1,10,5,2,1
1,16,neutral,A1-B1,10,6,2,0
1,16,neutral,A1-B1,10,7,2,1
1,16,neutral,A1-B1,10,8,2,1
1,16,neutral,A1-B1,10,9,2,1
1,16,neutral,A1-B1,10,10,2,1
1,16,neutral,A1-B1,10,11,2,1
1,16,neutral,A1-B1,10,12,2,0
1,16,neutral,A1-B1,10,13,2,1
1,16,neutral,A1-B1,10,14,2,0
1,16,neutral,A1-B1,10,15,2,0
1,16,neutral,A1-B1,10,16,1,1
1,16,neutral,A1-B1,11,1,2,1
1,16,neutral,A1-B1,11,2,2,1
1,16,neutral,A1-B1,11,3,2,1
1,16,neutral,A1-B1,11,4,2,1
1,16,neutral,A1-B1,11,5,2,0
1,16,neutral,A1-B1,11,6,1,0
1,16,neutral,A1-B1,11,7,2,1
1,16,neutral,A1-B1,11,8,2,1
1,16,neutral,A1-B1,11,9,2,1
1,16,neutral,A1-B1,11,10,2,1
1,16,neutral,A1-B1,11,11,2,1
1,16,neutral,A1-B1,11,12,2,1
1,16,neutral,A1-B1,11,13,2,0
1,16,neutral,A1-B1,11,14,1,0
1,16,neutral,A1-B1,11,15,1,0
1,16,neutral,A1-B1,11,16,1,0
1,16,neutral,A1-B1,12,1,2,1
1,16,neutral,A1-B1,12,2,2,1
1,16,neutral,A1-B1,12,3,2,1
1,16,neutral,A1-B1,12,4,2,1
1,16,neutral,A1-B1,12,5,2,1
1,16,neutral,A1-B1,12,6,2,1
1,16,neutral,A1-B1,12,7,2,1
1,16,neutral,A1-B1,12,8,2,1
1,16,neutral,A1-B1,12,9,2,0
1,16,neutral,A1-B1,12,10,1,1
1,16,neutral,A1-B1,12,11,1,0
1,16,neutral,A1-B1,12,12,1,0
1,16,neutral,A1-B1,12,13,2,1
1,16,neutral,A1-B1,12,14,2,1
1,16,neutral,A1-B1,12,15,2,1
1,16,neutral,A1-B1,12,16,2,1
1,16,neutral,A1-B1,13,1,2,0
1,16,neutral,A1-B1,13,2,2,0
1,16,neutral,A1-B1,13,3,1,0
1,16,neutral,A1-B1,13,4,2,1
1,16,neutral,A1-B1,13,5,2,1
1,16,neutral,A1-B1,13,6,2,1
1,16,neutral,A1-B1,13,7,2,1
1,16,neutral,A1-B1,13,8,2,1
1,16,neutral,A1-B1,13,9,2,1
1,16,neutral,A1-B1,13,10,2,1
1,16,neutral,A1-B1,13,11,2,1
1,16,neutral,A1-B1,13,12,2,1
1,16,neutral,A1-B1,13,13,2,1
1,16,neutral,A1-B1,13,14,2,1
1,16,neutral,A1-B1,13,15,2,1
1,16,neutral,A1-B1,13,16,2,1
1,16,neutral,A1-B1,14,1,2,0
1,16,neutral,A1-B1,14,2,2,1
1,16,neutral,A1-B1,14,3,2,1
1,16,neutral,A1-B1,14,4,2,0
1,16,neutral,A1-B1,14,5,1,0
1,16,neutral,A1-B1,14,6,2,0
1,16,neutral,A1-B1,14,7,2,0
1,16,neutral,A1-B1,14,8,1,0
1,16,neutral,A1-B1,14,9,2,0
1,16,neutral,A1-B1,14,10,1,1
1,16,neutral,A1-B1,14,11,1,1
1,16,neutral,A1-B1,14,12,1,0
1,16,neutral,A1-B1,14,13,1,0
1,16,neutral,A1-B1,14,14,2,1
1,16,neutral,A1-B1,14,15,2,1
1,16,neutral,A1-B1,14,16,2,0
1,16,neutral,A1-B1,15,1,2,0
1,16,neutral,A1-B1,15,2,1,1
1,16,neutral,A1-B1,15,3,1,1
1,16,neutral,A1-B1,15,4,1,0
1,16,neutral,A1-B1,15,5,1,0
1,16,neutral,A1-B1,15,6,1,1
1,16,neutral,A1-B1,15,7,1,1
1,16,neutral,A1-B1,15,8,1,1
1,16,neutral,A1-B1,15,9,1,1
1,16,neutral,A1-B1,15,10,1,1
1,16,neutral,A1-B1,15,11,1,1
1,16,neutral,A1-B1,15,12,1,0
1,16,neutral,A1-B1,15,13,2,0
