participant,problemLength,problem,choicePosition,confidence,presentationOrder,value1,value2,value3,value4,value5
1,5,1,1,8,24,80.64,26.12,39.64,20.99,5.54
1,5,2,5,1,31,56.79,32.83,9.16,11.21,28.59
1,5,3,1,8,8,97.57,84.66,49.56,84.79,47.7
1,5,4,1,8,21,85.57,0.93,8.29,74.34,45.3
1,5,5,1,6,25,72.53,20.53,37.3,55.41,48.34
1,5,6,1,8,15,93.65,13.72,87.13,18.5,12.63
1,5,7,1,8,27,90.6,57.93,36.22,47.47,72.58
1,5,8,5,1,30,75.33,71.0,73.57,13.4,6.67
1,5,9,5,1,39,1.6,84.14,28.73,10.6,21.34
1,5,10,2,8,26,42.62,88.69,59.69,50.12,19.12
1,5,11,2,8,2,47.82,86.43,79.5,1.09,22.96
1,5,12,5,5,29,40.69,64.4,20.55,35.77,24.26
1,5,13,2,8,22,41.56,81.14,15.1,29.74,40.65
1,5,14,2,7,16,16.7,79.29,44.57,3.28,72.47
1,5,15,2,6,19,26.96,82.33,72.0,53.6,79.91
1,5,16,2,8,36,38.94,87.86,60.85,23.82,18.41
1,5,17,3,8,10,21.58,38.91,99.33,8.09,25.73
1,5,18,5,1,33,10.19,32.5,60.65,24.1,1.96
1,5,19,5,1,7,4.28,59.75,63.31,10.15,46.28
1,5,20,1,7,35,81.06,8.23,84.36,54.35,27.14
1,5,21,3,9,4,62.95,56.27,99.72,49.44,22.11
1,5,22,1,7,38,79.27,20.71,91.32,48.54,40.19
1,5,23,3,8,28,23.29,18.97,94.04,19.48,16.74
1,5,24,3,6,3,55.75,47.9,75.58,71.25,66.86
1,5,25,3,5,11,32.2,12.46,35.46,42.2,39.75
1,5,26,4,7,40,24.08,0.51,17.78,79.51,67.9
1,5,27,5,1,14,4.06,29.95,44.94,75.46,19.64
1,5,28,5,1,32,36.77,55.08,53.56,68.71,11.83
1,5,29,4,7,6,20.1,30.46,4.03,77.66,17.1
1,5,30,4,7,12,59.93,73.74,57.24,96.09,8.58
1,5,31,4,8,23,66.99,0.61,11.28,90.36,15.49
1,5,32,4,8,9,54.21,16.72,3.2,94.74,26.35
1,5,33,5,9,37,65.68,4.26,62.89,54.59,97.3
1,5,34,5,9,5,43.71,70.63,22.08,52.41,80.06
1,5,35,5,9,20,16.26,45.62,18.84,59.7,82.0
1,5,36,1,7,18,78.69,11.41,14.97,44.7,87.95
1,5,37,3,5,13,64.86,24.37,61.51,18.96,85.23
1,5,38,4,5,34,7.95,21.81,3.95,26.67,67.8
1,5,39,5,9,17,38.87,67.67,55.2,12.99,87.42
1,5,40,5,9,1,56.89,29.93,38.25,12.07,85.33
1,10,1,1,5,2,97.47,40.22,51.55,51.02,59.36
1,10,2,10,1,15,85.56,20.49,47.81,38.13,42.42
1,10,3,1,8,10,99.55,94.77,17.22,37.31,34.97
1,10,4,10,1,11,65.85,56.09,40.85,13.95,42.12
1,10,5,10,1,28,65.09,86.18,18.31,5.58,32.32
1,10,6,1,6,13,87.5,89.26,1.7,51.66,4.18
1,10,7,2,5,9,26.17,98.8,66.31,46.15,28.85
1,10,8,2,7,32,13.03,95.84,45.74,57.76,83.81
1,10,9,1,6,29,77.08,73.87,84.07,2.58,41.25
1,10,10,3,7,27,33.25,59.52,87.56,19.9,35.55
