game,rewardRateArm1,rewardRateArm2,rewardRateArm3,rewardRateArm4
1,0.5613,0.6017,0.4699,0.5235
2,0.8168,0.6904,0.3914,0.5137
3,0.2483,0.5009,0.1646,0.8499
4,0.5482,0.6026,0.186,0.2789
5,0.8078,0.1436,0.5408,0.8834
6,0.5227,0.4032,0.9207,0.3413
7,0.4639,0.7912,0.5923,0.9397
8,0.3714,0.2735,0.5196,0.5523
9,0.3684,0.3648,0.7376,0.2732
10,0.6305,0.5876,0.5516,0.4627
11,0.4748,0.2503,0.2288,0.7858
12,0.5961,0.7601,0.5496,0.1921
13,0.1332,0.2587,0.0672,0.7757
14,0.1876,0.2856,0.4284,0.3418
15,0.2633,0.1321,0.7124,0.7755
16,0.7751,0.5459,0.8303,0.3932
17,0.5268,0.9461,0.9504,0.6231
18,0.6255,0.121,0.398,0.4216
19,0.7029,0.4979,0.5602,0.0978
20,0.4391,0.7223,0.8425,0.3705
