participant,game,trial,choice,reward,rewardRateChosen
1,1,1,1,0,0.5613
1,1,2,1,1,0.5613
1,1,3,2,0,0.6017
1,1,4,3,1,0.4699
1,1,5,4,0,0.5235
1,1,6,2,1,0.6017
1,1,7,3,1,0.4699
1,1,8,3,0,0.4699
1,1,9,3,1,0.4699
1,1,10,3,1,0.4699
1,1,11,3,1,0.4699
1,1,12,3,1,0.4699
1,1,13,3,1,0.4699
1,1,14,3,0,0.4699
1,1,15,1,1,0.5613
1,2,1,1,1,0.8168
1,2,2,1,1,0.8168
1,2,3,1,0,0.8168
1,2,4,2,1,0.6904
1,2,5,2,1,0.6904
1,2,6,2,1,0.6904
1,2,7,2,1,0.6904
1,2,8,2,1,0.6904
1,2,9,2,1,0.6904
1,2,10,2,1,0.6904
1,2,11,2,1,0.6904
1,2,12,2,1,0.6904
1,2,13,2,1,0.6904
1,2,14,2,0,0.6904
1,2,15,2,0,0.6904
1,3,1,1,0,0.2483
1,3,2,2,0,0.5009
1,3,3,3,0,0.1646
1,3,4,4,1,0.8499
1,3,5,4,1,0.8499
1,3,6,4,0,0.8499
1,3,7,4,1,0.8499
1,3,8,4,1,0.8499
1,3,9,4,0,0.8499
1,3,10,3,0,0.1646
1,3,11,2,0,0.5009
1,3,12,2,1,0.5009
1,3,13,2,0,0.5009
1,3,14,1,0,0.2483
1,3,15,1,0,0.2483
1,4,1,1,1,0.5482
1,4,2,1,1,0.5482
1,4,3,1,0,0.5482
1,4,4,1,0,0.5482
1,4,5,1,1,0.5482
1,4,6,1,1,0.5482
1,4,7,1,1,0.5482
1,4,8,1,1,0.5482
1,4,9,1,0,0.5482
1,4,10,2,0,0.6026
1,4,11,3,1,0.186
1,4,12,3,0,0.186
1,4,13,3,0,0.186
1,4,14,2,0,0.6026
1,4,15,4,0,0.2789
1,5,1,1,0,0.8078
1,5,2,2,0,0.1436
1,5,3,3,1,0.5408
1,5,4,3,1,0.5408
1,5,5,3,1,0.5408
1,5,6,3,1,0.5408
1,5,7,3,1,0.5408
1,5,8,3,1,0.5408
1,5,9,3,1,0.5408
1,5,10,3,1,0.5408
1,5,11,3,0,0.5408
1,5,12,4,1,0.8834
1,5,13,4,1,0.8834
1,5,14,4,1,0.8834
1,5,15,4,1,0.8834
1,6,1,1,0,0.5227
1,6,2,2,0,0.4032
1,6,3,3,0,0.9207
1,6,4,4,1,0.3413
1,6,5,4,1,0.3413
1,6,6,4,0,0.3413
1,6,7,4,1,0.3413
1,6,8,4,0,0.3413
1,6,9,4,1,0.3413
1,6,10,4,1,0.3413
1,6,11,4,1,0.3413
1,6,12,4,1,0.3413
1,6,13,4,1,0.3413
1,6,14,4,0,0.3413
1,6,15,4,0,0.3413
1,7,1,1,0,0.4639
1,7,2,2,0,0.7912
1,7,3,3,0,0.5923
1,7,4,4,0,0.9397
1,7,5,1,0,0.4639
1,7,6,2,1,0.7912
1,7,7,2,0,0.7912
1,7,8,3,0,0.5923
1,7,9,4,1,0.9397
1,7,10,4,1,0.9397
1,7,11,4,1,0.9397
1,7,12,4,1,0.9397
1,7,13,4,1,0.9397
1,7,14,4,1,0.9397
1,7,15,4,1,0.9397
1,8,1,1,0,0.3714
1,8,2,2,0,0.2735
1,8,3,3,0,0.5196
1,8,4,4,1,0.5523
1,8,5,4,0,0.5523
1,8,6,4,0,0.5523
1,8,7,3,0,0.5196
1,8,8,3,0,0.5196
1,8,9,2,1,0.2735
1,8,10,2,1,0.2735
1,8,11,2,0,0.2735
1,8,12,2,1,0.2735
1,8,13,2,1,0.2735
1,8,14,2,1,0.2735
1,8,15,2,1,0.2735
1,9,1,1,0,0.3684
1,9,2,2,0,0.3648
1,9,3,3,1,0.7376
1,9,4,4,1,0.2732
1,9,5,4,1,0.2732
1,9,6,3,0,0.7376
1,9,7,4,0,0.2732
1,9,8,4,1,0.2732
1,9,9,4,1,0.2732
1,9,10,4,1,0.2732
1,9,11,4,0,0.2732
1,9,12,3,1,0.7376
