problem,nPoints,nHull,point,x,y
1,10,5,1,0.9227,0.486
1,10,5,2,0.832,0.6227
1,10,5,3,0.9276,0.964
1,10,5,4,0.1669,0.4239
1,10,5,5,0.1574,0.9119
1,10,5,6,0.2274,0.6372
1,10,5,7,0.2752,0.8695
1,10,5,8,0.4366,0.7407
1,10,5,9,0.4177,0.4665
1,10,5,10,0.7304,0.0691
2,10,7,1,0.7035,0.3463
2,10,7,2,0.5487,0.9943
2,10,7,3,0.1818,0.2421
2,10,7,4,0.2546,0.6032
2,10,7,5,0.351,0.9517
2,10,7,6,0.1662,0.4765
2,10,7,7,0.0724,0.2032
2,10,7,8,0.3596,0.0423
2,10,7,9,0.7837,0.9395
2,10,7,10,0.5911,0.3585
3,25,7,1,0.9853,0.7078
3,25,7,2,0.912,0.8274
3,25,7,3,0.7373,0.9447
3,25,7,4,0.619,0.8647
3,25,7,5,0.5863,0.7789
3,25,7,6,0.5235,0.9232
3,25,7,7,0.3335,0.9411
3,25,7,8,0.0349,0.9714
3,25,7,9,0.2198,0.4605
3,25,7,10,0.1055,0.3482
3,25,7,11,0.0884,0.2777
3,25,7,12,0.228,0.2616
3,25,7,13,0.5792,0.0316
3,25,7,14,0.6091,0.1352
3,25,7,15,0.6121,0.2013
3,25,7,16,0.4928,0.2609
3,25,7,17,0.3375,0.4043
3,25,7,18,0.3312,0.4629
3,25,7,19,0.3614,0.6313
3,25,7,20,0.497,0.7448
3,25,7,21,0.6311,0.6701
3,25,7,22,0.6531,0.6241
3,25,7,23,0.8083,0.5929
3,25,7,24,0.8624,0.5364
3,25,7,25,0.9213,0.5367
4,25,9,1,0.8421,0.7733
4,25,9,2,0.7296,0.8628
4,25,9,3,0.0573,0.4541
4,25,9,4,0.2003,0.7768
4,25,9,5,0.0744,0.2659
4,25,9,6,0.4319,0.5078
4,25,9,7,0.3816,0.5702
4,25,9,8,0.2421,0.6899
4,25,9,9,0.1542,0.1506
4,25,9,10,0.5638,0.4123
4,25,9,11,0.4698,0.6986
4,25,9,12,0.4981,0.7003
4,25,9,13,0.3895,0.0438
4,25,9,14,0.2345,0.0174
4,25,9,15,0.5104,0.8295
4,25,9,16,0.6289,0.0414
4,25,9,17,0.6899,0.3926
4,25,9,18,0.9893,0.0947
4,25,9,19,0.708,0.7316
4,25,9,20,0.7937,0.885
4,25,9,21,0.6981,0.0277
4,25,9,22,0.8085,0.1832
4,25,9,23,0.6842,0.102
4,25,9,24,0.9492,0.3263
4,25,9,25,0.7026,0.1529
5,40,12,1,0.9398,0.7604
5,40,12,2,0.871,0.8475
5,40,12,3,0.8675,0.8833
5,40,12,4,0.6574,0.9887
5,40,12,5,0.4663,0.9918
5,40,12,6,0.496,0.8942
5,40,12,7,0.3761,0.857
5,40,12,8,0.2273,0.8855
5,40,12,9,0.0397,0.7972
5,40,12,10,0.0243,0.6263
5,40,12,11,0.0533,0.6179
5,40,12,12,0.2512,0.66
5,40,12,13,0.4435,0.6216
5,40,12,14,0.5293,0.6986
5,40,12,15,0.5822,0.6665
5,40,12,16,0.6552,0.622
5,40,12,17,0.7558,0.6062
5,40,12,18,0.9109,0.507
5,40,12,19,0.8333,0.4614
5,40,12,20,0.6426,0.3374
5,40,12,21,0.7323,0.3155
5,40,12,22,0.7785,0.2609
5,40,12,23,0.7454,0.1774
5,40,12,24,0.6882,0.1966
5,40,12,25,0.5159,0.1813
5,40,12,26,0.398,0.1967
5,40,12,27,0.3263,0.1826
5,40,12,28,0.4936,0.3518
5,40,12,29,0.4349,0.3493
5,40,12,30,0.2098,0.3245
5,40,12,31,0.1823,0.3429
5,40,12,32,0.0835,0.2411
5,40,12,33,0.0945,0.1562
5,40,12,34,0.0343,0.1234
5,40,12,35,0.1669,0.0339
5,40,12,36,0.4743,0.0705
5,40,12,37,0.6218,0.0302
5,40,12,38,0.7762,0.0461
5,40,12,39,0.8324,0.0359
5,40,12,40,0.8912,0.0729
6,40,8,1,0.9888,0.7836
6,40,8,2,0.7848,0.8226
6,40,8,3,0.7428,0.987
6,40,8,4,0.721,0.8219
6,40,8,5,0.5707,0.8417
6,40,8,6,0.5147,0.9453
6,40,8,7,0.5141,0.8295
6,40,8,8,0.564,0.7539
6,40,8,9,0.4485,0.6762
6,40,8,10,0.4309,0.6258
6,40,8,11,0.3023,0.7751
6,40,8,12,0.2326,0.6923
6,40,8,13,0.1031,0.673
6,40,8,14,0.1285,0.483
6,40,8,15,0.1283,0.3584
6,40,8,16,0.128,0.3126
6,40,8,17,0.2796,0.1565
6,40,8,18,0.3268,0.123
6,40,8,19,0.2902,0.0295
6,40,8,20,0.4601,0.0231
6,40,8,21,0.5996,0.0018
6,40,8,22,0.6387,0.0635
6,40,8,23,0.846,0.0439
6,40,8,24,0.881,0.0443
6,40,8,25,0.8568,0.3505
6,40,8,26,0.7102,0.4341
6,40,8,27,0.6572,0.3964
6,40,8,28,0.5906,0.3018
6,40,8,29,0.5876,0.2651
6,40,8,30,0.5332,0.2713
6,40,8,31,0.5024,0.1806
6,40,8,32,0.4753,0.3333
6,40,8,33,0.4561,0.3283
6,40,8,34,0.3128,0.3763
6,40,8,35,0.2503,0.3605
6,40,8,36,0.36,0.4609
6,40,8,37,0.5436,0.4485
6,40,8,38,0.6853,0.5326
6,40,8,39,0.837,0.7015
6,40,8,40,0.935,0.7509
