problem,participant,step,point
1,21,1,1
1,21,2,2
1,21,3,3
1,21,4,4
1,21,5,5
1,21,6,6
1,21,7,7
1,21,8,8
1,21,9,9
1,21,10,10
1,23,1,3
1,23,2,5
1,23,3,6
1,23,4,7
1,23,5,8
1,23,6,4
1,23,7,9
1,23,8,10
1,23,9,1
1,23,10,2
1,25,1,1
1,25,2,3
1,25,3,8
1,25,4,4
1,25,5,6
1,25,6,7
1,25,7,5
1,25,8,9
1,25,9,10
1,25,10,2
1,26,1,3
1,26,2,8
1,26,3,7
1,26,4,5
1,26,5,6
1,26,6,4
1,26,7,10
1,26,8,9
1,26,9,1
1,26,10,2
1,27,1,1
1,27,2,2
1,27,3,3
1,27,4,9
1,27,5,8
1,27,6,7
1,27,7,5
1,27,8,6
1,27,9,4
1,27,10,10
1,28,1,1
1,28,2,2
1,28,3,3
1,28,4,8
1,28,5,7
1,28,6,5
1,28,7,6
1,28,8,9
1,28,9,4
1,28,10,10
1,30,1,3
1,30,2,5
1,30,3,7
1,30,4,6
1,30,5,4
1,30,6,10
1,30,7,9
1,30,8,8
1,30,9,1
1,30,10,2
1,33,1,3
1,33,2,9
1,33,3,5
1,33,4,6
1,33,5,4
1,33,6,8
1,33,7,10
1,33,8,2
1,33,9,1
1,33,10,7
2,21,1,1
2,21,2,2
2,21,3,3
2,21,4,4
2,21,5,5
2,21,6,6
2,21,7,7
2,21,8,8
2,21,9,9
2,21,10,10
2,23,1,9
2,23,2,2
2,23,3,10
2,23,4,5
2,23,5,4
2,23,6,6
2,23,7,3
2,23,8,8
2,23,9,7
2,23,10,1
2,26,1,9
2,26,2,2
2,26,3,5
2,26,4,7
2,26,5,3
2,26,6,6
2,26,7,4
2,26,8,8
2,26,9,10
2,26,10,1
2,33,1,9
2,33,2,7
2,33,3,5
2,33,4,10
2,33,5,4
2,33,6,3
2,33,7,6
2,33,8,8
2,33,9,2
2,33,10,1
3,20,1,1
3,20,2,2
3,20,3,3
3,20,4,4
3,20,5,5
3,20,6,6
3,20,7,7
3,20,8,8
3,20,9,9
3,20,10,10
3,20,11,11
3,20,12,12
3,20,13,13
3,20,14,14
3,20,15,15
3,20,16,16
3,20,17,17
3,20,18,18
3,20,19,19
3,20,20,20
3,20,21,21
3,20,22,22
3,20,23,23
3,20,24,24
3,20,25,25
3,21,1,1
3,21,2,2
3,21,3,3
3,21,4,6
3,21,5,7
3,21,6,8
3,21,7,11
3,21,8,10
3,21,9,9
3,21,10,12
3,21,11,13
3,21,12,14
3,21,13,15
3,21,14,16
3,21,15,17
3,21,16,18
3,21,17,19
3,21,18,20
3,21,19,4
3,21,20,5
3,21,21,21
3,21,22,22
3,21,23,23
3,21,24,24
3,21,25,25
3,22,1,8
3,22,2,7
3,22,3,6
3,22,4,20
3,22,5,5
3,22,6,4
3,22,7,3
3,22,8,2
3,22,9,1
3,22,10,25
3,22,11,24
3,22,12,23
3,22,13,22
3,22,14,21
3,22,15,19
3,22,16,18
3,22,17,17
3,22,18,9
3,22,19,10
3,22,20,11
3,22,21,12
3,22,22,16
3,22,23,15
3,22,24,14
3,22,25,13
3,23,1,1
3,23,2,2
3,23,3,24
3,23,4,23
3,23,5,22
3,23,6,21
3,23,7,5
3,23,8,4
3,23,9,3
3,23,10,6
3,23,11,20
3,23,12,7
3,23,13,8
3,23,14,19
3,23,15,18
3,23,16,17
3,23,17,9
3,23,18,10
3,23,19,11
3,23,20,12
3,23,21,13
3,23,22,14
3,23,23,15
3,23,24,16
3,23,25,25
3,25,1,8
3,25,2,7
3,25,3,6
3,25,4,4
3,25,5,3
3,25,6,2
3,25,7,1
3,25,8,25
3,25,9,24
3,25,10,23
3,25,11,22
3,25,12,21
3,25,13,5
3,25,14,20
3,25,15,19
3,25,16,18
3,25,17,9
3,25,18,10
3,25,19,11
3,25,20,12
3,25,21,17
3,25,22,16
3,25,23,15
3,25,24,14
3,25,25,13
3,27,1,1
3,27,2,2
3,27,3,3
3,27,4,6
3,27,5,7
3,27,6,8
3,27,7,9
3,27,8,10
3,27,9,11
3,27,10,12
3,27,11,13
3,27,12,14
3,27,13,15
3,27,14,16
3,27,15,17
3,27,16,18
3,27,17,19
3,27,18,20
3,27,19,4
3,27,20,5
3,27,21,21
3,27,22,22
3,27,23,23
3,27,24,24
3,27,25,25
3,28,1,1
3,28,2,2
3,28,3,3
3,28,4,21
3,28,5,4
3,28,6,6
3,28,7,7
3,28,8,8
3,28,9,5
3,28,10,20
3,28,11,19
3,28,12,18
3,28,13,9
3,28,14,10
3,28,15,11
3,28,16,12
3,28,17,17
3,28,18,16
3,28,19,13
3,28,20,14
3,28,21,15
3,28,22,22
3,28,23,23
3,28,24,24
3,28,25,25
3,29,1,25
3,29,2,1
3,29,3,2
3,29,4,3
3,29,5,4
3,29,6,5
3,29,7,20
3,29,8,6
3,29,9,7
3,29,10,8
3,29,11,19
3,29,12,18
3,29,13,17
3,29,14,9
3,29,15,10
3,29,16,11
3,29,17,12
3,29,18,13
3,29,19,14
3,29,20,15
3,29,21,16
3,29,22,21
3,29,23,22
3,29,24,23
3,29,25,24
3,30,1,1
3,30,2,2
3,30,3,3
3,30,4,22
3,30,5,21
3,30,6,20
3,30,7,5
3,30,8,4
3,30,9,6
3,30,10,7
3,30,11,8
3,30,12,19
3,30,13,9
3,30,14,18
3,30,15,17
3,30,16,10
3,30,17,11
3,30,18,12
3,30,19,16
3,30,20,13
3,30,21,14
3,30,22,15
3,30,23,23
3,30,24,24
3,30,25,25
3,31,1,1
3,31,2,2
3,31,3,3
3,31,4,8
3,31,5,7
3,31,6,6
3,31,7,4
3,31,8,5
3,31,9,20
3,31,10,19
3,31,11,9
3,31,12,10
3,31,13,11
3,31,14,12
3,31,15,13
3,31,16,14
3,31,17,15
3,31,18,16
3,31,19,17
3,31,20,18
3,31,21,21
3,31,22,22
3,31,23,23
3,31,24,24
3,31,25,25
3,32,1,1
3,32,2,2
3,32,3,3
3,32,4,4
3,32,5,6
3,32,6,7
3,32,7,8
3,32,8,20
3,32,9,19
3,32,10,9
3,32,11,10
3,32,12,11
3,32,13,12
3,32,14,17
3,32,15,16
3,32,16,13
3,32,17,14
3,32,18,15
3,32,19,18
3,32,20,5
3,32,21,21
3,32,22,22
3,32,23,23
3,32,24,24
3,32,25,25
3,33,1,2
3,33,2,5
3,33,3,3
3,33,4,4
3,33,5,6
3,33,6,19
3,33,7,7
3,33,8,18
3,33,9,9
3,33,10,8
3,33,11,10
3,33,12,12
3,33,13,11
3,33,14,17
3,33,15,13
3,33,16,16
3,33,17,14
3,33,18,20
3,33,19,15
3,33,20,22
3,33,21,23
3,33,22,21
3,33,23,25
3,33,24,1
3,33,25,24
3,35,1,1
3,35,2,2
3,35,3,3
3,35,4,6
3,35,5,7
3,35,6,8
3,35,7,19
3,35,8,9
3,35,9,18
3,35,10,17
3,35,11,10
3,35,12,11
3,35,13,12
3,35,14,16
3,35,15,15
3,35,16,14
3,35,17,13
3,35,18,25
3,35,19,24
3,35,20,23
3,35,21,22
3,35,22,21
3,35,23,20
3,35,24,5
3,35,25,4
4,21,1,1
4,21,2,2
4,21,3,3
4,21,4,4
4,21,5,5
4,21,6,6
4,21,7,7
4,21,8,8
4,21,9,9
4,21,10,10
4,21,11,11
4,21,12,12
4,21,13,13
4,21,14,14
4,21,15,15
4,21,16,16
4,21,17,17
4,21,18,18
4,21,19,19
4,21,20,20
4,21,21,21
4,21,22,22
4,21,23,23
4,21,24,24
4,21,25,25
4,22,1,24
4,22,2,17
4,22,3,10
4,22,4,6
4,22,5,7
4,22,6,11
4,22,7,12
4,22,8,19
4,22,9,1
4,22,10,20
4,22,11,2
4,22,12,15
4,22,13,8
4,22,14,4
4,22,15,3
4,22,16,5
4,22,17,9
4,22,18,14
4,22,19,13
4,22,20,16
4,22,21,21
4,22,22,23
4,22,23,25
4,22,24,22
4,22,25,18
4,23,1,1
4,23,2,20
4,23,3,2
4,23,4,4
4,23,5,8
4,23,6,3
4,23,7,5
4,23,8,9
4,23,9,14
4,23,10,13
4,23,11,24
4,23,12,22
4,23,13,18
4,23,14,25
4,23,15,23
4,23,16,21
4,23,17,16
4,23,18,17
4,23,19,10
4,23,20,6
4,23,21,7
4,23,22,12
4,23,23,11
4,23,24,15
4,23,25,19
4,25,1,1
4,25,2,2
4,25,3,20
4,25,4,19
4,25,5,12
4,25,6,4
4,25,7,15
4,25,8,8
4,25,9,11
4,25,10,3
4,25,11,7
4,25,12,5
4,25,13,6
4,25,14,9
4,25,15,10
4,25,16,14
4,25,17,17
4,25,18,13
4,25,19,25
4,25,20,16
4,25,21,23
4,25,22,21
4,25,23,22
4,25,24,24
4,25,25,18
4,26,1,24
4,26,2,17
4,26,3,10
4,26,4,6
4,26,5,7
4,26,6,12
4,26,7,19
4,26,8,1
4,26,9,20
4,26,10,2
4,26,11,15
4,26,12,11
4,26,13,4
4,26,14,8
4,26,15,3
4,26,16,5
4,26,17,9
4,26,18,14
4,26,19,13
4,26,20,16
4,26,21,21
4,26,22,23
4,26,23,25
4,26,24,22
4,26,25,18
4,30,1,24
4,30,2,17
4,30,3,10
4,30,4,1
4,30,5,20
4,30,6,2
4,30,7,19
4,30,8,15
4,30,9,12
4,30,10,11
4,30,11,4
4,30,12,8
4,30,13,7
4,30,14,6
4,30,15,3
4,30,16,5
4,30,17,9
4,30,18,14
4,30,19,13
4,30,20,16
4,30,21,21
4,30,22,23
4,30,23,25
4,30,24,22
4,30,25,18
4,33,1,19
4,33,2,1
4,33,3,20
4,33,4,12
4,33,5,11
4,33,6,6
4,33,7,10
4,33,8,17
4,33,9,25
4,33,10,23
4,33,11,13
4,33,12,7
4,33,13,8
4,33,14,2
4,33,15,15
4,33,16,4
4,33,17,3
4,33,18,5
4,33,19,9
4,33,20,14
4,33,21,16
4,33,22,21
4,33,23,22
4,33,24,18
4,33,25,24
4,35,1,24
4,35,2,1
4,35,3,20
4,35,4,2
4,35,5,19
4,35,6,15
4,35,7,12
4,35,8,11
4,35,9,4
4,35,10,8
4,35,11,7
4,35,12,6
4,35,13,10
4,35,14,17
4,35,15,3
4,35,16,5
4,35,17,9
4,35,18,14
4,35,19,13
4,35,20,16
4,35,21,21
4,35,22,23
4,35,23,25
4,35,24,22
4,35,25,18
5,20,1,1
5,20,2,2
5,20,3,3
5,20,4,4
5,20,5,5
5,20,6,6
5,20,7,7
5,20,8,8
5,20,9,9
5,20,10,10
5,20,11,11
5,20,12,12
5,20,13,13
5,20,14,14
5,20,15,15
5,20,16,16
5,20,17,17
5,20,18,18
5,20,19,19
5,20,20,20
5,20,21,21
5,20,22,22
5,20,23,23
5,20,24,24
5,20,25,25
5,20,26,26
5,20,27,27
5,20,28,28
5,20,29,29
5,20,30,30
5,20,31,31
5,20,32,32
5,20,33,33
5,20,34,34
5,20,35,35
5,20,36,36
5,20,37,37
5,20,38,38
5,20,39,39
5,20,40,40
5,21,1,18
5,21,2,1
5,21,3,5
5,21,4,13
5,21,5,29
5,21,6,26
5,21,7,36
5,21,8,25
5,21,9,28
5,21,10,14
5,21,11,6
5,21,12,7
5,21,13,27
5,21,14,37
5,21,15,20
5,21,16,15
5,21,17,4
5,21,18,8
5,21,19,12
5,21,20,31
5,21,21,30
5,21,22,35
5,21,23,38
5,21,24,24
5,21,25,16
5,21,26,3
5,21,27,9
5,21,28,11
5,21,29,32
5,21,30,33
5,21,31,39
5,21,32,23
5,21,33,21
5,21,34,17
5,21,35,2
5,21,36,10
5,21,37,34
5,21,38,40
5,21,39,22
5,21,40,19
5,22,1,1
5,22,2,2
5,22,3,3
5,22,4,4
5,22,5,5
5,22,6,6
5,22,7,7
5,22,8,8
5,22,9,9
5,22,10,10
5,22,11,11
5,22,12,12
5,22,13,13
5,22,14,14
5,22,15,15
5,22,16,16
5,22,17,17
5,22,18,18
5,22,19,19
5,22,20,29
5,22,21,28
5,22,22,20
5,22,23,21
5,22,24,22
5,22,25,24
5,22,26,23
5,22,27,40
5,22,28,39
5,22,29,38
5,22,30,37
5,22,31,36
5,22,32,25
5,22,33,26
5,22,34,27
5,22,35,30
5,22,36,31
5,22,37,32
5,22,38,33
5,22,39,34
5,22,40,35
5,23,1,1
5,23,2,2
5,23,3,3
5,23,4,16
5,23,5,15
5,23,6,13
5,23,7,14
5,23,8,4
5,23,9,6
5,23,10,5
5,23,11,7
5,23,12,12
5,23,13,8
5,23,14,9
5,23,15,11
5,23,16,10
5,23,17,34
5,23,18,33
5,23,19,32
5,23,20,31
5,23,21,30
5,23,22,29
5,23,23,28
5,23,24,20
5,23,25,21
5,23,26,22
5,23,27,24
5,23,28,23
5,23,29,40
5,23,30,39
5,23,31,38
5,23,32,37
5,23,33,25
5,23,34,36
5,23,35,26
5,23,36,27
5,23,37,35
5,23,38,19
5,23,39,18
5,23,40,17
5,24,1,1
5,24,2,2
5,24,3,3
5,24,4,4
5,24,5,5
5,24,6,6
5,24,7,7
5,24,8,8
5,24,9,9
5,24,10,10
5,24,11,11
5,24,12,12
5,24,13,13
5,24,14,14
5,24,15,15
5,24,16,16
5,24,17,17
5,24,18,20
5,24,19,28
5,24,20,29
5,24,21,26
5,24,22,27
5,24,23,30
5,24,24,31
5,24,25,32
5,24,26,33
5,24,27,34
5,24,28,35
5,24,29,36
5,24,30,25
5,24,31,37
5,24,32,24
5,24,33,23
5,24,34,38
5,24,35,39
5,24,36,40
5,24,37,22
5,24,38,21
5,24,39,19
5,24,40,18
5,25,1,1
5,25,2,2
5,25,3,3
5,25,4,4
5,25,5,6
5,25,6,5
5,25,7,7
5,25,8,8
5,25,9,9
5,25,10,10
5,25,11,11
5,25,12,12
5,25,13,30
5,25,14,31
5,25,15,32
5,25,16,33
5,25,17,34
5,25,18,35
5,25,19,27
5,25,20,26
5,25,21,25
5,25,22,36
5,25,23,37
5,25,24,38
5,25,25,39
5,25,26,40
5,25,27,24
5,25,28,23
5,25,29,22
5,25,30,21
5,25,31,20
5,25,32,28
5,25,33,29
5,25,34,13
5,25,35,14
5,25,36,15
5,25,37,16
5,25,38,17
5,25,39,19
5,25,40,18
5,26,1,1
5,26,2,2
5,26,3,3
5,26,4,4
5,26,5,17
5,26,6,16
5,26,7,15
5,26,8,14
5,26,9,6
5,26,10,5
5,26,11,7
5,26,12,13
5,26,13,12
