subject,cond,stimulus,recall,confidence,presented,phase,condType
1001,101,aardvark,1,11,1,1,money_animal
1001,101,airbrush,2,6,0,0,money_animal
1001,101,airpump,2,11,0,0,money_animal
1001,101,allenkey,2,5,1,3,money_animal
1001,101,alligator,2,1,0,0,money_animal
1001,101,alpaca,1,5,0,0,money_animal
1001,101,altimeter,1,11,1,3,money_animal
1001,101,amp,2,11,0,0,money_animal
1001,101,angelfish,1,8,1,3,money_animal
1001,101,anteater,1,11,1,1,money_animal
1001,101,antelope,2,11,0,0,money_animal
1001,101,anvil,2,11,1,2,money_animal
1001,101,armadillo,1,11,1,1,money_animal
1001,101,atlasmoth,2,9,0,0,money_animal
1001,101,auger,1,11,1,2,money_animal
1001,101,axe,1,11,0,0,money_animal
1001,101,bakingsheet,1,6,1,1,money_animal
1001,101,baldeagle,2,11,1,2,money_animal
1001,101,bat,2,11,0,0,money_animal
1001,101,beaker,1,11,1,2,money_animal
1001,101,beaver,2,4,1,2,money_animal
1001,101,bellow,2,1,1,3,money_animal
1001,101,bettafish,1,11,1,1,money_animal
1001,101,bison,1,11,1,3,money_animal
1001,101,black,1,11,1,2,money_animal
1001,101,blender,2,1,1,3,money_animal
1001,101,bluetang,1,11,1,2,money_animal
1001,101,boa,2,11,1,3,money_animal
1001,101,broom,2,7,0,0,money_animal
1001,101,brown,1,7,1,3,money_animal
1001,101,bullfrog,1,11,1,3,money_animal
1001,101,cabletie,2,1,1,2,money_animal
1001,101,camel,1,11,1,1,money_animal
1001,101,camera,2,11,0,0,money_animal
1001,101,can.opener,1,11,1,1,money_animal
1001,101,canary,1,11,1,1,money_animal
1001,101,carabiner,2,8,1,3,money_animal
1001,101,carpetblower,2,4,0,0,money_animal
1001,101,cassowary,2,7,0,0,money_animal
1001,101,cat,1,3,1,2,money_animal
1001,101,caterpillar,1,11,0,0,money_animal
1001,101,catfish,2,4,0,0,money_animal
1001,101,centipede,1,11,1,2,money_animal
1001,101,chameleon,2,6,0,0,money_animal
1001,101,cheesegrater,1,1,1,2,money_animal
1001,101,chinchilla,2,1,0,0,money_animal
1001,101,chisel,1,11,1,2,money_animal
1001,101,cicada,2,1,1,2,money_animal
1001,101,clownfish,2,7,0,0,money_animal
1001,101,cockroach,2,1,0,0,money_animal
1001,101,colander,2,1,1,3,money_animal
1001,101,compass,2,11,0,0,money_animal
1001,101,concretemixer,2,1,1,3,money_animal
1001,101,condor,2,1,0,0,money_animal
1001,101,corgi,2,1,0,0,money_animal
1001,101,cow,2,6,1,3,money_animal
1001,101,crab,2,5,0,0,money_animal
1001,101,cricket,1,11,1,1,money_animal
1001,101,crow,2,4,1,3,money_animal
1001,101,crowbar,2,1,0,0,money_animal
1001,101,cuttingboard,2,1,0,0,money_animal
1001,101,djmixer,2,1,0,0,money_animal
1001,101,dolphin,1,3,1,3,money_animal
1001,101,donkey,1,11,1,3,money_animal
1001,101,door,2,7,0,0,money_animal
1001,101,dragonfly,2,4,0,0,money_animal
