item,name,criterion
1,Merv Griffin,1000.0
2,Shahrukh Khan,600.0
3,Tom Cruise,480.0
4,Mel Gibson,425.0
5,Johnny Depp,400.0
6,Jack Nicholson,400.0
7,Sylvester Stallone,400.0
8,Jackie Chan,350.0
9,Tom Hanks,350.0
10,Arnold Schwarzenegger,300.0
11,Michael Douglas,300.0
12,Adam Sandler,300.0
13,Patrick Wilson,275.0
14,Robert Downey Jr,250.0
15,Leonardo DiCaprio,245.0
16,Scott Speedman,245.0
17,Leon Thomas III,245.0
18,Will Smith,240.0
19,Brad Pitt,240.0
20,Mark Wahlberg,225.0
21,Justin Chambers,215.0
22,Amaury Nolasco,215.0
23,Peter Stormare,215.0
24,Michael Shanks,215.0
25,Harrison Ford,210.0
26,Karan Johar,200.0
27,Denzel Washington,190.0
28,Robert Conrad,185.0
29,David Gallagher,185.0
30,Jorge Garcia,185.0
31,George Clooney,180.0
32,Bruce Willis,180.0
33,Mike Myers,175.0
34,Robert Redford,170.0
35,Samuel L. Jackson,170.0
36,Anthony Hopkins,160.0
37,Robert De Niro,150.0
38,Morgan Freeman,150.0
39,Sean Penn,150.0
40,Preity Zinta,145.0
41,John Slattery,145.0
42,Saif Ali Khan,140.0
43,Al Pacino,135.0
44,Rowan Atkinson,130.0
45,Charlie Sheen,125.0
46,Kelsey Grammer,120.0
47,Gerard Depardieu,120.0
48,Ben Stiller,120.0
49,Sean Connery,120.0
50,Martin Lawrence,110.0
51,Steve Martin,110.0
52,David Hasselhoff,110.0
53,Daniel Radcliffe,110.0
54,Kamal Hasaan,100.0
55,Bob Saget,100.0
56,Andrew Shue,100.0
57,Hugh Jackman,100.0
58,Robert Pattinson,100.0
59,William Shatner,100.0
60,Richard Gere,100.0
61,Sacha Baron Cohen,100.0
62,Vin Diesel,100.0
63,Alexander Ludwig,97.0
64,Andy Lau,96.5
65,Bradley Cooper,90.0
66,Eddie Murphy,85.0
67,Tommy Lee Jones,85.0
68,Henry Thomas,82.0
69,Channing Tatum,80.0
70,Tim Allen,80.0
71,Kevin James,80.0
72,Hugh Grant,80.0
73,Shashi Kapoor,80.0
74,Matthew McConaughey,77.0
75,Nick Nolte,75.0
76,Tobey Maguire,75.0
77,Liam Neeson,75.0
78,Michael Caine,75.0
79,Matt Damon,75.0
80,Chris Hemsworth,71.0
81,Jean Reno,70.0
82,Chuck Norris,70.0
83,Danny DeVito,70.0
84,Dharmendra,70.0
85,Matthew Perry,70.0
86,Kurt Russell,70.0
87,Alec Baldwin,65.0
88,Woody Harrelson,65.0
89,Michael J. Fox,65.0
90,Woody Allen,65.0
91,Bob Newhart,65.0
92,Dilip Kumar,65.0
93,Kiefer Sutherland,65.0
94,Harry Shearer,65.0
95,Ted Danson,60.0
96,Tony Curtis,60.0
97,Robin Wright,60.0
98,Jon Favreau,60.0
99,Patrick Stewart,60.0
100,Patrick Dempsey,60.0
