participant,itemA,itemB,recognizedA,recognizedB,aLarger
1,100,21,0,0,0
1,96,47,1,0,0
1,44,12,0,1,0
1,87,71,0,1,0
1,92,56,0,1,0
1,66,2,0,1,0
1,7,50,1,0,1
1,19,81,0,1,1
1,11,51,1,0,1
1,10,83,0,1,1
1,43,45,1,0,1
1,15,17,0,0,0
1,68,72,1,1,1
1,89,52,0,1,0
1,65,28,1,0,0
1,20,3,1,0,0
1,74,24,1,1,0
1,18,82,1,0,1
1,25,98,0,1,1
1,62,38,0,1,0
1,16,69,0,0,1
1,79,63,1,0,0
1,22,8,0,1,0
1,67,14,0,1,0
1,58,1,1,1,0
1,85,36,1,1,0
1,86,70,1,0,0
1,91,95,0,1,1
1,42,31,0,1,0
1,49,26,0,1,0
1,33,97,0,1,1
1,59,48,0,1,0
1,57,35,0,1,0
1,13,55,1,0,1
1,32,88,1,0,1
1,76,93,0,1,1
1,27,46,0,1,1
1,39,60,1,0,1
1,94,90,1,0,0
1,64,34,0,1,0
1,41,40,1,0,0
1,29,78,0,1,1
1,9,23,1,0,1
1,99,75,1,0,0
1,5,80,0,1,1
1,30,54,1,0,1
1,77,61,0,1,0
1,4,53,0,0,1
1,6,84,0,1,1
1,37,73,1,0,1
2,100,21,1,1,0
2,96,47,1,1,0
2,12,44,1,1,1
2,87,71,1,0,0
2,56,92,0,0,1
2,66,2,1,0,0
2,7,50,1,1,1
2,19,81,1,1,1
2,11,51,1,1,1
2,10,83,1,1,1
2,45,43,1,1,0
2,15,17,1,1,0
2,72,68,1,1,0
2,89,52,1,1,0
2,65,28,1,1,0
2,3,20,1,1,1
2,74,24,1,0,0
2,18,82,1,1,1
2,25,98,1,1,1
2,38,62,1,1,1
2,69,16,1,0,0
2,79,63,1,0,0
2,8,22,1,0,1
2,67,14,1,1,0
2,1,58,1,1,1
2,36,85,1,1,1
2,70,86,1,1,1
2,95,91,1,1,0
2,31,42,1,0,1
2,49,26,1,0,0
2,33,97,1,1,1
2,48,59,1,1,1
2,35,57,1,0,1
2,55,13,1,0,0
2,32,88,1,1,1
2,76,93,1,1,1
2,27,46,1,1,1
2,39,60,1,1,1
2,90,94,1,1,0
2,34,64,1,0,1
2,41,40,0,0,0
2,78,29,1,1,0
2,9,23,1,0,1
2,75,99,1,1,1
2,5,80,1,1,1
2,54,30,0,0,0
2,77,61,1,1,0
2,53,4,1,1,0
2,6,84,1,0,1
2,37,73,1,0,1
3,100,21,1,0,0
3,96,47,1,1,0
3,12,44,1,1,1
3,87,71,1,1,0
3,56,92,0,0,1
3,66,2,1,0,0
3,7,50,1,1,1
3,19,81,1,1,1
3,51,11,1,1,0
3,10,83,1,1,1
3,43,45,1,1,1
3,15,17,1,0,0
3,68,72,1,1,1
3,89,52,1,1,0
3,65,28,1,0,0
3,3,20,1,1,1
3,74,24,1,0,0
3,18,82,1,1,1
3,25,98,1,0,1
3,38,62,1,1,1
3,69,16,1,0,0
3,79,63,1,0,0
3,8,22,1,0,1
3,14,67,1,1,1
3,1,58,1,0,1
3,36,85,1,1,1
3,86,70,1,1,0
3,91,95,1,1,1
3,31,42,1,0,1
3,49,26,1,0,0
3,97,33,1,1,0
3,48,59,1,1,1
3,35,57,1,1,1
3,55,13,1,0,0
3,88,32,1,1,0
3,93,76,1,1,0
