item,name,criterion
1,Delta Air Lines,326465
2,United Airlines,288036
3,Emirates Airline,235498
4,American Airlines,208108
5,Southwest Airlines,173829
6,Lufthansa,156826
7,British Airways,138431
8,China Southern Airlines,135637
9,Air France,134000
10,China Eastern Airlines,127637
11,Ryanair,120000
12,Air China,112495
13,Turkish Airlines,106787
14,US Airways,106679
15,Cathay Pacific,100048
16,Air Canada,99140
17,Qatar Airways,95977
18,Singapore Airlines,94209
19,KLM,91477
20,All Nippon Airways,74221
21,EasyJet,72933
22,Qantas,71270
23,Etihad Airways,68600
24,Korean Air,67948
25,Aeroflot,67122
26,JetBlue Airways,60842
27,TAM Linhas Aereas,60247
28,Thai Airways International,56377
29,Japan Airlines,52890
30,Saudia,51782
31,Air Berlin,49270
32,LAN Airlines,48250
33,Transaero Airlines,47066
34,Malaysia Airlines,46375
35,Hainan Airlines,45072
36,Alaska Airlines,44695
37,Iberia,42686
38,Shenzhen Airlines,38668
39,Gol Transportes Aereos,38085
40,Virgin Atlantic Airways,37664
41,Norwegian,37615
42,China Airlines,35886
43,Swiss,35717
44,Asiana Airlines,35223
45,Air India,35101
46,SAS,34594
47,Alitalia,34500
48,Jet Airways,34423
49,WestJet,33514
50,Virgin Australia,33067
51,Avianca,32602
52,Thomson Airways,31652
53,Sichuan Airlines,31414
54,Lion Air,31400
55,EVA Air,30518
56,Garuda,30231
57,TAP Portugal,30119
58,Grupo Aeromexico,28772
59,Jetstar,28644
60,Air New Zealand,28078
61,Xiamen Airlines,27712
62,AirAsia,27274
63,Vietnam Airlines,26500
64,IndiGo,26048
65,Condor,25916
66,ExpressJet Airlines,25608
67,Copa Airlines,25604
68,Wizz Air,25351
69,SkyWest Airlines,24953
70,Philippine Airlines,24821
71,Finnair,24772
72,Spirit Airlines,22783
73,Hawaiian Airlines,22399
74,South African Airways,22313
75,Ethiopian Airlines,22267
76,Air Europa,21980
77,Vueling Airlines,21445
78,AirAsia X,20817
79,Thomas Cook Airlines,20696
80,UTair,20199
81,Pegasus,19500
82,El Al,18984
83,TUIfly,18500
84,Austrian,18428
85,Egyptair,18358
86,Spring Airlines,18258
87,Frontier Airlines,17946
88,Shandong Airlines,17580
89,Air Transat,17500
90,Cebu Pacific Air,16213
91,Virgin America,16212
92,Aer Lingus,16088
93,Azul,15707
94,Monarch Airlines,15705
95,Volaris,15644
96,S7,15583
97,Transavia Airlines,14000
98,Capital Airlines,13823
99,Air Arabia,13800
100,Nordwind Airlines,13402
101,Ural Airlines,13327
102,SpiceJet,13135
103,SriLankan Airlines,12964
104,Juneyao Airlines,12853
105,Royal Air Maroc,12793
106,Allegiant Air,12592
107,Thai AirAsia,12420
108,Jet2,12255
109,Dragonair,12209
110,Envoy,12133
111,Aerolineas Argentinas,12000
112,Pakistan International,11903
113,Oman Air,11336
114,Tianjin Airlines,10985
115,Brussels Airlines,10756
116,SunExpress,10500
117,Republic Airlines,10267
118,Rossiya Russian Airlines,10147
119,Kenya Airways,10000
120,Tigerair,9696
121,Aegean Airlines Group,9584
122,China Xinhua Airlines,9389
123,Indonesia AirAsia,9150
124,Thomas Cook Scandinavia,8829
125,Gulf Air,8692
126,Corsair,8598
127,Interjet,8578
128,Orenair,8471
129,Mahan Air,8313
130,Royal Jordanian,8136
131,LOT Polish Airlines,8045
132,Icelandair,7777
133,Air Astana,7754
134,Kuwait Airways,7182
135,Uzbekistan Airways,7044
136,Hong Kong Airlines,7000
137,Jetairfly,7000
138,Skymark Airlines,7000
139,Mesa Airlines,6968
140,China United Airlines,6668
141,Air India Express,6622
142,Travel Service Airlines,6542
143,Anadolu Jet,6500
144,Biman Bangladesh,6500
145,Ukraine International,6479
146,Kulula South,6385
147,Air Algerie,6228
148,Shuttle America,6194
149,Jetstar Asia,6188
150,Air Mauritius,6186
