participant,itemA,itemB,recognizedA,recognizedB,aLarger,choiceA
110,22,114,0,0,1,0
110,44,63,0,0,1,1
110,98,24,0,1,0,0
110,100,118,0,0,1,1
110,38,42,0,0,1,0
110,4,32,1,0,1,1
110,54,40,0,1,0,0
110,149,12,0,0,0,0
110,83,19,0,0,0,0
110,119,148,0,0,1,0
110,82,49,0,0,0,0
110,146,131,0,0,0,1
110,99,111,0,1,1,0
110,104,3,0,0,0,0
110,90,91,0,1,1,0
110,5,75,1,0,1,1
110,59,140,0,0,1,0
110,51,78,0,0,1,0
110,135,115,0,0,0,1
110,45,71,0,0,1,1
110,69,23,0,0,0,1
110,50,34,1,1,0,1
110,66,85,0,0,1,1
110,92,46,0,1,0,0
110,113,31,0,0,0,0
110,141,30,0,0,0,1
110,136,68,0,1,0,0
110,103,108,0,0,1,1
110,106,47,0,0,0,0
110,109,144,0,0,1,0
110,52,48,0,0,0,0
110,147,60,0,0,0,0
110,143,20,0,0,0,1
110,87,129,0,0,1,1
110,95,7,0,1,0,0
110,58,107,1,0,1,1
110,137,8,0,0,0,0
110,97,96,0,0,0,1
110,62,110,0,0,1,1
110,139,33,0,0,0,1
110,120,9,0,0,0,0
110,17,142,0,0,1,0
110,25,84,1,0,1,1
110,26,74,0,0,1,1
110,73,41,1,1,0,1
110,138,37,0,0,0,1
110,29,64,0,0,1,1
110,55,132,0,0,1,1
110,127,130,0,0,1,0
110,72,27,0,0,0,1
110,126,117,0,0,0,0
110,76,77,0,1,1,0
110,112,101,0,0,0,1
110,128,21,0,1,0,0
110,56,61,0,0,1,0
110,150,1,0,1,0,0
110,14,89,1,0,1,1
110,11,43,1,0,1,1
110,39,81,0,0,1,0
110,102,94,0,0,0,0
110,36,145,1,0,1,1
110,125,123,0,0,0,1
110,88,57,0,0,0,1
110,105,13,0,0,0,1
110,28,80,0,0,1,1
110,15,18,0,0,1,0
110,16,65,0,0,1,1
110,79,2,0,1,0,0
110,86,93,0,0,1,0
110,121,134,0,0,1,1
110,116,70,0,0,0,0
110,53,122,0,0,1,0
110,133,10,0,0,0,0
110,6,124,0,0,1,0
110,35,67,0,0,1,0
111,22,114,0,0,1,1
111,44,63,0,0,1,1
111,98,24,0,1,0,0
111,100,118,0,0,1,0
111,38,42,1,1,1,0
111,4,32,1,1,1,1
111,54,40,0,1,0,0
111,149,12,1,1,0,0
111,83,19,0,0,0,0
111,119,148,0,1,1,0
111,82,49,0,1,0,0
111,146,131,0,0,0,1
111,99,111,1,1,1,1
111,104,3,0,1,0,0
111,90,91,0,1,1,0
111,5,75,1,1,1,1
111,59,140,1,0,1,1
111,51,78,1,1,1,0
111,135,115,0,0,0,0
111,45,71,1,1,1,1
111,69,23,1,0,0,1
111,50,34,1,1,0,1
111,66,85,1,0,1,1
111,92,46,0,0,0,0
111,113,31,0,1,0,0
111,141,30,0,1,0,0
111,136,68,1,0,0,1
111,103,108,0,1,1,0
111,106,47,0,0,0,0
111,109,144,0,0,1,0
111,52,48,1,1,0,0
111,147,60,1,1,0,0
111,143,20,0,0,0,0
111,87,129,1,0,1,1
111,95,7,1,1,0,0
111,58,107,1,0,1,0
111,137,8,1,1,0,0
111,97,96,0,0,0,1
111,62,110,0,0,1,1
111,139,33,0,0,0,1
111,120,9,0,1,0,0
111,17,142,1,0,1,1
111,25,84,0,1,1,0
111,26,74,1,0,1,1
111,73,41,1,1,0,1
111,138,37,0,1,0,0
111,29,64,1,0,1,1
111,55,132,0,0,1,0
111,127,130,1,0,1,1
111,72,27,1,1,0,1
111,126,117,1,1,0,0
111,76,77,1,0,1,1
111,112,101,0,0,0,1
111,128,21,0,0,0,0
111,56,61,0,0,1,0
111,150,1,0,1,0,0
111,14,89,1,0,1,1
