item,name,criterion
1,Michael Jordan,1100.0
2,Michael Schumacher,800.0
3,Vince McMahon,750.0
4,Arnold Palmer,675.0
5,Floyd Mayweather,650.0
6,Tiger Woods,640.0
7,Roger Staubach,600.0
8,Magic Johnson,500.0
9,LeBron James,425.0
10,Junior Bridgeman,400.0
11,Michael Buffer,400.0
12,Kobe Bryant,360.0
13,David Beckham,350.0
14,Shaquille ONeal,350.0
15,Roger Federer,350.0
16,Dale Earnhardt Jr.,315.0
17,Cristiano Ronaldo,310.0
18,Alex Rodriguez,300.0
19,Greg Norman,300.0
20,Phil Mickelson,295.0
21,Jack Nicklaus,280.0
22,Lewis Hamilton,280.0
23,Manny Pacquiao,250.0
24,George Foreman,250.0
25,Paul Caddick,225.0
26,Lionel Messi,220.0
27,Dave Whelan,210.0
28,Bob Arum,200.0
29,Oscar De La Hoya,200.0
30,Kimi Raikkonen,200.0
31,Fernando Alonso,200.0
32,Ken Block,200.0
33,John Madden,200.0
34,Hakeem Olajuwon,200.0
35,Richard Childress,200.0
36,Wayne Gretzky,200.0
37,Maria Sharapova,195.0
38,Peyton Manning,185.0
39,Derek Jeter,185.0
40,Grant Hill,180.0
41,Sir Tony OReilly,180.0
42,Kevin Garnett,180.0
43,Andre Agrassi,175.0
44,Dirk Nowitzki,170.0
45,Johnny Dumfries,165.0
46,Wayne Rooney,160.0
47,CC Sabathia,155.0
48,Tim Duncan,150.0
49,Jeff Gordon,150.0
50,Don King,150.0
51,Pete Sampras,150.0
52,Serena Williams,145.0
53,Alexandre Pato,145.0
54,Chris Webber,143.4
55,Martin Edwards,142.5
56,Ryan Howard,140.0
57,Lennox Lewis,140.0
58,Dwayne Johnson,135.0
59,Miguel Cabrera,135.0
60,Gilbert Arenas,135.0
61,Tom Brady,131.0
62,Novak Djokovic,130.0
63,Joe Johnson,130.0
64,Gary Payton,130.0
65,Drew Brees,130.0
66,Lance Armstrong,125.0
67,Rafael Nadal,125.0
68,Adrian Beltre,125.0
69,Tom Glavine,120.0
70,Eddie Irvine,120.0
71,Valentino Rossi,120.0
72,Carlos Boozer,120.0
73,Tony Hawk,120.0
74,Sugar Ray Leonard,120.0
75,Derrick Rose,115.0
76,Randy Johnson,115.0
77,Dwyane Wade,115.0
78,Sachin Tendulkar,115.0
79,Dwight Howard,115.0
80,Eli Manning,115.0
81,Aramis Ramirez,110.0
82,Pedro Martinez,110.0
83,Chris Bosh,110.0
84,Manny Ramirez,110.0
85,Chipper Jones,110.0
86,Jenson Button,105.0
87,Fred Couples,105.0
88,Francesco Totti,101.6
89,Mike Piazza,100.9
90,Cliff Lee,100.0
91,Mahendra Singh Dhoni,100.0
92,Prince Fielder,100.0
93,Eden Hazard,100.0
94,Jimmie Johnson,100.0
95,Carson Palmer,100.0
96,Bruce (Caitlyn) Jenner,100.0
97,Kaka,100.0
98,Kevin Durant,100.0
99,Elton Brand,100.0
