participant,itemA,itemB,recognizedA,recognizedB,aLarger
1,71,39,1,0,0
1,13,66,0,1,1
1,42,61,1,0,1
1,83,15,0,1,0
1,92,45,0,1,0
1,72,74,0,1,0
1,64,49,0,1,0
1,89,30,1,1,0
1,20,9,0,1,0
1,28,94,0,1,1
1,35,76,0,1,1
1,81,69,1,0,0
1,62,88,1,0,1
1,26,46,0,1,1
1,60,6,0,1,0
1,8,57,1,0,1
1,91,1,1,0,0
1,52,54,0,1,1
1,18,82,0,1,1
1,3,16,1,0,1
1,37,14,0,1,0
1,33,65,0,1,1
1,97,86,0,1,0
1,80,59,1,0,0
1,36,27,0,1,0
1,56,22,0,1,0
1,85,53,0,1,0
1,48,43,0,1,0
1,4,23,0,1,1
1,55,90,0,1,1
1,78,58,0,0,0
1,17,32,1,0,1
1,11,98,1,0,1
1,75,95,0,1,1
1,96,31,0,1,0
1,34,5,0,1,0
1,12,29,0,1,1
1,50,79,0,1,1
1,87,38,0,1,0
1,99,63,0,1,0
1,51,47,1,0,0
1,84,19,1,0,0
1,2,10,0,1,1
1,70,40,0,1,0
1,68,44,0,1,0
1,21,25,0,1,1
1,41,7,0,1,0
1,93,73,0,1,0
2,39,71,1,0,1
2,13,66,1,1,1
2,61,42,1,1,0
2,15,83,1,0,1
2,92,45,1,0,0
2,74,72,1,0,0
2,49,64,1,1,1
2,89,30,1,0,0
2,9,20,1,1,1
2,94,28,1,0,0
2,76,35,1,0,0
2,69,81,1,0,1
2,62,88,1,0,1
2,26,46,0,0,1
2,6,60,1,0,1
2,8,57,1,1,1
2,1,91,1,0,1
2,52,54,1,0,1
2,18,82,1,1,1
2,16,3,1,1,0
2,14,37,1,1,1
2,65,33,1,1,0
2,97,86,0,0,0
2,80,59,1,1,0
2,36,27,1,0,0
2,22,56,0,0,1
2,85,53,1,0,0
2,48,43,1,1,0
2,4,23,1,1,1
2,55,90,0,0,1
2,58,78,1,0,1
2,32,17,0,0,0
2,98,11,1,0,0
2,75,95,0,0,1
2,96,31,1,0,0
2,5,34,1,1,1
2,12,29,1,1,1
2,50,79,1,0,1
2,38,87,1,1,1
2,63,99,1,0,1
2,51,47,1,0,0
2,84,19,1,1,0
2,2,10,1,0,1
2,40,70,1,0,1
2,44,68,1,0,1
2,21,25,1,0,1
2,7,41,1,0,1
2,73,93,1,0,1
3,39,71,1,1,1
3,13,66,1,1,1
3,61,42,1,0,0
3,15,83,1,0,1
3,45,92,0,0,1
3,74,72,1,0,0
3,64,49,1,1,0
3,89,30,1,0,0
3,9,20,1,1,1
3,94,28,0,0,0
3,35,76,0,0,1
3,81,69,0,0,0
3,88,62,0,0,0
3,26,46,0,0,1
3,6,60,1,0,1
3,8,57,1,1,1
3,1,91,1,0,1
3,52,54,1,1,1
3,18,82,1,0,1
3,16,3,1,0,0
3,14,37,1,1,1
3,33,65,1,0,1
3,86,97,0,0,1
3,80,59,1,0,0
3,36,27,1,0,0
3,22,56,0,0,1
3,85,53,1,0,0
3,43,48,1,0,1
3,4,23,1,0,1
3,55,90,0,0,1
3,58,78,1,0,1
3,32,17,0,0,0
3,98,11,1,1,0
3,75,95,0,0,1
3,96,31,1,0,0
3,5,34,1,0,1
3,12,29,1,1,1
3,50,79,1,0,1
3,38,87,1,0,1
3,63,99,0,0,1
3,51,47,1,0,0
3,84,19,0,0,0
3,2,10,0,0,1
3,70,40,0,0,0
3,44,68,0,0,1
3,21,25,1,0,1
3,7,41,1,0,1
3,73,93,1,0,1
4,39,71,1,0,1
4,13,66,1,1,1
4,61,42,1,1,0
4,15,83,1,1,1
4,45,92,0,0,1
4,74,72,1,0,0
4,49,64,1,0,1
4,30,89,1,0,1
4,9,20,1,0,1
4,28,94,1,0,1
4,76,35,0,0,0
4,81,69,0,0,0
4,62,88,1,0,1
4,26,46,1,0,1
4,6,60,1,0,1
4,8,57,1,0,1
4,1,91,1,0,1
4,52,54,1,0,1
4,18,82,1,0,1
4,3,16,1,1,1
4,14,37,1,1,1
4,33,65,1,0,1
4,86,97,1,0,1
4,80,59,1,0,0
4,36,27,1,0,0
4,22,56,1,0,1
4,85,53,0,0,0
4,43,48,1,1,1
4,23,4,1,0,0
4,90,55,0,0,0
4,58,78,1,0,1
4,17,32,1,1,1
4,98,11,1,0,0
4,75,95,0,0,1
4,31,96,1,1,1
4,5,34,1,0,1
4,12,29,1,1,1
4,50,79,1,1,1
4,38,87,1,0,1
4,63,99,0,0,1
4,51,47,1,0,0
4,84,19,1,0,0
4,2,10,1,0,1
4,40,70,1,0,1
4,44,68,0,0,1
4,21,25,0,0,1
4,41,7,0,0,0
4,73,93,1,0,1
5,71,39,1,0,0
5,13,66,0,1,1
5,42,61,1,0,1
5,83,15,1,1,0
5,45,92,1,0,1
5,74,72,1,1,0
5,49,64,0,1,1
5,89,30,0,1,0
5,9,20,1,1,1
5,28,94,1,0,1
5,35,76,1,0,1
5,69,81,0,1,1
5,88,62,0,1,0
5,26,46,1,1,1
5,60,6,1,0,0
5,57,8,0,1,0
5,1,91,1,1,1
5,54,52,0,1,0
5,18,82,1,1,1
5,3,16,1,1,1
5,37,14,0,0,0
5,33,65,0,1,1
5,86,97,1,1,1
5,80,59,0,1,0
5,27,36,1,1,1
5,22,56,1,0,1
5,85,53,1,0,0
5,48,43,1,1,0
5,4,23,1,0,1
5,55,90,1,0,1
5,78,58,0,1,0
5,17,32,1,0,1
5,11,98,1,0,1
5,75,95,1,1,1
5,31,96,0,1,1
5,34,5,1,1,0
5,12,29,1,0,1
5,79,50,0,1,0
5,87,38,1,0,0
5,63,99,1,1,1
5,51,47,1,0,0
5,19,84,1,0,1
5,2,10,1,0,1
5,70,40,1,0,0
5,44,68,1,0,1
5,21,25,1,0,1
5,41,7,0,1,0
5,93,73,0,1,0
6,39,71,1,0,1
6,13,66,1,1,1
6,61,42,1,1,0
6,83,15,1,1,0
6,92,45,0,0,0
6,74,72,1,0,0
6,49,64,1,1,1
6,89,30,1,0,0
6,9,20,1,1,1
6,94,28,0,0,0
6,76,35,1,0,0
6,69,81,1,0,1
6,88,62,0,0,0
6,26,46,1,1,1
6,6,60,1,0,1
6,8,57,1,1,1
6,1,91,1,0,1
6,52,54,1,0,1
6,18,82,1,1,1
6,3,16,1,1,1
6,14,37,1,1,1
6,65,33,1,1,0
6,97,86,0,0,0
6,80,59,1,0,0
6,36,27,1,0,0
6,56,22,1,0,0
6,85,53,1,0,0
6,43,48,1,1,1
6,4,23,1,1,1
6,90,55,0,0,0
6,58,78,1,0,1
6,17,32,1,0,1
6,11,98,1,1,1
6,95,75,1,1,0
6,96,31,1,0,0
6,5,34,1,1,1
6,12,29,1,1,1
6,79,50,1,1,0
6,38,87,1,0,1
6,99,63,0,0,0
6,51,47,1,0,0
6,84,19,0,0,0
6,2,10,1,0,1
6,40,70,1,0,1
6,44,68,1,0,1
6,21,25,1,0,1
6,7,41,1,0,1
6,73,93,1,0,1
7,39,71,1,0,1
7,13,66,1,1,1
7,61,42,1,1,0
7,15,83,1,1,1
7,92,45,1,0,0
7,74,72,1,1,0
7,49,64,1,1,1
7,89,30,1,0,0
7,9,20,1,1,1
7,28,94,1,1,1
7,35,76,1,1,1
7,69,81,1,1,1
7,62,88,1,1,1
7,26,46,1,1,1
7,6,60,1,1,1
7,8,57,1,1,1
7,1,91,1,1,1
7,52,54,1,1,1
7,18,82,1,1,1
7,3,16,1,1,1
7,14,37,1,1,1
7,65,33,1,1,0
7,97,86,1,0,0
7,59,80,1,1,1
7,36,27,1,0,0
7,22,56,1,1,1
7,85,53,1,0,0
7,43,48,1,1,1
7,23,4,1,1,0
7,90,55,1,0,0
7,58,78,1,1,1
7,17,32,1,1,1
7,98,11,1,0,0
7,75,95,1,1,1
7,96,31,1,0,0
7,5,34,1,1,1
7,12,29,1,1,1
7,79,50,1,0,0
7,38,87,1,1,1
7,63,99,1,1,1
7,47,51,1,1,1
7,84,19,1,1,0
7,2,10,1,1,1
7,40,70,1,0,1
7,44,68,1,1,1
7,21,25,1,0,1
7,7,41,1,0,1
