item,name,criterion
1,London,8615246
2,Berlin,3562166
3,Madrid,3165235
4,Rome,2874038
5,Paris,2273305
6,Bucharest,1903425
7,Vienna,1826030
8,Hamburg,1760433
9,Budapest,1744000
10,Warsaw,1740119
11,Barcelona,1602386
12,Munich,1493900
13,Milan,1343817
14,Prague,1261715
15,Sofia,1228282
16,Brussels,1175831
17,Birmingham,1092330
18,Cologne,1057327
19,Naples,989160
20,Stockholm,911989
21,Turin,897265
22,Marsille,852516
23,Amsterdam,825080
24,Zagreb,790017
25,Valencia,786424
26,Kraków,760700
27,Leeds,757655
28,?ód?,709757
29,Frankfurt,709395
30,Seville,696676
31,Palermo,676118
32,Zaragoza,666058
33,Riga,641007
34,Athens,664046
35,Wroclaw,632432
36,Helsinki,626305
37,Rotterdam,616528
38,Stuttgart,604297
39,Düsseldorf,598686
40,Glasgow,596550
41,Genoa,592995
42,Copenhagen,583348
43,Dortmund,575944
44,Essen,569884
45,Málaga,566913
46,Sheffield,557382
47,Lisbon,547631
48,Poznan,547161
49,Bremen,546451
50,Gothenburg,541145
51,Leipzig,531562
52,Dresden,530754
53,Vilnius,537152
54,Dublin,527612
55,Bradford,524619
56,Hanover,523642
57,The Hague,510909
58,Manchester,510772
59,Antwerp,510610
60,Nuremberg,500096
61,Edinburgh,495360
62,Lyon,491268
63,Duisburg,486816
64,Liverpool,469690
65,Gda?sk,460354
66,Toulouse,447340
67,Murcia,441354
68,Tallinn,434810
69,Bristol,432451
70,Bratislava,417389
71,Szczecin,409211
72,Palma de Mallorca,407648
73,Bologna,386171
74,Plovdiv,382737
75,Las Palmas,382296
76,Florence,380226
77,Brno,378327
78,Varna,364537
79,Bydgoszcz,362286
80,Bochum,362213
81,Bilbao,351629
82,Cardiff,348493
83,Lublin,348120
84,Nice,344064
85,Wuppertal,342885
86,Alicante,340678
87,Coventry,337428
88,Belfast,333871
89,Leicester,331606
90,Utrecht,330772
91,Córdoba,328841
92,Bielefeld,328314
93,Wakefield,327627
94,Aarhus,326676
95,Cluj-Napoca,324576
96,Bari,321008
97,Thessaloniki,325182
98,Timi?oara,319279
99,Malmö,319246
100,Catania,315567
