participant,itemA,itemB,recognizedA,recognizedB,aLarger
1,55,3,0,1,0
1,68,99,1,0,1
1,34,39,0,1,1
1,66,51,1,0,0
1,15,10,1,0,0
1,18,28,0,1,1
1,65,98,1,0,1
1,56,57,1,0,1
1,27,94,1,0,1
1,70,6,1,0,0
1,31,59,0,1,1
1,61,100,0,1,1
1,90,45,0,1,0
1,82,91,1,0,1
1,50,89,1,0,1
1,67,72,0,1,1
1,16,73,1,0,1
1,52,19,1,0,0
1,58,12,1,0,0
1,37,5,0,1,0
1,76,35,0,1,0
1,29,24,1,0,0
1,63,7,1,1,0
1,60,20,0,1,0
1,2,13,0,1,1
1,53,80,1,0,1
1,42,96,1,0,1
1,40,54,1,0,1
1,85,79,1,0,0
1,83,43,1,0,0
1,44,49,1,0,1
1,48,21,1,0,0
1,74,4,1,0,0
1,38,23,0,1,0
1,25,36,1,0,1
1,14,8,0,1,0
1,78,30,0,1,0
1,81,84,1,1,1
1,9,26,1,0,1
1,75,86,1,0,1
1,97,95,1,0,1
1,71,62,1,0,0
1,64,47,1,0,0
1,1,77,0,0,1
1,17,69,1,0,1
1,11,92,1,0,1
1,33,32,1,0,0
1,88,87,1,1,0
1,22,46,1,0,1
1,93,41,1,0,0
2,3,55,1,0,1
2,99,68,0,0,0
2,34,39,1,1,1
2,66,51,1,1,0
2,10,15,1,0,1
2,18,28,1,0,1
2,98,65,0,0,0
2,57,56,1,1,0
2,94,27,0,0,0
2,70,6,1,1,0
2,59,31,1,0,0
2,100,61,0,0,0
2,90,45,0,0,0
2,82,91,0,0,1
2,89,50,1,0,0
2,67,72,1,0,1
2,73,16,0,0,0
2,52,19,1,1,0
2,12,58,1,1,1
2,5,37,1,1,1
2,76,35,1,0,0
2,24,29,0,0,1
2,7,63,1,0,1
2,60,20,1,0,0
2,2,13,1,1,1
2,80,53,0,0,0
2,42,96,1,0,1
2,40,54,1,0,1
2,79,85,0,0,1
2,83,43,0,0,0
2,44,49,0,0,1
2,48,21,1,0,0
2,4,74,1,0,1
2,38,23,0,0,0
2,36,25,1,0,0
2,14,8,1,0,0
2,78,30,1,0,0
2,84,81,1,0,0
2,26,9,1,1,0
2,75,86,1,0,1
2,97,95,0,0,1
2,71,62,0,0,0
2,47,64,1,1,1
2,1,77,1,0,1
2,69,17,1,0,0
2,11,92,1,0,1
2,33,32,0,0,0
2,88,87,1,0,0
2,22,46,0,0,1
2,41,93,0,0,1
3,3,55,1,0,1
3,99,68,0,0,0
3,34,39,1,1,1
3,51,66,0,0,1
3,10,15,1,1,1
3,18,28,1,0,1
3,98,65,0,0,0
3,57,56,1,1,0
3,27,94,1,0,1
3,6,70,1,0,1
3,31,59,1,1,1
3,61,100,1,0,1
3,90,45,1,0,0
3,82,91,1,0,1
3,89,50,1,0,0
3,67,72,0,0,1
3,16,73,1,1,1
3,19,52,1,1,1
3,58,12,1,1,0
3,5,37,1,1,1
3,76,35,1,0,0
3,29,24,1,0,0
3,7,63,1,0,1
3,20,60,1,1,1
3,13,2,1,1,0
3,53,80,0,0,1
3,42,96,1,0,1
3,40,54,1,1,1
3,85,79,0,0,0
3,83,43,0,0,0
3,44,49,1,0,1
3,21,48,1,0,1
3,4,74,1,0,1
3,23,38,1,1,1
3,25,36,1,1,1
3,14,8,1,1,0
3,30,78,1,0,1
3,84,81,1,0,0
3,9,26,1,1,1
3,75,86,0,0,1
3,97,95,1,0,1
3,62,71,1,0,1
3,64,47,1,1,0
3,1,77,1,0,1
