participant,itemA,itemB,recognizedA,recognizedB,aLarger
1,26,14,1,0,0
1,83,9,1,0,0
1,94,15,0,1,0
1,86,7,0,1,0
1,77,41,0,1,0
1,95,31,0,1,0
1,60,19,0,1,0
1,91,62,0,1,0
1,97,57,1,0,0
1,33,20,0,1,0
1,46,71,1,0,1
1,96,54,0,1,0
1,22,36,1,0,1
1,65,84,1,0,1
1,38,79,1,0,1
1,63,28,0,1,0
1,11,88,1,0,1
1,16,53,1,0,1
1,10,89,0,1,1
1,17,56,1,0,1
1,73,58,1,0,0
1,6,98,1,0,1
1,3,85,0,1,1
1,32,4,1,0,0
1,13,51,0,1,1
1,43,39,1,0,0
1,87,61,1,0,0
1,67,29,0,1,0
1,59,74,1,0,1
1,40,81,1,0,1
1,64,68,1,0,1
1,8,90,1,0,1
1,1,24,1,0,1
1,80,18,1,0,0
1,35,48,1,0,1
1,55,93,1,0,1
1,69,34,1,0,0
1,27,70,0,1,1
1,12,75,1,0,1
1,82,23,1,0,0
1,50,2,1,0,0
1,25,72,1,0,1
1,5,49,1,0,1
1,52,37,0,1,0
1,42,45,0,1,1
1,99,76,1,0,0
1,21,30,1,0,1
1,44,78,0,1,1
1,66,92,1,0,1
1,100,47,1,0,0
2,26,14,1,1,0
2,9,83,1,1,1
2,94,15,0,0,0
2,86,7,1,0,0
2,41,77,1,1,1
2,95,31,1,1,0
2,60,19,1,1,0
2,62,91,1,1,1
2,57,97,1,0,1
2,33,20,1,0,0
2,71,46,1,1,0
2,54,96,1,0,1
2,36,22,1,1,0
2,65,84,0,0,1
2,79,38,1,1,0
2,28,63,1,0,1
2,11,88,0,0,1
2,16,53,1,1,1
2,89,10,1,0,0
2,17,56,1,0,1
2,73,58,1,0,0
2,98,6,1,1,0
2,3,85,1,1,1
2,32,4,1,1,0
2,13,51,1,0,1
2,43,39,1,1,0
2,87,61,1,1,0
2,67,29,1,0,0
2,74,59,1,1,0
2,40,81,1,1,1
2,64,68,1,0,1
2,8,90,1,1,1
2,1,24,1,1,1
2,18,80,1,0,1
2,48,35,1,1,0
2,55,93,1,1,1
2,34,69,1,0,1
2,27,70,1,0,1
2,12,75,1,1,1
2,23,82,1,0,1
2,2,50,1,1,1
2,25,72,1,1,1
2,5,49,1,1,1
2,37,52,1,1,1
2,42,45,1,1,1
2,99,76,1,1,0
2,30,21,1,1,0
2,44,78,1,1,1
2,66,92,1,0,1
2,100,47,1,1,0
3,26,14,1,1,0
3,9,83,1,0,1
3,94,15,1,0,0
3,86,7,1,0,0
3,41,77,1,0,1
3,95,31,1,0,0
3,19,60,1,0,1
3,62,91,0,0,1
3,57,97,1,0,1
3,33,20,1,0,0
3,46,71,1,0,1
3,96,54,1,0,0
3,22,36,1,0,1
3,84,65,0,0,0
3,38,79,1,1,1
3,63,28,1,0,0
3,11,88,0,0,1
3,16,53,1,1,1
3,10,89,1,0,1
3,17,56,1,0,1
3,73,58,1,0,0
3,98,6,1,0,0
3,3,85,1,0,1
3,32,4,1,0,0
3,13,51,1,1,1
3,43,39,1,0,0
3,61,87,1,1,1
3,67,29,1,0,0
3,74,59,0,0,0
3,40,81,1,1,1
3,64,68,1,0,1
3,8,90,1,0,1
3,1,24,1,1,1
3,18,80,1,0,1
3,35,48,1,1,1
3,55,93,1,0,1
3,34,69,1,0,1
3,70,27,0,0,0
3,75,12,1,1,0
3,23,82,1,0,1
3,2,50,1,0,1
3,25,72,1,1,1
3,5,49,1,1,1
3,52,37,1,1,0
3,42,45,1,1,1
3,99,76,1,0,0
3,21,30,1,1,1
3,44,78,1,0,1
3,66,92,0,0,1
3,47,100,0,0,1
4,14,26,1,1,1
4,9,83,1,0,1
4,94,15,1,0,0
4,86,7,1,0,0
4,41,77,1,1,1
4,31,95,1,1,1
4,19,60,1,1,1
4,62,91,0,0,1
4,57,97,1,0,1
4,33,20,1,0,0
4,71,46,1,0,0
4,96,54,1,0,0
4,36,22,1,1,0
4,84,65,0,0,0
4,79,38,1,0,0
4,28,63,1,0,1
4,88,11,0,0,0
4,16,53,1,1,1
4,89,10,1,0,0
4,17,56,1,0,1
4,73,58,1,0,0
4,98,6,1,0,0
4,3,85,1,0,1
4,4,32,1,1,1
4,13,51,1,1,1
4,43,39,1,0,0
4,87,61,1,1,0
4,67,29,1,0,0
4,74,59,1,0,0
4,40,81,1,1,1
4,64,68,1,0,1
4,8,90,1,0,1
4,24,1,1,1,0
4,18,80,1,0,1
4,48,35,1,1,0
4,55,93,1,0,1
4,34,69,1,0,1
4,70,27,0,0,0
4,75,12,1,1,0
4,23,82,1,0,1
4,2,50,1,0,1
4,25,72,1,1,1
4,5,49,1,1,1
4,52,37,1,1,0
4,45,42,1,1,0
4,99,76,1,0,0
4,21,30,1,1,1
4,44,78,1,0,1
4,66,92,1,1,1
4,47,100,1,1,1
5,14,26,1,0,1
5,83,9,1,1,0
5,94,15,1,0,0
5,86,7,0,1,0
5,77,41,1,0,0
5,31,95,1,0,1
5,19,60,0,1,1
5,62,91,1,1,1
5,97,57,1,0,0
5,20,33,1,1,1
5,71,46,0,1,0
5,54,96,1,1,1
5,22,36,0,1,1
5,84,65,0,0,0
5,38,79,0,1,1
5,28,63,1,0,1
5,88,11,0,1,0
5,53,16,1,0,0
5,89,10,1,0,0
5,56,17,1,0,0
5,58,73,1,1,1
5,98,6,1,0,0
5,3,85,1,0,1
5,4,32,1,0,1
5,13,51,1,0,1
5,39,43,1,0,1
5,61,87,1,1,1
5,29,67,1,0,1
5,59,74,0,1,1
5,81,40,1,1,0
5,68,64,1,1,0
5,8,90,0,1,1
5,24,1,1,0,0
5,80,18,1,0,0
5,48,35,0,1,0
5,55,93,1,0,1
5,69,34,0,1,0
5,27,70,1,1,1
5,75,12,1,0,0
5,82,23,1,1,0
5,2,50,0,0,1
5,25,72,1,1,1
5,5,49,0,0,1
5,37,52,1,0,1
5,45,42,1,1,0
5,99,76,1,1,0
5,30,21,0,0,0
5,44,78,0,1,1
5,92,66,0,1,0
5,47,100,0,1,1
6,14,26,1,1,1
6,9,83,1,0,1
6,94,15,0,0,0
6,86,7,0,0,0
6,41,77,1,0,1
6,95,31,0,0,0
6,19,60,1,0,1
6,62,91,0,0,1
6,57,97,1,0,1
6,33,20,1,0,0
6,71,46,0,0,0
6,96,54,1,0,0
6,22,36,1,0,1
6,65,84,0,0,1
