item,name,criterion
1,Best Western,309390
2,Holiday Inn,240000
3,Marriott,198755
4,Holiday Inn Express,188000
5,Hilton,181000
6,Hampton Inn,168000
7,Comfort Inn,164000
8,Sheraton,139000
9,Quality Inn,136000
10,Courtyard by Marriott,125206
11,Super 8,125000
12,Hyatt,120000
13,Ibis,102000
14,Crowne Plaza,101000
15,Motel6,99000
16,Mercure,82000
17,Residence Inn,73412
18,Novotel,71000
19,Westin,66000
20,Comfort Suites,62000
21,Fairfield Inn,56731
22,InterContinental,56000
23,EconoLodge,55000
24,Renaissance,50582
25,Embassy Suites,50000
26,Doubletree,50000
27,Premier Inn,47000
28,LaQuinta Inns and Suites,47000
29,Barcelo,46000
30,Clarion,45000
31,Radisson Blu,43000
32,MGM Resorts,42802
33,ExtendedStay,41000
34,Harrah's,40160
35,Sleep Inn,38231
36,Hilton Garden Inn,38000
37,JAL,37424
38,Red Roof Inns,36866
39,IberoStar,36000
40,RIU Hotels,35393
41,Jinjiang Inns,35000
42,Etap Hotels,33970
43,Wyndham Hotels,31429
44,SpringHill Suite,29970
45,Sofitel,29864
46,Homewood Suites,29000
47,Tharaldson Motels,28878
48,Scandic Hotels,28504
49,Club Med,28000
50,Le Meridien,27381
51,Sol Melia,25766
52,Candlewood Suites,25283
53,Four Points by Sheraton,24930
